Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,,
65,21,7,2010,Rdoucette,,,,,23,GA1,GA1,2,f,41,,,,,,,,,,,,
66,21,7,2010,Rdoucette,,,,,23,GA1,GA1,2,m,76,,,,,,,,,,,,
67,21,7,2010,Rdoucette,,,,,23,GA1,GA1,2,f,38,,,,,,,,,,,,
68,21,7,2010,Rdoucette,,,,,23,GA1,GA1,3,m,63,,,,,,,,,,,,
69,21,7,2010,Rdoucette,,,,,23,GA1,GA1,4,m,19,,,,,,,,,,,,
70,21,7,2010,Rdoucette,,,,,23,GA1,GA1,4,f,34,,,,,,,,,,,,
71,21,7,2010,Rdoucette,,,,,23,GA1,GA1,5,f,32,,,,,,,,,,,,
72,21,7,2010,Rdoucette,,,,,23,GA1,GA1,5,m,21,,,,,,,,,,,,
73,21,7,2010,Rdoucette,,,,,23,GA1,GA1,6,m,14,,,,,,,,,,,,
74,21,7,2010,Rdoucette,,,,,23,GA1,GA1,6,m,33,,,,,,,,,,,,
75,21,7,2010,Rdoucette,,,,,23,GA1,GA1,6,f,49,,,,,,,,,,,,
76,21,7,2010,Rdoucette,,,,,23,GA1,GA1,6,f,46,,,,,,,,,,,,
77,21,7,2010,Rdoucette,,,,,23,GA1,GA1,11,m,32,,,,,,,,,,,,
78,21,7,2010,Rdoucette,,,,,23,GA1,GA1,11,m,46,,,,,,,,,,,,
79,21,7,2010,Rdoucette,,,,,23,GA1,GA1,11,m,70,,,,,,,,,,,,
80,21,7,2010,Rdoucette,,,,,23,GA1,GA1,12,m,123,,,,,,,,,,,,
81,21,7,2010,Rdoucette,,,,,23,GA1,GA1,12,f,52,,,,,,,,,,,,
82,21,7,2010,Rdoucette,,,,,23,GA1,GA1,12,m,58,,,,,,,,,,,,
83,21,7,2010,Rdoucette,,,,,23,GA1,GA1,12,f,29,,,,,,,,,,,,
84,21,7,2010,Rdoucette,,,,,23,GA1,GA1,12,f,32,,,,,,,,,,,,
85,21,7,2010,Rdoucette,,,,,23,GA1,GA1,13,f,23,,,,,,,,,,,,
86,21,7,2010,Rdoucette,,,,,23,GA1,GA1,13,m,65,,,,,,,,,,,,
87,21,7,2010,Rdoucette,,,,,23,GA1,GA1,14,f,58,,,,,,,,,,,,
88,21,7,2010,Rdoucette,,,,,23,GA1,GA1,14,m,45,,,,,,,,,,,,
89,21,7,2010,Rdoucette,,,,,23,GA1,GA1,14,f,36,,,,,,,,,,,,
90,21,7,2010,Rdoucette,,,,,23,GA1,GA1,14,m,16,,,,,,,,,,,,
91,21,7,2010,Rdoucette,,,,,23,GA1,GA1,14,m,18,,,,,,,,,,,,
92,21,7,2010,Rdoucette,,,,,23,GA1,GA1,15,f,42,,,,,,,,,,,,
93,21,7,2010,Rdoucette,,,,,23,GA1,GA1,15,f,62,,,,,,,,,,,,
94,21,7,2010,Rdoucette,,,,,23,GA1,GA1,15,m,35,,,,,,,,,,,,
95,21,7,2010,Rdoucette,,,,,23,GA1,GA1,15,m,32,,,,,,,,,,,,
96,21,7,2010,Rdoucette,,,,,23,GA1,GA1,16,m,23,,,,,,,,,,,,
97,21,7,2010,Rdoucette,,,,,23,GA1,GA1,17,m,42,,,,,,,,,,,,
98,21,7,2010,Rdoucette,,,,,23,GA1,GA1,17,m,34,,,,,,,,,,,,
99,21,7,2010,Rdoucette,,,,,23,GA1,GA1,17,f,33,,,,,,,,,,,,
100,21,7,2010,Rdoucette,,,,,23,GA1,GA1,17,b,87,,,,,,,,,,,,
101,21,7,2010,Rdoucette,,,,,23,GA1,GA1,19,f,31,,,,,,,,,,,,
102,21,7,2010,Rdoucette,,,,,23,GA1,GA1,19,m,65,,,,,,,,,,,,
103,21,7,2010,Rdoucette,,,,,23,GA1,GA1,19,m,25,,,,,,,,,,,,
104,21,7,2010,Rdoucette,,,,,23,GA1,GA1,19,m,80,,,,,,,,,,,,
