Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,Site,Transect,section,sexe,LC
1,4,7,2012,Gpaulin,,,,,,I2,1,1,f,30,,,,,,,,,,,,,,,,,
2,4,7,2012,Gpaulin,,,,,,I2,1,1,f,36,,,,,,,,,,,,,,,,,
3,4,7,2012,Gpaulin,,,,,,I2,1,1,m,25,,,,,,,,,,,,,,,,,
4,4,7,2012,Gpaulin,,,,,,I2,1,1,m,20,,,,,,,,,,,,,,,,,
5,4,7,2012,Gpaulin,,,,,,I2,1,2,i,18,,,,,,,,,,,,,,,,,
6,4,7,2012,Gpaulin,,,,,,I2,1,2,i,15,,,,,,,,,,,,,,,,,
7,4,7,2012,Gpaulin,,,,,,I2,1,2,m,35,,,,,,,,,,,,,,,,,
8,4,7,2012,Gpaulin,,,,,,I2,1,2,i,15,,,,,,,,,,,,,,,,,
9,4,7,2012,Gpaulin,,,,,,I2,1,2,i,12,,,,,,,,,,,,,,,,,
10,4,7,2012,Gpaulin,,,,,,I2,1,2,i,14,,,,,,,,,,,,,,,,,
11,4,7,2012,Gpaulin,,,,,,I2,1,2,m,47,,,,,,,,,,,,,,,,,
12,4,7,2012,Gpaulin,,,,,,I2,1,3,m,48,,,,,,,,,,,,,,,,,
13,4,7,2012,Gpaulin,,,,,,I2,1,3,i,14,,,,,,,,,,,,,,,,,
14,4,7,2012,Gpaulin,,,,,,I2,1,3,i,14,,,,,,,,,,,,,,,,,
15,4,7,2012,Gpaulin,,,,,,I2,1,3,i,13,,,,,,,,,,,,,,,,,
16,4,7,2012,Gpaulin,,,,,,I2,1,4,m,21,,,,,,,,,,,,,,,,,
17,4,7,2012,Gpaulin,,,,,,I2,1,4,m,80,,,,,,,,,,,,,,,,,
18,4,7,2012,Gpaulin,,,,,,I2,1,4,b,77,,,,,,,,,,,,,,,,,
19,4,7,2012,Gpaulin,,,,,,I2,1,4,i,12,,,,,,,,,,,,,,,,,
20,4,7,2012,Gpaulin,,,,,,I2,1,4,i,18,,,,,,,,,,,,,,,,,
21,4,7,2012,Gpaulin,,,,,,I2,1,4,f,53,,,,,,,,,,,,,,,,,
22,4,7,2012,Gpaulin,,,,,,I2,1,4,f,79,,,,,,,,,,,,,,,,,
23,4,7,2012,Gpaulin,,,,,,I2,1,5,i,12,,,,,,,,,,,,,,,,,
24,4,7,2012,Gpaulin,,,,,,I2,1,5,i,14,,,,,,,,,,,,,,,,,
25,4,7,2012,Gpaulin,,,,,,I2,1,5,i,12,,,,,,,,,,,,,,,,,
26,4,7,2012,Gpaulin,,,,,,I2,1,6,f,52,,,,,,,,,,,,,,,,,
27,4,7,2012,Gpaulin,,,,,,I2,1,6,m,25,,,,,,,,,,,,,,,,,
28,4,7,2012,Gpaulin,,,,,,I2,1,6,i,15,,,,,,,,,,,,,,,,,
29,4,7,2012,Gpaulin,,,,,,I2,1,6,m,20,,,,,,,,,,,,,,,,,
30,4,7,2012,Gpaulin,,,,,,I2,1,6,f,30,,,,,,,,,,,,,,,,,
31,4,7,2012,Gpaulin,,,,,,I2,1,6,i,15,,,,,,,,,,,,,,,,,
32,4,7,2012,Gpaulin,,,,,,I2,1,6,f,30,,,,,,,,,,,,,,,,,
33,4,7,2012,Gpaulin,,,,,,I2,1,7,f,42,,,,,,,,,,,,,,,,,
34,4,7,2012,Gpaulin,,,,,,I2,1,7,f,40,,,,,,,,,,,,,,,,,
35,4,7,2012,Gpaulin,,,,,,I2,1,7,m,24,,,,,,,,,,,,,,,,,
36,4,7,2012,Gpaulin,,,,,,I2,1,7,f,48,,,,,,,,,,,,,,,,,
37,4,7,2012,Gpaulin,,,,,,I2,1,7,m,24,,,,,,,,,,,,,,,,,
38,4,7,2012,Gpaulin,,,,,,I2,1,7,f,75,,,,,,,,,,,,,,,,,
39,4,7,2012,Gpaulin,,,,,,I2,1,7,m,20,,,,,,,,,,,,,,,,,
40,4,7,2012,Gpaulin,,,,,,I2,1,7,i,15,,,,,,,,,,,,,,,,,
41,4,7,2012,Rdoucette,,,,,,I2,1,1,m,26,,,,,,,,,,,,,,,,,
42,4,7,2012,Rdoucette,,,,,,I2,1,1,f,45,,,,,,,,,,,,,,,,,
43,4,7,2012,Rdoucette,,,,,,I2,1,1,m,58,,,,,,,,,,,,,,,,,
44,4,7,2012,Rdoucette,,,,,,I2,1,1,m,82,,,,,,,,,,,,,,,,,
45,4,7,2012,Rdoucette,,,,,,I2,1,1,m,21,,,,,,,,,,,,,,,,,
46,4,7,2012,Rdoucette,,,,,,I2,1,1,m,36,,,,,,,,,,,,,,,,,
47,4,7,2012,Rdoucette,,,,,,I2,1,2,i,13,,,,,,,,,,,,,,,,,
48,4,7,2012,Rdoucette,,,,,,I2,1,2,m,53,,,,,,,,,,,,,,,,,
49,4,7,2012,Rdoucette,,,,,,I2,1,2,f,73,,,,,,,,,,,,,,,,,
50,4,7,2012,Rdoucette,,,,,,I2,1,2,m,31,,,,,,,,,,,,,,,,,
51,4,7,2012,Rdoucette,,,,,,I2,1,2,f,70,,,,,,,,,,,,,,,,,
52,4,7,2012,Rdoucette,,,,,,I2,1,2,f,23,,,,,,,,,,,,,,,,,
53,4,7,2012,Rdoucette,,,,,,I2,1,2,f,26,,,,,,,,,,,,,,,,,
54,4,7,2012,Rdoucette,,,,,,I2,1,3,m,28,,,,,,,,,,,,,,,,,
55,4,7,2012,Rdoucette,,,,,,I2,1,3,m,30,,,,,,,,,,,,,,,,,
56,4,7,2012,Rdoucette,,,,,,I2,1,3,f,28,,,,,,,,,,,,,,,,,
57,4,7,2012,Rdoucette,,,,,,I2,1,4,f,49,,,,,,,,,,,,,,,,,
58,4,7,2012,Rdoucette,,,,,,I2,1,4,f,24,,,,,,,,,,,,,,,,,
59,4,7,2012,Rdoucette,,,,,,I2,1,5,i,13,,,,,,,,,,,,,,,,,
60,4,7,2012,Rdoucette,,,,,,I2,1,5,f,26,,,,,,,,,,,,,,,,,
61,4,7,2012,Rdoucette,,,,,,I2,1,5,m,28,,,,,,,,,,,,,,,,,
62,4,7,2012,Rdoucette,,,,,,I2,1,5,i,15,,,,,,,,,,,,,,,,,
63,4,7,2012,Rdoucette,,,,,,I2,1,5,f,48,,,,,,,,,,,,,,,,,
64,4,7,2012,Rdoucette,,,,,,I2,1,5,i,16,,,,,,,,,,,,,,,,,
65,4,7,2012,Rdoucette,,,,,,I2,1,5,f,36,,,,,,,,,,,,,,,,,
66,4,7,2012,Rdoucette,,,,,,I2,1,6,m,31,,,,,,,,,,,,,,,,,
67,4,7,2012,Rdoucette,,,,,,I2,1,6,f,28,,,,,,,,,,,,,,,,,
68,4,7,2012,Rdoucette,,,,,,I2,1,6,f,21,,,,,,,,,,,,,,,,,
69,4,7,2012,Rdoucette,,,,,,I2,1,6,m,32,,,,,,,,,,,,,,,,,
70,4,7,2012,Rdoucette,,,,,,I2,1,6,i,10,,,,,,,,,,,,,,,,,
71,4,7,2012,Rdoucette,,,,,,I2,1,6,i,12,,,,,,,,,,,,,,,,,
72,4,7,2012,Rdoucette,,,,,,I2,1,6,m,58,,,,,,,,,,,,,,,,,
73,4,7,2012,Rdoucette,,,,,,I2,1,6,f,53,,,,,,,,,,,,,,,,,
74,4,7,2012,Rdoucette,,,,,,I2,1,7,m,76,,,,,,,,,,,,,,,,,
75,4,7,2012,Rdoucette,,,,,,I2,1,7,f,50,,,,,,,,,,,,,,,,,
76,4,7,2012,Rdoucette,,,,,,I2,1,7,i,14,,,,,,,,,,,,,,,,,
77,4,7,2012,Rdoucette,,,,,,I2,1,7,m,75,,,,,,,,,,,,,,,,,
78,4,7,2012,Rdoucette,,,,,,I2,1,7,f,38,,,,,,,,,,,,,,,,,
79,4,7,2012,Rdoucette,,,,,,I2,1,8,f,23,,,,,,,,,,,,,,,,,
80,4,7,2012,Rdoucette,,,,,,I2,1,8,f,31,,,,,,,,,,,,,,,,,
81,4,7,2012,Gpaulin,,,,,,I2,2,1,m,25,,,,,,,,,,,,,,,,,
