Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,Site,Transect,section,sexe,LC
82,4,7,2012,Gpaulin,,,,,,I2,2,1,i,14,,,,,,,,,,,,,,,,,
83,4,7,2012,Gpaulin,,,,,,I2,2,1,m,25,,,,,,,,,,,,,,,,,
84,4,7,2012,Gpaulin,,,,,,I2,2,1,i,15,,,,,,,,,,,,,,,,,
85,4,7,2012,Gpaulin,,,,,,I2,2,2,m,58,,,,,,,,,,,,,,,,,
86,4,7,2012,Gpaulin,,,,,,I2,2,2,m,41,,,,,,,,,,,,,,,,,
87,4,7,2012,Gpaulin,,,,,,I2,2,2,f,26,,,,,,,,,,,,,,,,,
88,4,7,2012,Gpaulin,,,,,,I2,2,2,f,30,,,,,,,,,,,,,,,,,
89,4,7,2012,Gpaulin,,,,,,I2,2,2,m,20,,,,,,,,,,,,,,,,,
90,4,7,2012,Gpaulin,,,,,,I2,2,2,f,43,,,,,,,,,,,,,,,,,
91,4,7,2012,Gpaulin,,,,,,I2,2,2,i,18,,,,,,,,,,,,,,,,,
92,4,7,2012,Gpaulin,,,,,,I2,2,2,i,15,,,,,,,,,,,,,,,,,
93,4,7,2012,Gpaulin,,,,,,I2,2,3,f,33,,,,,,,,,,,,,,,,,
94,4,7,2012,Gpaulin,,,,,,I2,2,3,f,22,,,,,,,,,,,,,,,,,
95,4,7,2012,Gpaulin,,,,,,I2,2,3,i,12,,,,,,,,,,,,,,,,,
96,4,7,2012,Gpaulin,,,,,,I2,2,3,m,23,,,,,,,,,,,,,,,,,
97,4,7,2012,Gpaulin,,,,,,I2,2,3,f,20,,,,,,,,,,,,,,,,,
98,4,7,2012,Gpaulin,,,,,,I2,2,3,m,21,,,,,,,,,,,,,,,,,
99,4,7,2012,Gpaulin,,,,,,I2,2,3,f,68,,,,,,,,,,,,,,,,,
100,4,7,2012,Gpaulin,,,,,,I2,2,4,f,72,,,,,,,,,,,,,,,,,
101,4,7,2012,Gpaulin,,,,,,I2,2,4,i,12,,,,,,,,,,,,,,,,,
102,4,7,2012,Gpaulin,,,,,,I2,2,4,i,15,,,,,,,,,,,,,,,,,
103,4,7,2012,Gpaulin,,,,,,I2,2,4,i,15,,,,,,,,,,,,,,,,,
104,4,7,2012,Gpaulin,,,,,,I2,2,4,m,31,,,,,,,,,,,,,,,,,
105,4,7,2012,Gpaulin,,,,,,I2,2,5,m,72,,,,,,,,,,,,,,,,,
106,4,7,2012,Gpaulin,,,,,,I2,2,5,m,40,,,,,,,,,,,,,,,,,
107,4,7,2012,Gpaulin,,,,,,I2,2,5,f,55,,,,,,,,,,,,,,,,,
108,4,7,2012,Gpaulin,,,,,,I2,2,5,m,26,,,,,,,,,,,,,,,,,
109,4,7,2012,Gpaulin,,,,,,I2,2,6,i,15,,,,,,,,,,,,,,,,,
110,4,7,2012,Gpaulin,,,,,,I2,2,6,m,27,,,,,,,,,,,,,,,,,
111,4,7,2012,Gpaulin,,,,,,I2,2,6,i,18,,,,,,,,,,,,,,,,,
112,4,7,2012,Gpaulin,,,,,,I2,2,6,m,22,,,,,,,,,,,,,,,,,
113,4,7,2012,Gpaulin,,,,,,I2,2,6,i,18,,,,,,,,,,,,,,,,,
114,4,7,2012,Gpaulin,,,,,,I2,2,7,i,17,,,,,,,,,,,,,,,,,
115,4,7,2012,Gpaulin,,,,,,I2,2,7,i,15,,,,,,,,,,,,,,,,,
116,4,7,2012,Gpaulin,,,,,,I2,2,7,i,14,,,,,,,,,,,,,,,,,
117,4,7,2012,Gpaulin,,,,,,I2,2,7,i,15,,,,,,,,,,,,,,,,,
118,4,7,2012,Gpaulin,,,,,,I2,2,7,i,14,,,,,,,,,,,,,,,,,
119,4,7,2012,Gpaulin,,,,,,I2,2,7,m,72,,,,,,,,,,,,,,,,,
120,4,7,2012,Gpaulin,,,,,,I2,2,7,i,12,,,,,,,,,,,,,,,,,
121,4,7,2012,Gpaulin,,,,,,I2,2,7,m,51,,,,,,,,,,,,,,,,,
122,4,7,2012,Gpaulin,,,,,,I2,2,7,i,12,,,,,,,,,,,,,,,,,
123,4,7,2012,Gpaulin,,,,,,I2,2,7,m,23,,,,,,,,,,,,,,,,,
124,4,7,2012,Gpaulin,,,,,,I2,2,7,m,26,,,,,,,,,,,,,,,,,
125,4,7,2012,Gpaulin,,,,,,I2,2,7,m,72,,,,,,,,,,,,,,,,,
126,4,7,2012,Gpaulin,,,,,,I2,2,7,m,33,,,,,,,,,,,,,,,,,
127,4,7,2012,Gpaulin,,,,,,I2,2,7,f,50,,,,,,,,,,,,,,,,,
128,4,7,2012,Gpaulin,,,,,,I2,2,8,i,12,,,,,,,,,,,,,,,,,
129,4,7,2012,Gpaulin,,,,,,I2,2,8,b1,69,,,,,,,,,,,,,,,,,
130,4,7,2012,Gpaulin,,,,,,I2,2,8,i,14,,,,,,,,,,,,,,,,,
131,4,7,2012,Gpaulin,,,,,,I2,2,8,m,34,,,,,,,,,,,,,,,,,
132,4,7,2012,Gpaulin,,,,,,I2,2,8,i,12,,,,,,,,,,,,,,,,,
133,4,7,2012,Gpaulin,,,,,,I2,2,8,m,23,,,,,,,,,,,,,,,,,
134,4,7,2012,Gpaulin,,,,,,I2,2,8,f,52,,,,,,,,,,,,,,,,,
135,4,7,2012,Gpaulin,,,,,,I2,2,8,m,28,,,,,,,,,,,,,,,,,
136,4,7,2012,Gpaulin,,,,,,I2,2,8,i,7,,,,,,,,,,,,,,,,,
137,4,7,2012,Gpaulin,,,,,,I2,2,8,m,26,,,,,,,,,,,,,,,,,
138,4,7,2012,Gpaulin,,,,,,I2,2,8,i,13,,,,,,,,,,,,,,,,,
139,4,7,2012,Gpaulin,,,,,,I2,2,9,m,49,,,,,,,,,,,,,,,,,
140,4,7,2012,Gpaulin,,,,,,I2,2,9,i,12,,,,,,,,,,,,,,,,,
141,4,7,2012,Gpaulin,,,,,,I2,2,9,m,27,,,,,,,,,,,,,,,,,
142,4,7,2012,Gpaulin,,,,,,I2,2,9,m,45,,,,,,,,,,,,,,,,,
143,4,7,2012,Gpaulin,,,,,,I2,2,9,m,65,,,,,,,,,,,,,,,,,
144,4,7,2012,Gpaulin,,,,,,I2,2,9,m,53,,,,,,,,,,,,,,,,,
145,4,7,2012,Bcomeau,,,,,,I2,2,1,f,21,,,,,,,,,,,,,,,,,
146,4,7,2012,Bcomeau,,,,,,I2,2,1,f,83,,,,,,,,,,,,,,,,,
147,4,7,2012,Bcomeau,,,,,,I2,2,1,m,59,,,,,,,,,,,,,,,,,
148,4,7,2012,Bcomeau,,,,,,I2,2,2,m,33,,,,,,,,,,,,,,,,,
149,4,7,2012,Bcomeau,,,,,,I2,2,2,i,15,,,,,,,,,,,,,,,,,
150,4,7,2012,Bcomeau,,,,,,I2,2,2,i,13,,,,,,,,,,,,,,,,,
151,4,7,2012,Bcomeau,,,,,,I2,2,2,m,79,,,,,,,,,,,,,,,,,
152,4,7,2012,Bcomeau,,,,,,I2,2,2,i,15,,,,,,,,,,,,,,,,,
153,4,7,2012,Bcomeau,,,,,,I2,2,3,m,33,,,,,,,,,,,,,,,,,
154,4,7,2012,Bcomeau,,,,,,I2,2,3,m,33,,,,,,,,,,,,,,,,,
155,4,7,2012,Bcomeau,,,,,,I2,2,3,i,16,,,,,,,,,,,,,,,,,
156,4,7,2012,Bcomeau,,,,,,I2,2,3,f,37,,,,,,,,,,,,,,,,,
157,4,7,2012,Bcomeau,,,,,,I2,2,4,f,60,,,,,,,,,,,,,,,,,
158,4,7,2012,Bcomeau,,,,,,I2,2,4,i,19,,,,,,,,,,,,,,,,,
159,4,7,2012,Bcomeau,,,,,,I2,2,5,m,50,,,,,,,,,,,,,,,,,
160,4,7,2012,Bcomeau,,,,,,I2,2,5,f,23,,,,,,,,,,,,,,,,,
161,4,7,2012,Bcomeau,,,,,,I2,2,5,f,67,,,,,,,,,,,,,,,,,
162,4,7,2012,Bcomeau,,,,,,I2,2,5,m,38,,,,,,,,,,,,,,,,,
163,4,7,2012,Bcomeau,,,,,,I2,2,5,f,35,,,,,,,,,,,,,,,,,
164,4,7,2012,Bcomeau,,,,,,I2,2,5,m,49,,,,,,,,,,,,,,,,,
165,4,7,2012,Bcomeau,,,,,,I2,2,5,f,21,,,,,,,,,,,,,,,,,
166,4,7,2012,Bcomeau,,,,,,I2,2,5,m,89,,,,,,,,,,,,,,,,,
167,4,7,2012,Bcomeau,,,,,,I2,2,5,f,41,,,,,,,,,,,,,,,,,
168,4,7,2012,Bcomeau,,,,,,I2,2,6,f,23,,,,,,,,,,,,,,,,,
169,4,7,2012,Bcomeau,,,,,,I2,2,6,f,53,,,,,,,,,,,,,,,,,
170,4,7,2012,Bcomeau,,,,,,I2,2,6,m,35,,,,,,,,,,,,,,,,,
171,4,7,2012,Bcomeau,,,,,,I2,2,6,f,45,,,,,,,,,,,,,,,,,
172,4,7,2012,Bcomeau,,,,,,I2,2,6,i,18,,,,,,,,,,,,,,,,,
173,4,7,2012,Bcomeau,,,,,,I2,2,6,f,22,,,,,,,,,,,,,,,,,
174,4,7,2012,Bcomeau,,,,,,I2,2,6,m,25,,,,,,,,,,,,,,,,,
175,4,7,2012,Bcomeau,,,,,,I2,2,6,i,13,,,,,,,,,,,,,,,,,
176,4,7,2012,Bcomeau,,,,,,I2,2,6,m,37,,,,,,,,,,,,,,,,,
177,4,7,2012,Bcomeau,,,,,,I2,2,7,i,12,,,,,,,,,,,,,,,,,
178,4,7,2012,Bcomeau,,,,,,I2,2,7,f,35,,,,,,,,,,,,,,,,,
179,4,7,2012,Bcomeau,,,,,,I2,2,7,i,14,,,,,,,,,,,,,,,,,
180,4,7,2012,Bcomeau,,,,,,I2,2,7,i,12,,,,,,,,,,,,,,,,,
181,4,7,2012,Bcomeau,,,,,,I2,2,7,m,35,,,,,,,,,,,,,,,,,
182,4,7,2012,Bcomeau,,,,,,I2,2,7,f,25,,,,,,,,,,,,,,,,,
183,4,7,2012,Bcomeau,,,,,,I2,2,7,m,35,,,,,,,,,,,,,,,,,
184,4,7,2012,Bcomeau,,,,,,I2,2,8,i,15,,,,,,,,,,,,,,,,,
185,4,7,2012,Bcomeau,,,,,,I2,2,8,i,13,,,,,,,,,,,,,,,,,
186,4,7,2012,Bcomeau,,,,,,I2,2,8,i,16,,,,,,,,,,,,,,,,,
187,4,7,2012,Bcomeau,,,,,,I2,2,8,m,25,,,,,,,,,,,,,,,,,
188,4,7,2012,Bcomeau,,,,,,I2,2,8,i,19,,,,,,,,,,,,,,,,,
189,4,7,2012,Bcomeau,,,,,,I2,2,8,m,21,,,,,,,,,,,,,,,,,
190,4,7,2012,Bcomeau,,,,,,I2,2,8,i,12,,,,,,,,,,,,,,,,,
191,4,7,2012,Bcomeau,,,,,,I2,2,8,i,16,,,,,,,,,,,,,,,,,
192,4,7,2012,Bcomeau,,,,,,I2,2,8,m,46,,,,,,,,,,,,,,,,,
193,4,7,2012,Bcomeau,,,,,,I2,2,8,i,16,,,,,,,,,,,,,,,,,
194,4,7,2012,Bcomeau,,,,,,I2,2,9,i,16,,,,,,,,,,,,,,,,,
195,4,7,2012,Bcomeau,,,,,,I2,2,9,f,20,,,,,,,,,,,,,,,,,
196,4,7,2012,Bcomeau,,,,,,I2,2,9,m,38,,,,,,,,,,,,,,,,,
197,4,7,2012,Bcomeau,,,,,,I2,2,9,m,23,,,,,,,,,,,,,,,,,
198,4,7,2012,Bcomeau,,,,,,I2,2,9,f,66,,,,,,,,,,,,,,,,,
199,4,7,2012,Rdoucette,,,,,,I2,3,1,m,91,,,,,,,,,,,,,,,,,
200,4,7,2012,Rdoucette,,,,,,I2,3,1,f,72,,,,,,,,,,,,,,,,,
201,4,7,2012,Rdoucette,,,,,,I2,3,1,i,18,,,,,,,,,,,,,,,,,
202,4,7,2012,Rdoucette,,,,,,I2,3,2,f,52,,,,,,,,,,,,,,,,,
203,4,7,2012,Rdoucette,,,,,,I2,3,2,m,35,,,,,,,,,,,,,,,,,
204,4,7,2012,Rdoucette,,,,,,I2,3,2,i,14,,,,,,,,,,,,,,,,,
205,4,7,2012,Rdoucette,,,,,,I2,3,2,i,12,,,,,,,,,,,,,,,,,
206,4,7,2012,Rdoucette,,,,,,I2,3,2,i,13,,,,,,,,,,,,,,,,,
207,4,7,2012,Rdoucette,,,,,,I2,3,2,i,16,,,,,,,,,,,,,,,,,
208,4,7,2012,Rdoucette,,,,,,I2,3,2,m,38,,,,,,,,,,,,,,,,,
209,4,7,2012,Rdoucette,,,,,,I2,3,2,i,14,,,,,,,,,,,,,,,,,
210,4,7,2012,Rdoucette,,,,,,I2,3,3,i,13,,,,,,,,,,,,,,,,,
211,4,7,2012,Rdoucette,,,,,,I2,3,3,i,16,,,,,,,,,,,,,,,,,
212,4,7,2012,Rdoucette,,,,,,I2,3,3,m,51,,,,,,,,,,,,,,,,,
213,4,7,2012,Rdoucette,,,,,,I2,3,3,i,12,,,,,,,,,,,,,,,,,
214,4,7,2012,Rdoucette,,,,,,I2,3,3,f,75,,,,,,,,,,,,,,,,,
215,4,7,2012,Rdoucette,,,,,,I2,3,3,i,16,,,,,,,,,,,,,,,,,
216,4,7,2012,Rdoucette,,,,,,I2,3,3,m,47,,,,,,,,,,,,,,,,,
217,4,7,2012,Rdoucette,,,,,,I2,3,4,i,18,,,,,,,,,,,,,,,,,
218,4,7,2012,Rdoucette,,,,,,I2,3,4,m,21,,,,,,,,,,,,,,,,,
219,4,7,2012,Rdoucette,,,,,,I2,3,4,m,29,,,,,,,,,,,,,,,,,
220,4,7,2012,Rdoucette,,,,,,I2,3,4,i,11,,,,,,,,,,,,,,,,,
221,4,7,2012,Rdoucette,,,,,,I2,3,4,i,15,,,,,,,,,,,,,,,,,
222,4,7,2012,Rdoucette,,,,,,I2,3,4,i,13,,,,,,,,,,,,,,,,,
223,4,7,2012,Rdoucette,,,,,,I2,3,4,i,12,,,,,,,,,,,,,,,,,
224,4,7,2012,Rdoucette,,,,,,I2,3,5,f,46,,,,,,,,,,,,,,,,,
225,4,7,2012,Rdoucette,,,,,,I2,3,5,m,75,,,,,,,,,,,,,,,,,
226,4,7,2012,Rdoucette,,,,,,I2,3,5,m,55,,,,,,,,,,,,,,,,,
227,4,7,2012,Rdoucette,,,,,,I2,3,5,f,21,,,,,,,,,,,,,,,,,
228,4,7,2012,Rdoucette,,,,,,I2,3,5,f,31,,,,,,,,,,,,,,,,,
229,4,7,2012,Rdoucette,,,,,,I2,3,6,i,12,,,,,,,,,,,,,,,,,
230,4,7,2012,Rdoucette,,,,,,I2,3,6,m,27,,,,,,,,,,,,,,,,,
231,4,7,2012,Rdoucette,,,,,,I2,3,6,m,46,,,,,,,,,,,,,,,,,
232,4,7,2012,Rdoucette,,,,,,I2,3,6,m,38,,,,,,,,,,,,,,,,,
233,4,7,2012,Rdoucette,,,,,,I2,3,6,f,22,,,,,,,,,,,,,,,,,
234,4,7,2012,Rdoucette,,,,,,I2,3,6,m,21,,,,,,,,,,,,,,,,,
235,4,7,2012,Rdoucette,,,,,,I2,3,6,i,18,,,,,,,,,,,,,,,,,
236,4,7,2012,Rdoucette,,,,,,I2,3,7,f,58,,,,,,,,,,,,,,,,,
237,4,7,2012,Rdoucette,,,,,,I2,3,7,m,21,,,,,,,,,,,,,,,,,
238,4,7,2012,Rdoucette,,,,,,I2,3,7,m,43,,,,,,,,,,,,,,,,,
239,4,7,2012,Rdoucette,,,,,,I2,3,7,f,26,,,,,,,,,,,,,,,,,
240,4,7,2012,Rdoucette,,,,,,I2,3,7,f,69,,,,,,,,,,,,,,,,,
241,4,7,2012,Rdoucette,,,,,,I2,3,8,f,36,,,,,,,,,,,,,,,,,
242,4,7,2012,Rdoucette,,,,,,I2,3,8,m,37,,,,,,,,,,,,,,,,,
243,4,7,2012,Rdoucette,,,,,,I2,3,8,f,23,,,,,,,,,,,,,,,,,
244,4,7,2012,Rdoucette,,,,,,I2,3,8,i,14,,,,,,,,,,,,,,,,,
245,4,7,2012,Rdoucette,,,,,,I2,3,8,f,60,,,,,,,,,,,,,,,,,
246,4,7,2012,Rdoucette,,,,,,I2,3,9,m,36,,,,,,,,,,,,,,,,,
247,4,7,2012,Rdoucette,,,,,,I2,3,9,i,13,,,,,,,,,,,,,,,,,
248,4,7,2012,Rdoucette,,,,,,I2,3,9,f,21,,,,,,,,,,,,,,,,,
249,4,7,2012,Rdoucette,,,,,,I2,3,10,m,42,,,,,,,,,,,,,,,,,
250,4,7,2012,Rdoucette,,,,,,I2,3,10,i,13,,,,,,,,,,,,,,,,,
251,4,7,2012,Rdoucette,,,,,,I2,3,10,m,67,,,,,,,,,,,,,,,,,
252,4,7,2012,Rdoucette,,,,,,I2,3,10,f,65,,,,,,,,,,,,,,,,,
253,4,7,2012,Rdoucette,,,,,,I2,3,10,f,31,,,,,,,,,,,,,,,,,
254,4,7,2012,Rdoucette,,,,,,I2,3,11,m,28,,,,,,,,,,,,,,,,,
255,4,7,2012,Rdoucette,,,,,,I2,3,11,f,67,,,,,,,,,,,,,,,,,
256,4,7,2012,Rdoucette,,,,,,I2,3,11,i,13,,,,,,,,,,,,,,,,,
257,4,7,2012,Rdoucette,,,,,,I2,3,11,f,62,,,,,,,,,,,,,,,,,
258,4,7,2012,Rdoucette,,,,,,I2,3,11,f,31,,,,,,,,,,,,,,,,,
259,4,7,2012,Rdoucette,,,,,,I2,3,11,f,61,,,,,,,,,,,,,,,,,
260,4,7,2012,Rdoucette,,,,,,I2,3,12,i,10,,,,,,,,,,,,,,,,,
261,4,7,2012,Rdoucette,,,,,,I2,3,12,m,65,,,,,,,,,,,,,,,,,
262,4,7,2012,Rdoucette,,,,,,I2,3,12,m,31,,,,,,,,,,,,,,,,,
263,4,7,2012,Rdoucette,,,,,,I2,3,12,i,15,,,,,,,,,,,,,,,,,
264,4,7,2012,Rdoucette,,,,,,I2,3,12,m,26,,,,,,,,,,,,,,,,,
265,4,7,2012,Rdoucette,,,,,,I2,3,12,m,20,,,,,,,,,,,,,,,,,
266,4,7,2012,Rdoucette,,,,,,I2,3,13,f,31,,,,,,,,,,,,,,,,,
267,4,7,2012,Rdoucette,,,,,,I2,3,13,i,13,,,,,,,,,,,,,,,,,
268,4,7,2012,Rdoucette,,,,,,I2,3,13,m,79,,,,,,,,,,,,,,,,,
269,4,7,2012,Bcomeau,,,,,,I2,3,1,m,30,,,,,,,,,,,,,,,,,
270,4,7,2012,Bcomeau,,,,,,I2,3,1,i,16,,,,,,,,,,,,,,,,,
271,4,7,2012,Bcomeau,,,,,,I2,3,1,f,70,,,,,,,,,,,,,,,,,
272,4,7,2012,Bcomeau,,,,,,I2,3,1,f,42,,,,,,,,,,,,,,,,,
273,4,7,2012,Bcomeau,,,,,,I2,3,1,f,44,,,,,,,,,,,,,,,,,
274,4,7,2012,Bcomeau,,,,,,I2,3,2,i,12,,,,,,,,,,,,,,,,,
275,4,7,2012,Bcomeau,,,,,,I2,3,2,i,10,,,,,,,,,,,,,,,,,
276,4,7,2012,Bcomeau,,,,,,I2,3,2,m,21,,,,,,,,,,,,,,,,,
277,4,7,2012,Bcomeau,,,,,,I2,3,2,f,42,,,,,,,,,,,,,,,,,
278,4,7,2012,Bcomeau,,,,,,I2,3,2,i,12,,,,,,,,,,,,,,,,,
279,4,7,2012,Bcomeau,,,,,,I2,3,2,m,21,,,,,,,,,,,,,,,,,
280,4,7,2012,Bcomeau,,,,,,I2,3,3,m,71,,,,,,,,,,,,,,,,,
