Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire
41,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,1,i,18,,0,0,0,1,1,1,0,Simple,
42,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,2,,,,0,0,0,1,1,1,0,Simple,
43,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,3,,,,0,0,0,1,1,1,0,Simple,
44,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,4,m,47,,0,0,0,1,1,1,0,Simple,LS
45,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,5,m,34,,0,0,0,1,1,1,1,Simple,
46,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,5,m,21,,0,0,0,1,1,1,1,Simple,
47,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,5,m,57,,0,0,0,1,1,1,1,Simple,
48,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,6,f,77,,0,0,0,1,1,1,1,Simple,
49,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,6,m,50,,0,0,0,1,1,1,1,Simple,
50,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,7,i,17,,0,0,0,1,1,1,1,Simple,
51,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,7,f,45,,0,0,0,1,1,1,1,Simple,
52,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,7,f,26,,0,0,0,1,1,1,1,Simple,
53,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,8,,,,0,0,0,1,1,1,0,Simple,LS
54,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,9,,,,0,0,0,1,1,1,0,Simple,
55,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,10,,,,0,0,0,0,1,1,0,Simple,
56,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,11,f,32,,0,0,0,1,1,1,0,Simple,2LS
57,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,12,,,,0,0,0,1,1,1,0,Simple,
58,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,13,,,,0,0,0,1,1,1,0,Simple,
59,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,14,f,44,,0,0,0,1,1,1,0,Simple,
60,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,15,,,,0,0,0,1,1,1,0,Simple,
61,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,16,f,49,,0,0,0,1,1,1,1,Simple,
62,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,16,m,24,,0,0,0,1,1,1,1,Simple,
63,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,17,,,,0,0,0,1,1,1,0,Simple,
64,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,18,f,35,,0,0,0,0,1,1,1,Simple,
65,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,19,f,25,,0,0,0,1,1,1,1,Simple,
66,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,19,m,34,,0,0,0,1,1,1,1,Simple,
67,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,20,i,35,,0,0,0,1,1,1,0,Simple,
68,14,7,2006,Bcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,20,f,24,,0,0,0,1,1,1,0,Simple,
69,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,1,,,,1,0,0,0,1,0,0,Simple,
70,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,2,,,,1,0,0,0,1,1,0,Simple,LS
71,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,3,i,16,,1,0,0,0,1,0,1,Simple,
72,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,3,m,26,,1,0,0,0,1,0,1,Simple,
73,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,4,,,,1,0,0,0,1,0,0,Simple,
74,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,5,i,17,,1,0,0,0,1,1,0,Simple,
75,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,6,f,66,,1,0,0,0,1,0,1,Simple,
76,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,7,,,,1,0,0,0,1,0,0,Simple,
77,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,8,i,16,,1,0,0,0,1,1,1,Simple,
78,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,8,i,15,,1,0,0,0,1,1,1,Simple,
79,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,9,f,34,,1,0,0,0,1,0,1,Simple,
80,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,10,,,,1,0,0,0,1,0,0,Simple,
81,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,11,i,18,,1,0,0,0,1,1,1,Simple,
82,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,11,m,45,,1,0,0,0,1,1,1,Simple,
83,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,12,,,,1,0,0,0,1,0,0,Simple,
84,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,13,i,16,,1,0,0,0,1,1,1,Simple,
85,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,13,f,23,,1,0,0,0,1,1,1,Simple,
86,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,14,,,,1,0,0,0,1,0,0,Simple,
87,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,15,,,,1,0,0,0,1,0,0,Simple,
88,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,16,f,52,,1,0,0,0,1,1,1,Simple,
89,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,16,m,22,,1,0,0,0,1,1,1,Simple,
90,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,17,m,64,,1,0,0,0,1,1,1,Simple,
91,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,18,i,18,,1,0,0,0,1,0,1,Simple,
92,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,18,f,25,,1,0,0,0,1,0,1,Simple,
93,14,7,2006,Mcomeau,4750.27,6457.127,4750.277,6457.202,32,CI1,2,19,m,37,,1,0,0,0,1,1,1,Simple,
