REG,Marker ,Jour,Mois,Année,Plongeur,Depth_(ft),Site,Transect,section,sexe,LC_(mm),Sa,Va,Du,Al,Gr,Ca,C,MartinMallet,UPM
CR,1,5,7,2016,Mcomeau,25,I2,1,1,i,19,,,,,,,,0,0
CR,2,5,7,2016,Mcomeau,25,I2,1,1,i,17,,,,,,,,0,0
CR,3,5,7,2016,Mcomeau,25,I2,1,1,f,47,,,,,,,,0,0
CR,4,5,7,2016,Mcomeau,25,I2,1,1,f,37,,,,,,,,0,0
CR,5,5,7,2016,Mcomeau,25,I2,1,1,i,18,,,,,,,,0,0
CR,6,5,7,2016,Mcomeau,25,I2,1,1,i,14,,,,,,,,0,0
CR,7,5,7,2016,Mcomeau,25,I2,1,1,i,12,,,,,,,,0,0
CR,8,5,7,2016,Mcomeau,25,I2,1,1,i,21,,,,,,,,0,0
CR,9,5,7,2016,Mcomeau,25,I2,1,1,i,21,,,,,,,,0,0
CR,10,5,7,2016,Mcomeau,25,I2,1,1,f,24,,,,,,,,0,0
CR,11,5,7,2016,Mcomeau,25,I2,1,1,f,24,,,,,,,,0,0
CR,12,5,7,2016,Mcomeau,25,I2,1,1,i,18,,,,,,,,0,0
CR,13,5,7,2016,Mcomeau,25,I2,1,1,f,30,,,,,,,,0,0
CR,14,5,7,2016,Mcomeau,25,I2,1,1,f,29,,,,,,,,0,0
CR,15,5,7,2016,Mcomeau,25,I2,1,1,i,18,,,,,,,,0,0
CR,16,5,7,2016,Mcomeau,25,I2,1,2,m,78,,,,,,,,0,0
CR,17,5,7,2016,Mcomeau,25,I2,1,2,m,25,,,,,,,,0,0
CR,18,5,7,2016,Mcomeau,25,I2,1,2,i,21,,,,,,,,0,0
CR,19,5,7,2016,Mcomeau,25,I2,1,2,i,12,,,,,,,,0,0
CR,20,5,7,2016,Mcomeau,25,I2,1,2,i,18,,,,,,,,0,0
CR,21,5,7,2016,Mcomeau,25,I2,1,2,m,25,,,,,,,,0,0
CR,22,5,7,2016,Mcomeau,25,I2,1,2,f,24,,,,,,,,0,0
CR,23,5,7,2016,Mcomeau,25,I2,1,2,i,18,,,,,,,,0,0
CR,24,5,7,2016,Mcomeau,25,I2,1,2,i,14,,,,,,,,0,0
CR,25,5,7,2016,Mcomeau,25,I2,1,2,i,13,,,,,,,,0,0
CR,26,5,7,2016,Mcomeau,25,I2,1,2,i,11,,,,,,,,0,0
CR,27,5,7,2016,Mcomeau,25,I2,1,2,i,18,,,,,,,,0,0
CR,28,5,7,2016,Mcomeau,25,I2,1,2,i,20,,,,,,,,0,0
CR,29,5,7,2016,Mcomeau,25,I2,1,2,i,18,,,,,,,,0,0
CR,30,5,7,2016,Mcomeau,25,I2,1,2,i,20,,,,,,,,0,0
CR,31,5,7,2016,Mcomeau,25,I2,1,2,i,19,,,,,,,,0,0
CR,32,5,7,2016,Mcomeau,25,I2,1,2,i,19,,,,,,,,0,0
CR,33,5,7,2016,Mcomeau,25,I2,1,2,m,22,,,,,,,,0,0
CR,34,5,7,2016,Mcomeau,25,I2,1,2,m,27,,,,,,,,0,0
CR,35,5,7,2016,Mcomeau,25,I2,1,2,i,11,,,,,,,,0,0
CR,36,5,7,2016,Mcomeau,25,I2,1,2,i,13,,,,,,,,0,0
CR,37,5,7,2016,Mcomeau,25,I2,1,2,i,21,,,,,,,,0,0
CR,38,5,7,2016,Mcomeau,25,I2,1,2,f,48,,,,,,,,0,0
CR,39,5,7,2016,Mcomeau,25,I2,1,2,i,13,,,,,,,,0,0
CR,40,5,7,2016,Mcomeau,25,I2,1,2,i,17,,,,,,,,0,0
CR,41,5,7,2016,Mcomeau,25,I2,1,2,i,16,,,,,,,,0,0
CR,42,5,7,2016,Mcomeau,25,I2,1,2,m,23,,,,,,,,0,0
CR,43,5,7,2016,Mcomeau,25,I2,1,2,i,13,,,,,,,,0,0
CR,44,5,7,2016,Mcomeau,25,I2,1,2,f,23,,,,,,,,0,0
CR,45,5,7,2016,Mcomeau,25,I2,1,2,i,10,,,,,,,,0,0
CR,46,5,7,2016,Mcomeau,25,I2,1,2,i,17,,,,,,,,0,0
CR,47,5,7,2016,Mcomeau,25,I2,1,2,i,18,,,,,,,,0,0
CR,48,5,7,2016,Mcomeau,25,I2,1,2,i,11,,,,,,,,0,0
CR,49,5,7,2016,Mcomeau,25,I2,1,2,i,11,,,,,,,,0,0
CR,50,5,7,2016,Mcomeau,25,I2,1,2,f,23,,,,,,,,0,0
CR,51,5,7,2016,Mcomeau,25,I2,1,2,i,13,,,,,,,,0,0
CR,52,5,7,2016,Mcomeau,25,I2,1,2,i,16,,,,,,,,0,0
CR,53,5,7,2016,Mcomeau,25,I2,1,3,i,21,,,,,,,,0,0
CR,54,5,7,2016,Mcomeau,25,I2,1,3,i,13,,,,,,,,0,0
CR,55,5,7,2016,Mcomeau,25,I2,1,3,i,15,,,,,,,,0,0
CR,56,5,7,2016,Mcomeau,25,I2,1,3,i,13,,,,,,,,0,0
CR,57,5,7,2016,Mcomeau,25,I2,1,3,m,63,,,,,,,,0,0
CR,58,5,7,2016,Mcomeau,25,I2,1,3,i,28,,,,,,,,0,0
CR,59,5,7,2016,Mcomeau,25,I2,1,3,i,14,,,,,,,,0,0
