Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond
177,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,1,,,,0,0,0,0,1,,0,Simple,LS,
178,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,2,,,,0,0,0,0,1,,0,Simple,,
179,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,3,,,,0,0,0,0,1,,0,Simple,2LS,
180,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,4,,,,0,0,0,0,1,,0,Simple,,
181,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,5,,,,0,0,0,0,1,,0,Simple,LS,
182,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,6,,,,0,0,0,0,1,,0,Simple,LS,
183,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,7,,,,0,0,0,0,1,,0,Simple,,
184,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,8,,,,0,0,0,0,1,,0,Simple,,
185,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,9,,,,0,0,0,0,1,,0,Simple,2LS,
186,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,10,m,42,,0,0,0,0,1,,0,Simple,Structure,
187,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,11,,,,0,0,0,0,1,,0,Simple,LS,
188,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,12,,,,0,0,0,0,1,,0,Simple,,
189,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,13,,,,0,0,0,0,1,,0,Simple,LS,
190,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,14,,,,0,0,0,0,1,,0,Simple,LS,
191,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,15,,,,0,0,0,0,1,,0,Simple,,
192,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,16,,,,0,0,0,0,1,,0,Simple,,
193,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,17,,,,0,0,0,0,1,,0,Simple,,
194,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,18,,,,0,0,0,0,1,,0,Simple,,
195,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,19,,,,0,0,0,0,1,,0,Simple,,
196,13,7,2004,Elandry,4750.616,6452.806,4750.608,6452.891,26,I2,1,20,,,,0,0,0,0,1,,0,Simple,,
197,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,1,i,12,,0,0,0,0,1,,1,Simple,,
198,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,2,,,,0,0,0,0,1,,0,Simple,,
199,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,3,,,,0,0,0,0,1,,1,Simple,LS,
200,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,4,,,,0,0,0,0,1,,0,Simple,,
201,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,5,,,,0,0,0,0,1,,1,Simple,LS,
202,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,6,,,,0,0,0,0,1,,1,Simple,LS,
203,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,7,f,32,,0,0,0,0,1,,1,Simple,,
204,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,7,i,18,,0,0,0,0,1,,1,Simple,,
205,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,8,m,34,,0,0,0,0,1,,1,Simple,,
206,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,9,,,,0,0,0,0,1,,0,Simple,,
207,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,10,,,,0,0,0,0,1,,0,Simple,Structure,
208,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,11,,,,0,0,0,0,1,,0,Simple,,
209,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,12,,,,0,0,0,0,1,,0,Simple,,
210,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,13,,,,0,0,0,0,1,,0,Simple,,
211,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,14,i,8,,0,0,0,0,1,,1,Simple,,
212,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,15,,,,0,0,0,0,1,,0,Simple,,
213,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,16,,,,0,0,0,0,1,,0,Simple,,
214,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,17,,,,0,0,0,0,1,,0,Simple,,
215,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,18,,,,0,0,0,0,1,,0,Simple,,
216,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,19,m,85,,0,0,0,0,1,,1,Simple,,
217,13,7,2004,Rvienneau,4750.616,6452.806,4750.608,6452.891,26,I2,1,20,,,,0,0,0,0,1,,0,Simple,,
218,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,1,,,,0,0,0,0,1,,1,Simple,LS,
219,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,2,f,23,,0,0,0,0,1,,1,Simple,2LS,
220,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,3,,,,0,0,0,1,1,,0,Simple,,
221,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,4,,,,0,0,0,0,1,,0,Simple,,
222,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,5,i,12,,0,0,0,0,1,,1,Simple,2LS,
223,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,6,m,65,,0,0,0,0,1,,0,Simple,d,
224,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,7,i,11,,0,0,0,0,1,,1,Simple,,
225,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,8,m,42,,0,0,0,0,1,,1,Simple,ex 32,
226,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,8,f,22,,0,0,0,0,1,,1,Simple,,
227,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,9,,,,0,0,0,0,1,,1,Simple,LS,
228,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,10,,,,0,0,0,0,1,,0,Simple,,
229,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,11,,,,0,0,0,0,1,,0,Simple,,
230,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,12,,,,0,0,0,0,1,,0,Simple,,
231,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,13,f,28,,0,0,0,0,1,,1,Simple,LS,
232,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,14,,,,0,0,1,0,1,,0,Simple,,
233,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,15,,,,0,0,1,0,1,,0,Simple,,
234,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,16,,,,0,0,0,0,1,,1,Simple,LS,
235,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,17,,,,0,0,0,0,1,,0,Simple,,
236,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,18,,,,0,0,0,0,1,,0,Simple,,
237,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,19,,,,0,0,0,0,1,,0,Simple,,
238,13,7,2004,Mcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,20,,,,0,0,0,0,1,,0,Simple,,
239,13,7,2004,Bcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,1,,,,0,0,0,0,1,,1,Simple,Structure,
240,13,7,2004,Bcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,2,f,68,,0,0,0,0,1,,1,Simple,a-b,
241,13,7,2004,Bcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,3,,,,0,0,0,0,1,,0,Simple,LS,
242,13,7,2004,Bcomeau,4750.539,6452.786,4750.531,6452.871,22,I2,2,4,,,,0,0,0,0,1,,0,Simple,,
