REG,Marker ,Jour,Mois,Année,Plongeur,Depth_(ft),Site,Transect,section,sexe,LC_(mm),Sa,Va,Du,Al,Gr,Ca,C,MartinMallet,UPM
CR,1,11,7,2017,Rdoucette,26,I2,1,1,i,15,,,,,,,,0,0
CR,2,11,7,2017,Rdoucette,26,I2,1,1,i,9,,,,,,,,0,0
CR,3,11,7,2017,Rdoucette,26,I2,1,1,i,10,,,,,,,,0,0
CR,4,11,7,2017,Rdoucette,26,I2,1,1,i,10,,,,,,,,0,0
CR,5,11,7,2017,Rdoucette,26,I2,1,1,i,18,,,,,,,,0,0
CR,6,11,7,2017,Rdoucette,26,I2,1,1,i,10,,,,,,,,0,0
CR,7,11,7,2017,Rdoucette,26,I2,1,1,i,9,,,,,,,,0,0
CR,8,11,7,2017,Rdoucette,26,I2,1,1,f,65,,,,,,,,0,0
CR,9,11,7,2017,Rdoucette,26,I2,1,1,f,65,,,,,,,,0,0
CR,10,11,7,2017,Rdoucette,26,I2,1,1,m,27,,,,,,,,0,0
CR,11,11,7,2017,Rdoucette,26,I2,1,1,f,39,,,,,,,,0,0
CR,12,11,7,2017,Rdoucette,26,I2,1,1,f,24,,,,,,,,0,0
CR,13,11,7,2017,Rdoucette,26,I2,1,1,f,29,,,,,,,,0,0
CR,14,11,7,2017,Rdoucette,26,I2,1,1,f,22,,,,,,,,0,0
CR,15,11,7,2017,Rdoucette,26,I2,1,1,f,40,,,,,,,,0,0
CR,16,11,7,2017,Rdoucette,26,I2,1,1,f,33,,,,,,,,0,0
CR,17,11,7,2017,Rdoucette,26,I2,1,1,m,21,,,,,,,,0,0
CR,18,11,7,2017,Rdoucette,26,I2,1,1,f,28,,,,,,,,0,0
CR,19,11,7,2017,Rdoucette,26,I2,1,1,f,18,,,,,,,,0,0
CR,20,11,7,2017,Rdoucette,26,I2,1,2,i,13,,,,,,,,0,0
CR,21,11,7,2017,Rdoucette,26,I2,1,2,i,10,,,,,,,,0,0
CR,22,11,7,2017,Rdoucette,26,I2,1,2,i,10,,,,,,,,0,0
CR,23,11,7,2017,Rdoucette,26,I2,1,2,i,20,,,,,,,,0,0
CR,24,11,7,2017,Rdoucette,26,I2,1,2,i,15,,,,,,,,0,0
CR,25,11,7,2017,Rdoucette,26,I2,1,2,i,17,,,,,,,,0,0
CR,26,11,7,2017,Rdoucette,26,I2,1,2,i,9,,,,,,,,0,0
CR,27,11,7,2017,Rdoucette,26,I2,1,2,i,13,,,,,,,,0,0
CR,28,11,7,2017,Rdoucette,26,I2,1,2,i,12,,,,,,,,0,0
CR,29,11,7,2017,Rdoucette,26,I2,1,2,i,18,,,,,,,,0,0
CR,30,11,7,2017,Rdoucette,26,I2,1,2,i,19,,,,,,,,0,0
CR,31,11,7,2017,Rdoucette,26,I2,1,2,i,10,,,,,,,,0,0
CR,32,11,7,2017,Rdoucette,26,I2,1,2,i,10,,,,,,,,0,0
CR,33,11,7,2017,Rdoucette,26,I2,1,2,i,18,,,,,,,,0,0
CR,34,11,7,2017,Rdoucette,26,I2,1,2,f,21,,,,,,,,0,0
CR,35,11,7,2017,Rdoucette,26,I2,1,2,f,39,,,,,,,,0,0
CR,36,11,7,2017,Rdoucette,26,I2,1,2,m,22,,,,,,,,0,0
CR,37,11,7,2017,Rdoucette,26,I2,1,2,m,56,,,,,,,,0,0
CR,38,11,7,2017,Rdoucette,26,I2,1,2,m,23,,,,,,,,0,0
CR,39,11,7,2017,Rdoucette,26,I2,1,2,f,28,,,,,,,,0,0
CR,40,11,7,2017,Rdoucette,26,I2,1,2,f,25,,,,,,,,0,0
CR,41,11,7,2017,Rdoucette,26,I2,1,2,f,29,,,,,,,,0,0
CR,42,11,7,2017,Rdoucette,26,I2,1,2,m,28,,,,,,,,0,0
CR,43,11,7,2017,Rdoucette,26,I2,1,2,f,30,,,,,,,,0,0
