Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Transect,Trans,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond
14,14,6,2001,Glandry,4750.384,6504.084,4750.379,6504.17,29,AB1,1,14,,,,0,0,1,0,1,1,Simple,,
15,14,6,2001,Glandry,4750.384,6504.084,4750.379,6504.17,29,AB1,1,15,,,,0,0,0,0,1,1,Simple,,
16,14,6,2001,Glandry,4750.384,6504.084,4750.379,6504.17,29,AB1,1,16,,,,0,0,0,0,1,1,Simple,,
17,14,6,2001,Glandry,4750.384,6504.084,4750.379,6504.17,29,AB1,1,17,m,20,,0,0,0,0,1,1,Simple,,
18,14,6,2001,Glandry,4750.384,6504.084,4750.379,6504.17,29,AB1,1,17,m,15,,0,0,0,0,1,1,Simple,,
19,14,6,2001,Glandry,4750.384,6504.084,4750.379,6504.17,29,AB1,1,18,m,61,,0,0,0,0,1,1,Simple,,
20,14,6,2001,Glandry,4750.384,6504.084,4750.379,6504.17,29,AB1,1,18,m,39,,0,0,0,0,1,1,Simple,,
22,14,6,2001,Glandry,4750.384,6504.084,4750.379,6504.17,29,AB1,1,20,m,20,,0,0,0,0,0,1,Simple,,
36,14,6,2001,Mcomeau,4750.384,6504.084,4750.379,6504.17,29,AB1,1,14,,,,0,0,1,0,1,1,Simple,,
37,14,6,2001,Mcomeau,4750.384,6504.084,4750.379,6504.17,29,AB1,1,15,,,,0,0,0,0,0,1,Simple,,
38,14,6,2001,Mcomeau,4750.384,6504.084,4750.379,6504.17,29,AB1,1,16,,,,0,0,0,0,1,1,Simple,,
39,14,6,2001,Mcomeau,4750.384,6504.084,4750.379,6504.17,29,AB1,1,17,,,,0,0,0,0,1,1,Simple,,
40,14,6,2001,Mcomeau,4750.384,6504.084,4750.379,6504.17,29,AB1,1,18,,,,0,0,0,0,1,1,Simple,,
42,14,6,2001,Mcomeau,4750.384,6504.084,4750.379,6504.17,29,AB1,1,20,m,36,,0,0,0,0,0,1,Simple,,
43,14,6,2001,Mcomeau,4750.384,6504.084,4750.379,6504.17,29,AB1,1,20,f,30,,0,0,0,0,0,1,Simple,,
47,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,4,f,51,,0,0,0,0,1,1,Simple,,
48,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,4,m,65,,0,0,0,0,1,1,Simple,,
49,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,5,m,58,,0,0,1,0,1,1,Simple,,
49,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,6,,,,0,0,1,0,1,1,Simple,,
51,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,7,,,,0,0,1,0,1,1,Simple,,
52,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,8,i,33,±30,0,0,1,0,1,1,Simple,,
53,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,9,m,25,,0,0,1,0,1,1,Simple,,
54,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,9,f,25,,0,0,1,0,1,1,Simple,,
