Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Transect,Trans,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,
74,20,8,2001,Glandry,4750.415,6504.216,4750.403,6504.285,31,AB2,2,4,,,,0,0,1,0,0,1,Simple,,,,
75,20,8,2001,Glandry,4750.415,6504.216,4750.403,6504.285,31,AB2,2,5,I,70,Canner,0,0,1,0,0,1,Simple,,,,
76,20,8,2001,Glandry,4750.415,6504.216,4750.403,6504.285,31,AB2,2,6,i,22,±20,0,0,1,0,0,1,Simple,,,,
77,20,8,2001,Glandry,4750.415,6504.216,4750.403,6504.285,31,AB2,2,6,f,56,,0,0,1,0,0,1,Simple,,,,
78,20,8,2001,Glandry,4750.415,6504.216,4750.403,6504.285,31,AB2,2,7,m,73,,0,0,1,0,0,0,Simple,,,,
84,20,8,2001,Glandry,4750.415,6504.216,4750.403,6504.285,32,AB2,2,13,m,63,,0,0,1,0,0,1,Simple,,,,
85,20,8,2001,Glandry,4750.415,6504.216,4750.403,6504.285,32,AB2,2,14,m,14,,0,0,1,0,0,1,Simple,,,,
86,20,8,2001,Glandry,4750.415,6504.216,4750.403,6504.285,32,AB2,2,15,,,,0,0,1,0,0,1,Simple,,,,
89,20,8,2001,Glandry,4750.415,6504.216,4750.403,6504.285,32,AB2,2,18,f,58,,0,0,1,0,0,1,Simple,,,,
90,20,8,2001,Glandry,4750.415,6504.216,4750.403,6504.285,32,AB2,2,19,,,,0,0,1,0,0,1,Simple,,,,
91,20,8,2001,Glandry,4750.415,6504.216,4750.403,6504.285,32,AB2,2,20,m,71,,0,0,1,0,0,1,Simple,,,,
92,20,8,2001,Rvienneau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,1,f,55,,0,0,0,0,0,1,Simple,,,,
93,20,8,2001,Rvienneau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,2,f,58,,0,0,0,0,0,1,Simple,,,,
94,20,8,2001,Rvienneau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,3,m,50,,0,0,0,0,0,1,Simple,,,,
95,20,8,2001,Rvienneau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,4,,,,0,0,0,0,0,1,Simple,,,,
96,20,8,2001,Rvienneau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,5,f,43,,0,0,0,0,0,1,Simple,,,,
97,20,8,2001,Rvienneau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,6,,,,0,0,0,0,0,1,Simple,,,,
98,20,8,2001,Rvienneau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,7,m,52,,0,0,0,0,0,1,Simple,,,,
104,20,8,2001,Rvienneau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,13,m,74,,0,0,1,0,0,0,Simple,,,,
106,20,8,2001,Rvienneau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,15,f,96,,0,0,1,0,0,0,Simple,,,,
109,20,8,2001,Rvienneau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,18,,,,0,0,1,0,0,1,Simple,,,,
110,20,8,2001,Rvienneau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,19,,,,0,0,0,0,0,1,Simple,,,,
111,20,8,2001,Rvienneau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,20,i,31,±30,0,0,0,0,0,1,Simple,,,,
112,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,1,,,,0,0,0,0,0,1,Simple,,,,
113,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,2,i,46,±45,0,0,0,0,0,1,Simple,,,,
114,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,3,,,,0,0,0,0,0,1,Simple,,,,
115,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,4,,,,0,0,0,0,0,1,Simple,,,,
116,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,5,,,,0,0,0,0,0,1,Simple,,,,
117,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,6,f,54,,0,0,0,0,0,1,Simple,,,,
118,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,6,m,77,,0,0,0,0,0,1,Simple,,,,
119,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,7,,,,0,0,1,0,0,1,Simple,,,,
120,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,8,m,45,,0,0,1,0,0,1,Simple,,,,
121,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,9,m,40,,0,0,1,0,0,1,Simple,,,,
122,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,10,m,30,,0,0,1,0,0,1,Simple,,,,
125,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,13,m,23,,0,0,1,0,0,0,Simple,,,,
126,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,14,,,,0,0,1,0,0,1,Simple,,,,
127,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,15,f,57,,0,0,1,0,0,1,Simple,,,,
128,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,16,,,,0,0,1,0,0,0,Simple,,,,
129,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,17,f,75,,0,0,0,0,0,1,Simple,,,,
130,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,17,m,76,,0,0,0,0,0,1,Simple,,,,
131,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,18,,,,0,0,0,0,0,1,Simple,,,,
132,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,19,f,54,,0,0,0,0,0,1,Simple,,,,
133,20,8,2001,Bcomeau,4750.373,6504.397,4750.399,6504.322,30,AB2,3,20,,,,0,0,0,0,0,1,Simple,,,,
138,20,8,2001,Rvienneau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,5,,,,0,0,1,0,0,1,Simple,,,,
139,20,8,2001,Rvienneau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,6,,,,0,0,1,0,0,1,Simple,,,,
142,20,8,2001,Rvienneau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,9,,,,0,0,1,0,0,1,Simple,,,,
143,20,8,2001,Rvienneau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,10,,,,0,0,1,0,0,1,Simple,,,,
144,20,8,2001,Rvienneau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,11,,,,0,0,1,0,0,1,Simple,,,,
145,20,8,2001,Rvienneau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,12,,,,0,0,1,0,0,1,Simple,,,,
146,20,8,2001,Rvienneau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,13,,,,0,0,1,0,0,1,Simple,,,,
147,20,8,2001,Rvienneau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,14,m,88,,0,0,1,0,0,1,Simple,,,,
151,20,8,2001,Rvienneau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,18,f,99,,0,0,1,0,0,1,Simple,,,,
152,20,8,2001,Rvienneau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,19,,,,0,0,1,0,0,1,Simple,,,,
153,20,8,2001,Rvienneau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,20,,,,0,0,1,0,0,0,Simple,,,,
154,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,1,m,39,,0,0,1,0,0,0,Simple,,,,
156,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,3,m,72,,0,0,1,0,0,0,Simple,,,,
158,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,5,m,38,,0,0,1,0,1,0,Simple,,,,
159,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,6,,,,0,0,1,0,1,0,Simple,,,,
160,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,7,m,71,,0,0,1,0,0,0,Simple,,,,
161,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,8,,,,0,0,1,0,0,0,Simple,,,,
162,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,9,m,60,,0,0,1,0,1,0,Simple,,,,
163,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,9,f,31,,0,0,1,0,1,0,Simple,,,,
164,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,10,,,,0,0,1,0,1,0,Simple,,,,
165,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,11,f,30,,0,0,1,0,1,0,Simple,,,,
166,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,12,b1,65,,0,0,1,0,1,0,Simple,,,,
167,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,12,m,53,,0,0,1,0,1,0,Simple,,,,
168,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,13,,,,0,0,1,0,0,0,Simple,,,,
169,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,14,m,37,,0,0,1,0,0,0,Simple,,,,
171,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,16,,,,0,0,1,0,0,0,Simple,,,,
173,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,18,,,,0,0,1,0,0,1,Simple,,,,
174,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,19,,,,0,0,1,0,1,1,Simple,,,,
175,20,8,2001,Bcomeau,4750.366,6504.507,4750.386,6504.433,32,AB2,4,20,,,,0,0,1,0,1,1,Simple,,,,
177,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,2,m,22,,0,0,1,0,1,1,Simple,,,,
178,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,3,f,57,,0,0,1,0,1,1,Simple,,,,
179,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,4,,,,0,0,1,0,0,1,Simple,,,,
180,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,5,m,32,,0,0,1,0,1,1,Simple,,,,
181,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,5,m,44,,0,0,1,0,1,1,Simple,,,,
182,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,5,f,57,,0,0,1,0,1,1,Simple,,,,
183,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,5,b1,70,,0,0,1,0,1,1,Simple,,,,
187,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,9,f,26,,0,0,1,0,0,1,Simple,,,,
188,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,10,m,52,,0,0,1,0,1,1,Simple,,,,
189,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,10,f,34,,0,0,1,0,1,1,Simple,,,,
192,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,13,f,68,,0,0,1,0,0,1,Simple,,,,
193,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,14,f,34,,0,0,1,0,1,1,Simple,,,,
194,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,15,f,70,,0,0,1,0,1,1,Simple,,,,
195,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,16,f,33,,0,0,1,0,1,1,Simple,,,,
198,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,19,f,68,,0,0,0,0,0,1,Simple,,,,
199,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,19,f,75,,0,0,0,0,0,1,Simple,,,,
200,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,20,f,24,,0,0,0,0,0,1,Simple,,,,
201,21,8,2001,Mcomeau,4750.542,6503.019,4750.541,6503.101,28,AB2,5,20,f,54,,0,0,0,0,0,1,Simple,,,,
202,21,8,2001,Glandry,4750.542,6503.019,4750.541,6503.101,28,AB2,5,1,I,71,canner,0,0,1,0,0,1,Simple,,,,
203,21,8,2001,Glandry,4750.542,6503.019,4750.541,6503.101,28,AB2,5,1,f,35,,0,0,1,0,0,1,Simple,,,,
205,21,8,2001,Glandry,4750.542,6503.019,4750.541,6503.101,28,AB2,5,3,m,26,,0,0,1,0,0,1,Simple,,,,
206,21,8,2001,Glandry,4750.542,6503.019,4750.541,6503.101,28,AB2,5,4,f,45,,0,0,1,0,0,1,Simple,,,,
207,21,8,2001,Glandry,4750.542,6503.019,4750.541,6503.101,28,AB2,5,5,,,,0,0,1,0,0,1,Simple,"trappe ±3m 98b,74f,96m,71m,71f,71m,94m,71m",,,
208,21,8,2001,Glandry,4750.542,6503.019,4750.541,6503.101,28,AB2,5,6,m,55,,0,0,1,0,0,1,Simple,,,,
209,21,8,2001,Glandry,4750.542,6503.019,4750.541,6503.101,28,AB2,5,7,m,28,,0,0,1,0,0,1,Simple,,,,
213,21,8,2001,Glandry,4750.542,6503.019,4750.541,6503.101,28,AB2,5,11,m,47,,0,0,1,0,0,1,Simple,,,,
214,21,8,2001,Glandry,4750.542,6503.019,4750.541,6503.101,28,AB2,5,12,m,50,,0,0,1,0,0,1,Simple,,,,
215,21,8,2001,Glandry,4750.542,6503.019,4750.541,6503.101,28,AB2,5,13,b1,70,,0,0,1,0,0,1,Simple,,,,
216,21,8,2001,Glandry,4750.542,6503.019,4750.541,6503.101,28,AB2,5,14,I,70,canner,0,0,1,0,0,1,Simple,,,,
217,21,8,2001,Glandry,4750.542,6503.019,4750.541,6503.101,28,AB2,5,15,,,,0,1,1,0,0,1,Simple,,,,
219,21,8,2001,Glandry,4750.542,6503.019,4750.541,6503.101,28,AB2,5,17,,,,0,1,0,0,0,1,Simple,,,,
220,21,8,2001,Glandry,4750.542,6503.019,4750.541,6503.101,28,AB2,5,18,,,,0,1,0,0,0,1,Simple,,,,
221,21,8,2001,Glandry,4750.542,6503.019,4750.541,6503.101,28,AB2,5,19,,,,0,0,1,0,0,1,Simple,,,,
222,21,8,2001,Glandry,4750.542,6503.019,4750.541,6503.101,28,AB2,5,20,,,,0,0,1,0,0,1,Simple,,,,
223,21,8,2001,Rvienneau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,1,m,63,,0,0,0,0,0,1,Simple,,,,
224,21,8,2001,Rvienneau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,2,m,28,,0,0,0,0,0,1,Simple,,,,
225,21,8,2001,Rvienneau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,3,f,49,,0,0,0,0,0,1,Simple,,,,
226,21,8,2001,Rvienneau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,4,i,52,±50,0,0,1,0,0,1,Simple,,,,
227,21,8,2001,Rvienneau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,5,f,60,,0,0,0,0,0,1,Simple,,,,
228,21,8,2001,Rvienneau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,5,m,33,,0,0,0,0,0,1,Simple,,,,
229,21,8,2001,Rvienneau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,5,m,76,,0,0,0,0,0,1,Simple,,,,
230,21,8,2001,Rvienneau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,6,f,33,,0,0,1,0,0,1,Simple,,,,
231,21,8,2001,Rvienneau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,7,m,47,,0,0,1,0,0,1,Simple,,,,
232,21,8,2001,Rvienneau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,8,f,27,,0,0,1,0,0,0,Simple,,,,
234,21,8,2001,Rvienneau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,10,m,14,,0,0,1,0,0,1,Simple,,,,
235,21,8,2001,Rvienneau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,10,m,50,,0,0,1,0,0,1,Simple,,,,
237,21,8,2001,Rvienneau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,12,f,23,,0,0,1,0,0,0,Simple,,,,
238,21,8,2001,Rvienneau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,13,i,53,±50,0,0,1,0,0,1,Simple,,,,
239,21,8,2001,Rvienneau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,14,f,33,,0,0,1,0,0,1,Simple,,,,
241,21,8,2001,Rvienneau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,16,f,71,,0,0,1,0,0,0,Simple,,,,
245,21,8,2001,Rvienneau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,20,f,51,,0,0,1,0,0,1,Simple,,,,
246,21,8,2001,Bcomeau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,1,m,49,,0,0,0,0,1,1,Simple,,,,
247,21,8,2001,Bcomeau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,2,f,40,,0,0,0,0,1,0,Simple,,,,
248,21,8,2001,Bcomeau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,3,,,,0,0,1,0,1,0,Simple,,,,
250,21,8,2001,Bcomeau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,5,m,33,,0,0,1,0,0,0,Simple,,,,
251,21,8,2001,Bcomeau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,6,,,,0,0,0,0,1,0,Simple,,,,
252,21,8,2001,Bcomeau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,7,,,,0,0,0,0,1,1,Simple,,,,
253,21,8,2001,Bcomeau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,8,f,67,,0,0,0,0,1,1,Simple,,,,
254,21,8,2001,Bcomeau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,9,f,40,,0,0,1,0,1,1,Simple,,,,
255,21,8,2001,Bcomeau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,10,f,35,,0,0,1,0,0,1,Simple,,,,
256,21,8,2001,Bcomeau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,11,m,60,,0,0,1,0,0,0,Simple,,,,
257,21,8,2001,Bcomeau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,12,,,,0,0,1,0,1,0,Simple,,,,
261,21,8,2001,Bcomeau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,16,m,56,,0,0,1,0,0,1,Simple,,,,
262,21,8,2001,Bcomeau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,17,f,50,,0,0,0,0,1,0,Simple,,,,
264,21,8,2001,Bcomeau,4750.539,6503.138,4750.545,6503.214,28,AB2,6,19,m,78,,0,0,1,0,0,1,Simple,,,,
