Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,
1,18,7,2013,Bcomeau,,,,,29,RI,1,1,m,36,,,,,,,,,,,,,
2,18,7,2013,Bcomeau,,,,,29,RI,1,1,f,23,,,,,,,,,,,,,
3,18,7,2013,Bcomeau,,,,,29,RI,1,1,m,35,,,,,,,,,,,,,
4,18,7,2013,Bcomeau,,,,,29,RI,1,1,m,33,,,,,,,,,,,,,
5,18,7,2013,Bcomeau,,,,,29,RI,1,1,f,23,,,,,,,,,,,,,
6,18,7,2013,Bcomeau,,,,,29,RI,1,2,f,22,,,,,,,,,,,,,
7,18,7,2013,Bcomeau,,,,,29,RI,1,2,f,40,,,,,,,,,,,,,
8,18,7,2013,Bcomeau,,,,,29,RI,1,2,m,20,,,,,,,,,,,,,
9,18,7,2013,Bcomeau,,,,,29,RI,1,2,f,22,,,,,,,,,,,,,
10,18,7,2013,Bcomeau,,,,,29,RI,1,2,m,31,,,,,,,,,,,,,
11,18,7,2013,Bcomeau,,,,,29,RI,1,2,f,65,,,,,,,,,,,,,
12,18,7,2013,Bcomeau,,,,,29,RI,1,3,f,67,,,,,,,,,,,,,
13,18,7,2013,Bcomeau,,,,,29,RI,1,3,m,43,,,,,,,,,,,,,
14,18,7,2013,Bcomeau,,,,,29,RI,1,3,i,18,,,,,,,,,,,,,
15,18,7,2013,Bcomeau,,,,,29,RI,1,3,i,17,,,,,,,,,,,,,
16,18,7,2013,Bcomeau,,,,,29,RI,1,3,f,47,,,,,,,,,,,,,
17,18,7,2013,Bcomeau,,,,,29,RI,1,3,m,27,,,,,,,,,,,,,
18,18,7,2013,Bcomeau,,,,,29,RI,1,3,f,23,,,,,,,,,,,,,
19,18,7,2013,Bcomeau,,,,,29,RI,1,3,f,47,,,,,,,,,,,,,
20,18,7,2013,Bcomeau,,,,,29,RI,1,3,f,57,,,,,,,,,,,,,
21,18,7,2013,Bcomeau,,,,,29,RI,1,3,m,43,,,,,,,,,,,,,
22,18,7,2013,Bcomeau,,,,,29,RI,1,3,f,34,,,,,,,,,,,,,
23,18,7,2013,Bcomeau,,,,,29,RI,1,9,m,31,,,,,,,,,,,,,
24,18,7,2013,Bcomeau,,,,,29,RI,1,9,f,42,,,,,,,,,,,,,
25,18,7,2013,Bcomeau,,,,,29,RI,1,9,f,21,,,,,,,,,,,,,
26,18,7,2013,Bcomeau,,,,,29,RI,1,9,i,19,,,,,,,,,,,,,
27,18,7,2013,Bcomeau,,,,,29,RI,1,9,m,27,,,,,,,,,,,,,
28,18,7,2013,Bcomeau,,,,,29,RI,1,9,f,27,,,,,,,,,,,,,
29,18,7,2013,Bcomeau,,,,,29,RI,1,9,m,57,,,,,,,,,,,,,
30,18,7,2013,Bcomeau,,,,,29,RI,1,9,f,54,,,,,,,,,,,,,
31,18,7,2013,Bcomeau,,,,,29,RI,1,9,m,24,,,,,,,,,,,,,
32,18,7,2013,Bcomeau,,,,,29,RI,1,9,m,23,,,,,,,,,,,,,
33,18,7,2013,Bcomeau,,,,,29,RI,1,9,m,42,,,,,,,,,,,,,
34,18,7,2013,Bcomeau,,,,,29,RI,1,9,m,20,,,,,,,,,,,,,
35,18,7,2013,Bcomeau,,,,,29,RI,1,9,i,11,,,,,,,,,,,,,
36,18,7,2013,Bcomeau,,,,,29,RI,1,9,m,37,,,,,,,,,,,,,
37,18,7,2013,Bcomeau,,,,,29,RI,1,10,f,50,,,,,,,,,,,,,
38,18,7,2013,Bcomeau,,,,,29,RI,1,10,f,60,,,,,,,,,,,,,
39,18,7,2013,Bcomeau,,,,,29,RI,1,10,i,16,,,,,,,,,,,,,
40,18,7,2013,Bcomeau,,,,,29,RI,1,10,f,32,,,,,,,,,,,,,
41,18,7,2013,Bcomeau,,,,,29,RI,1,10,m,21,,,,,,,,,,,,,
42,18,7,2013,Bcomeau,,,,,29,RI,1,10,m,28,,,,,,,,,,,,,
43,18,7,2013,Bcomeau,,,,,29,RI,1,10,m,22,,,,,,,,,,,,,
44,18,7,2013,Bcomeau,,,,,29,RI,1,10,f,50,,,,,,,,,,,,,
45,18,7,2013,Bcomeau,,,,,29,RI,1,10,m,20,,,,,,,,,,,,,
46,18,7,2013,Bcomeau,,,,,29,RI,1,10,f,31,,,,,,,,,,,,,
47,18,7,2013,Bcomeau,,,,,29,RI,1,10,m,30,,,,,,,,,,,,,
48,18,7,2013,Bcomeau,,,,,29,RI,1,10,i,15,,,,,,,,,,,,,
49,18,7,2013,Bcomeau,,,,,29,RI,1,10,m,21,,,,,,,,,,,,,
50,18,7,2013,Bcomeau,,,,,29,RI,1,11,f,34,,,,,,,,,,,,,
51,18,7,2013,Bcomeau,,,,,29,RI,1,11,f,22,,,,,,,,,,,,,
52,18,7,2013,Bcomeau,,,,,29,RI,1,11,m,27,,,,,,,,,,,,,
53,18,7,2013,Bcomeau,,,,,29,RI,1,11,m,69,,,,,,,,,,,,,
54,18,7,2013,Bcomeau,,,,,29,RI,1,11,m,20,,,,,,,,,,,,,
55,18,7,2013,Bcomeau,,,,,29,RI,1,11,f,35,,,,,,,,,,,,,
56,18,7,2013,Bcomeau,,,,,29,RI,1,11,f,49,,,,,,,,,,,,,
57,18,7,2013,Bcomeau,,,,,29,RI,1,11,m,26,,,,,,,,,,,,,
58,18,7,2013,Bcomeau,,,,,29,RI,1,11,m,31,,,,,,,,,,,,,
59,18,7,2013,Bcomeau,,,,,29,RI,1,11,i,15,,,,,,,,,,,,,
60,18,7,2013,Bcomeau,,,,,29,RI,1,12,f,63,,,,,,,,,,,,,
61,18,7,2013,Bcomeau,,,,,29,RI,1,12,f,25,,,,,,,,,,,,,
62,18,7,2013,Bcomeau,,,,,29,RI,1,12,m,33,,,,,,,,,,,,,
