REG,Marker ,Jour,Mois,Année,Plongeur,Depth_(ft),Site,Transect,section,Sex,LC_(mm),Sa,Va,Du,Al,Gr,Ca,C,MartinMallet,UPM,
RI,1,30,7,2018,Mcomeau,26,RI,1,2,f,63,,,,,,,,0,0,
RI,2,30,7,2018,Mcomeau,26,RI,1,2,f,61,,,,,,,,0,0,
RI,3,30,7,2018,Mcomeau,26,RI,1,2,f,29,,,,,,,,0,0,
RI,4,30,7,2018,Mcomeau,26,RI,1,2,f,23,,,,,,,,0,0,
RI,5,30,7,2018,Mcomeau,26,RI,1,2,f,30,,,,,,,,0,0,
RI,6,30,7,2018,Mcomeau,26,RI,1,2,f,31,,,,,,,,0,0,
RI,7,30,7,2018,Mcomeau,26,RI,1,2,f,37,,,,,,,,0,0,
RI,8,30,7,2018,Mcomeau,26,RI,1,2,f,43,,,,,,,,0,0,
RI,9,30,7,2018,Mcomeau,26,RI,1,2,f,27,,,,,,,,0,0,
RI,10,30,7,2018,Mcomeau,26,RI,1,2,f,30,,,,,,,,0,0,
RI,11,30,7,2018,Mcomeau,26,RI,1,2,f,40,,,,,,,,0,0,
RI,12,30,7,2018,Mcomeau,26,RI,1,2,i,8,,,,,,,,0,0,
RI,13,30,7,2018,Mcomeau,26,RI,1,2,i,10,,,,,,,,0,0,
RI,14,30,7,2018,Mcomeau,26,RI,1,2,i,11,,,,,,,,0,0,
RI,15,30,7,2018,Mcomeau,26,RI,1,2,i,9,,,,,,,,0,0,
RI,16,30,7,2018,Mcomeau,26,RI,1,2,i,11,,,,,,,,0,0,
RI,17,30,7,2018,Mcomeau,26,RI,1,2,i,11,,,,,,,,0,0,
RI,18,30,7,2018,Mcomeau,26,RI,1,2,i,12,,,,,,,,0,0,
RI,19,30,7,2018,Mcomeau,26,RI,1,2,i,12,,,,,,,,0,0,
RI,20,30,7,2018,Mcomeau,26,RI,1,2,i,10,,,,,,,,0,0,
RI,21,30,7,2018,Mcomeau,26,RI,1,2,i,11,,,,,,,,0,0,
RI,22,30,7,2018,Mcomeau,26,RI,1,2,i,10,,,,,,,,0,0,
RI,23,30,7,2018,Mcomeau,26,RI,1,2,i,12,,,,,,,,0,0,
RI,24,30,7,2018,Mcomeau,26,RI,1,2,i,11,,,,,,,,0,0,
RI,25,30,7,2018,Mcomeau,26,RI,1,2,i,12,,,,,,,,0,0,
RI,26,30,7,2018,Mcomeau,26,RI,1,2,i,22,,,,,,,,0,0,
RI,27,30,7,2018,Mcomeau,26,RI,1,2,i,21,,,,,,,,0,0,
RI,28,30,7,2018,Mcomeau,26,RI,1,2,i,15,,,,,,,,0,0,
RI,29,30,7,2018,Mcomeau,26,RI,1,2,i,12,,,,,,,,0,0,
RI,30,30,7,2018,Mcomeau,26,RI,1,2,i,15,,,,,,,,0,0,
RI,31,30,7,2018,Mcomeau,26,RI,1,2,i,19,,,,,,,,0,0,
RI,32,30,7,2018,Mcomeau,26,RI,1,2,i,12,,,,,,,,0,0,
RI,33,30,7,2018,Mcomeau,26,RI,1,2,i,12,,,,,,,,0,0,
RI,34,30,7,2018,Mcomeau,26,RI,1,2,i,15,,,,,,,,0,0,
RI,35,30,7,2018,Mcomeau,26,RI,1,2,i,19,,,,,,,,0,0,
RI,36,30,7,2018,Mcomeau,26,RI,1,2,i,12,,,,,,,,0,0,
RI,37,30,7,2018,Mcomeau,26,RI,1,2,i,15,,,,,,,,0,0,
RI,38,30,7,2018,Mcomeau,26,RI,1,2,i,15,,,,,,,,0,0,
RI,39,30,7,2018,Mcomeau,26,RI,1,2,i,14,,,,,,,,0,0,
RI,40,30,7,2018,Mcomeau,26,RI,1,2,i,9,,,,,,,,0,0,
RI,41,30,7,2018,Mcomeau,26,RI,1,2,i,9,,,,,,,,0,0,
RI,42,30,7,2018,Mcomeau,26,RI,1,2,i,12,,,,,,,,0,0,
RI,43,30,7,2018,Mcomeau,26,RI,1,2,i,11,,,,,,,,0,0,
RI,44,30,7,2018,Mcomeau,26,RI,1,2,i,15,,,,,,,,0,0,
RI,45,30,7,2018,Mcomeau,26,RI,1,2,i,12,,,,,,,,0,0,
RI,46,30,7,2018,Mcomeau,26,RI,1,2,i,14,,,,,,,,0,0,
RI,47,30,7,2018,Mcomeau,26,RI,1,2,i,10,,,,,,,,0,0,
RI,48,30,7,2018,Mcomeau,26,RI,1,2,i,22,,,,,,,,0,0,
RI,49,30,7,2018,Mcomeau,26,RI,1,2,m,41,,,,,,,,0,0,
RI,50,30,7,2018,Mcomeau,26,RI,1,2,m,28,,,,,,,,0,0,
RI,51,30,7,2018,Mcomeau,26,RI,1,2,m,38,,,,,,,,0,0,
RI,52,30,7,2018,Mcomeau,26,RI,1,2,m,27,,,,,,,,0,0,
RI,53,30,7,2018,Mcomeau,26,RI,1,2,m,26,,,,,,,,0,0,
RI,54,30,7,2018,Mcomeau,26,RI,1,2,m,79,,,,,,,,0,0,
RI,55,30,7,2018,Mcomeau,26,RI,1,2,m,40,,,,,,,,0,0,
RI,56,30,7,2018,Mcomeau,26,RI,1,2,m,27,,,,,,,,0,0,
