Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,
1,1,8,2014,Bcomeau,,,,,29,RI,1,3,m,21,,,,,,,,,,,,,
2,1,8,2014,Bcomeau,,,,,29,RI,1,3,m,87,,,,,,,,,,,,,
3,1,8,2014,Bcomeau,,,,,29,RI,1,3,f,74,,,,,,,,,,,,,
4,1,8,2014,Bcomeau,,,,,29,RI,1,3,f,70,,,,,,,,,,,,,
5,1,8,2014,Bcomeau,,,,,29,RI,1,3,m,80,,,,,,,,,,,,,
6,1,8,2014,Bcomeau,,,,,29,RI,1,3,f,30,,,,,,,,,,,,,
7,1,8,2014,Bcomeau,,,,,29,RI,1,3,m,25,,,,,,,,,,,,,
8,1,8,2014,Bcomeau,,,,,29,RI,1,3,i,17,,,,,,,,,,,,,
9,1,8,2014,Bcomeau,,,,,29,RI,1,3,i,10,,,,,,,,,,,,,
10,1,8,2014,Bcomeau,,,,,29,RI,1,3,f,29,,,,,,,,,,,,,
11,1,8,2014,Bcomeau,,,,,29,RI,1,3,f,28,,,,,,,,,,,,,
12,1,8,2014,Bcomeau,,,,,29,RI,1,3,f,49,,,,,,,,,,,,,
13,1,8,2014,Bcomeau,,,,,29,RI,1,3,i,18,,,,,,,,,,,,,
14,1,8,2014,Bcomeau,,,,,29,RI,1,3,i,11,,,,,,,,,,,,,
15,1,8,2014,Bcomeau,,,,,29,RI,1,3,i,15,,,,,,,,,,,,,
16,1,8,2014,Bcomeau,,,,,29,RI,1,3,f,27,,,,,,,,,,,,,
17,1,8,2014,Bcomeau,,,,,29,RI,1,3,i,13,,,,,,,,,,,,,
18,1,8,2014,Bcomeau,,,,,29,RI,1,3,m,22,,,,,,,,,,,,,
19,1,8,2014,Bcomeau,,,,,29,RI,1,3,i,13,,,,,,,,,,,,,
20,1,8,2014,Bcomeau,,,,,29,RI,1,3,f,21,,,,,,,,,,,,,
21,1,8,2014,Bcomeau,,,,,29,RI,1,3,m,32,,,,,,,,,,,,,
22,1,8,2014,Bcomeau,,,,,29,RI,1,3,i,15,,,,,,,,,,,,,
23,1,8,2014,Bcomeau,,,,,29,RI,1,3,f,25,,,,,,,,,,,,,
24,1,8,2014,Bcomeau,,,,,29,RI,1,3,m,13,,,,,,,,,,,,,
25,1,8,2014,Bcomeau,,,,,29,RI,1,4,i,12,,,,,,,,,,,,,
26,1,8,2014,Bcomeau,,,,,29,RI,1,4,f,25,,,,,,,,,,,,,
27,1,8,2014,Bcomeau,,,,,29,RI,1,4,i,12,,,,,,,,,,,,,
28,1,8,2014,Bcomeau,,,,,29,RI,1,4,f,58,,,,,,,,,,,,,
29,1,8,2014,Bcomeau,,,,,29,RI,1,4,f,45,,,,,,,,,,,,,
30,1,8,2014,Bcomeau,,,,,29,RI,1,4,f,25,,,,,,,,,,,,,
31,1,8,2014,Bcomeau,,,,,29,RI,1,4,m,38,,,,,,,,,,,,,
32,1,8,2014,Bcomeau,,,,,29,RI,1,4,i,14,,,,,,,,,,,,,
33,1,8,2014,Bcomeau,,,,,29,RI,1,4,m,29,,,,,,,,,,,,,
34,1,8,2014,Bcomeau,,,,,29,RI,1,4,i,10,,,,,,,,,,,,,
35,1,8,2014,Bcomeau,,,,,29,RI,1,4,i,12,,,,,,,,,,,,,
36,1,8,2014,Bcomeau,,,,,29,RI,1,4,i,15,,,,,,,,,,,,,
37,1,8,2014,Bcomeau,,,,,29,RI,1,4,i,18,,,,,,,,,,,,,
38,1,8,2014,Bcomeau,,,,,29,RI,1,4,f,24,,,,,,,,,,,,,
39,1,8,2014,Bcomeau,,,,,29,RI,1,4,f,31,,,,,,,,,,,,,
40,1,8,2014,Bcomeau,,,,,29,RI,1,4,m,35,,,,,,,,,,,,,
41,1,8,2014,Bcomeau,,,,,29,RI,1,4,f,20,,,,,,,,,,,,,
42,1,8,2014,Bcomeau,,,,,29,RI,1,4,f,21,,,,,,,,,,,,,
43,1,8,2014,Bcomeau,,,,,29,RI,1,4,i,15,,,,,,,,,,,,,
44,1,8,2014,Bcomeau,,,,,29,RI,1,4,i,11,,,,,,,,,,,,,
45,1,8,2014,Bcomeau,,,,,29,RI,1,5,m,26,,,,,,,,,,,,,
46,1,8,2014,Bcomeau,,,,,29,RI,1,5,f,30,,,,,,,,,,,,,
47,1,8,2014,Bcomeau,,,,,29,RI,1,5,f,20,,,,,,,,,,,,,
48,1,8,2014,Bcomeau,,,,,29,RI,1,5,i,12,,,,,,,,,,,,,
49,1,8,2014,Bcomeau,,,,,29,RI,1,5,i,10,,,,,,,,,,,,,
50,1,8,2014,Bcomeau,,,,,29,RI,1,5,i,12,,,,,,,,,,,,,
51,1,8,2014,Bcomeau,,,,,29,RI,1,5,i,17,,,,,,,,,,,,,
52,1,8,2014,Bcomeau,,,,,29,RI,1,5,m,20,,,,,,,,,,,,,
53,1,8,2014,Bcomeau,,,,,29,RI,1,5,m,38,,,,,,,,,,,,,
54,1,8,2014,Bcomeau,,,,,29,RI,1,5,m,28,,,,,,,,,,,,,
55,1,8,2014,Bcomeau,,,,,29,RI,1,5,m,62,,,,,,,,,,,,,
56,1,8,2014,Bcomeau,,,,,29,RI,1,5,m,30,,,,,,,,,,,,,
57,1,8,2014,Bcomeau,,,,,29,RI,1,5,f,34,,,,,,,,,,,,,
58,1,8,2014,Bcomeau,,,,,29,RI,1,5,f,35,,,,,,,,,,,,,
59,1,8,2014,Bcomeau,,,,,29,RI,1,5,i,13,,,,,,,,,,,,,
60,1,8,2014,Bcomeau,,,,,29,RI,1,5,i,13,,,,,,,,,,,,,
61,1,8,2014,Bcomeau,,,,,29,RI,1,5,m,60,,,,,,,,,,,,,
62,1,8,2014,Bcomeau,,,,,29,RI,1,5,i,13,,,,,,,,,,,,,
63,1,8,2014,Bcomeau,,,,,29,RI,1,5,m,25,,,,,,,,,,,,,
64,1,8,2014,Bcomeau,,,,,29,RI,1,5,m,22,,,,,,,,,,,,,
65,1,8,2014,Bcomeau,,,,,29,RI,1,5,m,25,,,,,,,,,,,,,
66,1,8,2014,Bcomeau,,,,,29,RI,1,5,m,21,,,,,,,,,,,,,
67,1,8,2014,Bcomeau,,,,,29,RI,1,5,i,15,,,,,,,,,,,,,
68,1,8,2014,Bcomeau,,,,,29,RI,1,5,i,17,,,,,,,,,,,,,
69,1,8,2014,Bcomeau,,,,,29,RI,1,5,i,12,,,,,,,,,,,,,
70,1,8,2014,Bcomeau,,,,,29,RI,1,6,m,21,,,,,,,,,,,,,
71,1,8,2014,Bcomeau,,,,,29,RI,1,6,m,29,,,,,,,,,,,,,
