REG,Marker ,Jour,Mois,Année,Plongeur,Depth_(ft),Site,Transect,section,Sex,LC_(mm),Sa,Va,Du,Al,Gr,Ca,C,MartinMallet,UPM
NG,1,18,7,2016,Bcomeau,36,NG,1,1,f,62,,,,,,,,0,0
NG,2,18,7,2016,Bcomeau,36,NG,1,1,i,17,,,,,,,,0,0
NG,3,18,7,2016,Bcomeau,36,NG,1,1,m,68,,,,,,,,0,0
NG,4,18,7,2016,Bcomeau,36,NG,1,1,m,59,,,,,,,,0,0
NG,5,18,7,2016,Bcomeau,36,NG,1,2,f,28,,,,,,,,0,0
NG,6,18,7,2016,Bcomeau,36,NG,1,2,m,55,,,,,,,,0,0
NG,7,18,7,2016,Bcomeau,36,NG,1,2,f,50,,,,,,,,0,0
NG,8,18,7,2016,Bcomeau,36,NG,1,2,m,21,,,,,,,,0,0
NG,9,18,7,2016,Bcomeau,36,NG,1,2,f,35,,,,,,,,0,0
NG,10,18,7,2016,Bcomeau,36,NG,1,2,f,55,,,,,,,,0,0
NG,11,18,7,2016,Bcomeau,36,NG,1,2,m,27,,,,,,,,0,0
NG,12,18,7,2016,Bcomeau,36,NG,1,2,f,64,,,,,,,,0,0
NG,13,18,7,2016,Bcomeau,36,NG,1,2,m,24,,,,,,,,0,0
NG,14,18,7,2016,Bcomeau,36,NG,1,2,m,66,,,,,,,,0,0
NG,15,18,7,2016,Bcomeau,36,NG,1,2,i,18,,,,,,,,0,0
NG,16,18,7,2016,Bcomeau,36,NG,1,2,m,21,,,,,,,,0,0
NG,17,18,7,2016,Bcomeau,36,NG,1,2,m,27,,,,,,,,0,0
NG,18,18,7,2016,Bcomeau,36,NG,1,5,f,68,,,,,,,,0,0
NG,19,18,7,2016,Bcomeau,36,NG,1,5,f,60,,,,,,,,0,0
NG,20,18,7,2016,Bcomeau,36,NG,1,5,f,66,,,,,,,,0,0
NG,21,18,7,2016,Bcomeau,36,NG,1,5,m,22,,,,,,,,0,0
NG,22,18,7,2016,Bcomeau,36,NG,1,5,m,61,,,,,,,,0,0
NG,23,18,7,2016,Bcomeau,36,NG,1,5,f,63,,,,,,,,0,0
NG,24,18,7,2016,Bcomeau,36,NG,1,5,m,26,,,,,,,,0,0
NG,25,18,7,2016,Bcomeau,36,NG,1,6,f,20,,,,,,,,0,0
NG,26,18,7,2016,Bcomeau,36,NG,1,6,m,22,,,,,,,,0,0
NG,27,18,7,2016,Bcomeau,36,NG,1,6,i,15,,,,,,,,0,0
NG,28,18,7,2016,Bcomeau,36,NG,1,6,i,12,,,,,,,,0,0
NG,29,18,7,2016,Bcomeau,36,NG,1,6,m,55,,,,,,,,0,0
NG,30,18,7,2016,Bcomeau,36,NG,1,8,m,33,,,,,,,,0,0
NG,31,18,7,2016,Bcomeau,36,NG,1,8,f,85,,,,,,,,0,0
NG,32,18,7,2016,Bcomeau,36,NG,1,8,i,16,,,,,,,,0,0
NG,33,18,7,2016,Bcomeau,36,NG,1,8,m,72,,,,,,,,0,0
NG,34,18,7,2016,Bcomeau,36,NG,1,8,f,79,,,,,,,,0,0
NG,35,18,7,2016,Bcomeau,36,NG,1,8,m,66,,,,,,,,0,0
NG,36,18,7,2016,Bcomeau,36,NG,1,8,f,20,,,,,,,,0,0
NG,37,18,7,2016,Bcomeau,36,NG,1,8,m,25,,,,,,,,0,0
NG,38,18,7,2016,Bcomeau,36,NG,1,8,i,12,,,,,,,,0,0
NG,39,18,7,2016,Bcomeau,36,NG,1,9,m,41,,,,,,,,0,0
NG,40,18,7,2016,Bcomeau,36,NG,1,9,m,40,,,,,,,,0,0
NG,41,18,7,2016,Bcomeau,36,NG,1,9,m,31,,,,,,,,0,0
NG,42,18,7,2016,Bcomeau,36,NG,1,9,f,33,,,,,,,,0,0
NG,43,18,7,2016,Bcomeau,36,NG,1,9,f,30,,,,,,,,0,0
NG,44,18,7,2016,Bcomeau,36,NG,1,9,m,78,,,,,,,,0,0
NG,45,18,7,2016,Bcomeau,36,NG,1,9,f,72,,,,,,,,0,0
NG,46,18,7,2016,Bcomeau,36,NG,1,9,f,75,,,,,,,,0,0
