Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,,
1,18,7,2014,Mcomeau,,,,,37,NG,1,3,i,18,,,,,,,,,,,,,,
2,18,7,2014,Mcomeau,,,,,37,NG,1,3,m,85,,,,,,,,,,,,,,
3,18,7,2014,Mcomeau,,,,,37,NG,1,3,f,50,,,,,,,,,,,,,,
4,18,7,2014,Mcomeau,,,,,37,NG,1,3,f,65,,,,,,,,,,,,,,
5,18,7,2014,Mcomeau,,,,,37,NG,1,3,i,16,,,,,,,,,,,,,,
6,18,7,2014,Mcomeau,,,,,37,NG,1,3,f,28,,,,,,,,,,,,,,
7,18,7,2014,Mcomeau,,,,,37,NG,1,3,i,12,,,,,,,,,,,,,,
8,18,7,2014,Mcomeau,,,,,37,NG,1,3,f,20,,,,,,,,,,,,,,
9,18,7,2014,Mcomeau,,,,,37,NG,1,3,b1,72,,,,,,,,,,,,,,
10,18,7,2014,Mcomeau,,,,,37,NG,1,4,m,35,,,,,,,,,,,,,,
11,18,7,2014,Mcomeau,,,,,37,NG,1,4,m,39,,,,,,,,,,,,,,
12,18,7,2014,Mcomeau,,,,,37,NG,1,4,i,12,,,,,,,,,,,,,,
13,18,7,2014,Mcomeau,,,,,37,NG,1,4,f,55,,,,,,,,,,,,,,
14,18,7,2014,Mcomeau,,,,,37,NG,1,4,f,28,,,,,,,,,,,,,,
15,18,7,2014,Mcomeau,,,,,37,NG,1,4,f,32,,,,,,,,,,,,,,
16,18,7,2014,Mcomeau,,,,,37,NG,1,4,i,18,,,,,,,,,,,,,,
17,18,7,2014,Mcomeau,,,,,37,NG,1,4,m,23,,,,,,,,,,,,,,
18,18,7,2014,Mcomeau,,,,,37,NG,1,4,f,77,,,,,,,,,,,,,,
19,18,7,2014,Mcomeau,,,,,37,NG,1,5,f,24,,,,,,,,,,,,,,
20,18,7,2014,Mcomeau,,,,,37,NG,1,5,f,54,,,,,,,,,,,,,,
21,18,7,2014,Mcomeau,,,,,37,NG,1,5,f,69,,,,,,,,,,,,,,
22,18,7,2014,Mcomeau,,,,,37,NG,1,5,f,45,,,,,,,,,,,,,,
23,18,7,2014,Mcomeau,,,,,37,NG,1,5,m,52,,,,,,,,,,,,,,
24,18,7,2014,Mcomeau,,,,,37,NG,1,7,m,29,,,,,,,,,,,,,,
25,18,7,2014,Mcomeau,,,,,37,NG,1,7,i,9,,,,,,,,,,,,,,
26,18,7,2014,Mcomeau,,,,,37,NG,1,7,i,18,,,,,,,,,,,,,,
27,18,7,2014,Mcomeau,,,,,37,NG,1,7,m,50,,,,,,,,,,,,,,
28,18,7,2014,Mcomeau,,,,,37,NG,1,7,m,100,,,,,,,,,,,,,,
29,18,7,2014,Mcomeau,,,,,37,NG,1,7,m,27,,,,,,,,,,,,,,
30,18,7,2014,Mcomeau,,,,,37,NG,1,7,i,13,,,,,,,,,,,,,,
31,18,7,2014,Mcomeau,,,,,37,NG,1,7,i,17,,,,,,,,,,,,,,
32,18,7,2014,Mcomeau,,,,,37,NG,1,7,m,70,,,,,,,,,,,,,,
33,18,7,2014,Mcomeau,,,,,37,NG,1,7,f,55,,,,,,,,,,,,,,
34,18,7,2014,Mcomeau,,,,,37,NG,1,7,i,10,,,,,,,,,,,,,,
35,18,7,2014,Mcomeau,,,,,37,NG,1,7,i,11,,,,,,,,,,,,,,
36,18,7,2014,Mcomeau,,,,,37,NG,1,7,m,46,,,,,,,,,,,,,,
37,18,7,2014,Mcomeau,,,,,37,NG,1,7,f,66,,,,,,,,,,,,,,
38,18,7,2014,Mcomeau,,,,,37,NG,1,7,f,55,,,,,,,,,,,,,,
39,18,7,2014,Mcomeau,,,,,37,NG,1,7,i,13,,,,,,,,,,,,,,
40,18,7,2014,Mcomeau,,,,,37,NG,1,7,f,42,,,,,,,,,,,,,,
41,18,7,2014,Mcomeau,,,,,37,NG,1,7,i,9,,,,,,,,,,,,,,
42,18,7,2014,Mcomeau,,,,,37,NG,1,8,f,28,,,,,,,,,,,,,,
43,18,7,2014,Mcomeau,,,,,37,NG,1,8,f,65,,,,,,,,,,,,,,
44,18,7,2014,Mcomeau,,,,,37,NG,1,8,i,9,,,,,,,,,,,,,,
45,18,7,2014,Mcomeau,,,,,37,NG,1,8,i,9,,,,,,,,,,,,,,
46,18,7,2014,Mcomeau,,,,,37,NG,1,8,i,13,,,,,,,,,,,,,,
47,18,7,2014,Mcomeau,,,,,37,NG,1,8,i,21,,,,,,,,,,,,,,
48,18,7,2014,Mcomeau,,,,,37,NG,1,8,f,22,,,,,,,,,,,,,,
49,18,7,2014,Mcomeau,,,,,37,NG,1,8,f,24,,,,,,,,,,,,,,
50,18,7,2014,Mcomeau,,,,,37,NG,1,8,f,63,,,,,,,,,,,,,,
51,18,7,2014,Mcomeau,,,,,37,NG,1,8,f,72,,,,,,,,,,,,,,
52,18,7,2014,Mcomeau,,,,,37,NG,1,8,m,34,,,,,,,,,,,,,,
53,18,7,2014,Mcomeau,,,,,37,NG,1,8,f,34,,,,,,,,,,,,,,
54,18,7,2014,Mcomeau,,,,,37,NG,1,8,m,28,,,,,,,,,,,,,,
55,18,7,2014,Mcomeau,,,,,37,NG,1,8,m,25,,,,,,,,,,,,,,
56,18,7,2014,Mcomeau,,,,,37,NG,1,11,m,27,,,,,,,,,,,,,,
57,18,7,2014,Mcomeau,,,,,37,NG,1,11,m,27,,,,,,,,,,,,,,
58,18,7,2014,Mcomeau,,,,,37,NG,1,11,f,25,,,,,,,,,,,,,,
59,18,7,2014,Mcomeau,,,,,37,NG,1,11,i,9,,,,,,,,,,,,,,
60,18,7,2014,Mcomeau,,,,,37,NG,1,11,i,10,,,,,,,,,,,,,,
61,18,7,2014,Mcomeau,,,,,37,NG,1,11,i,11,,,,,,,,,,,,,,
62,18,7,2014,Mcomeau,,,,,37,NG,1,11,i,11,,,,,,,,,,,,,,
63,18,7,2014,Mcomeau,,,,,37,NG,1,11,i,19,,,,,,,,,,,,,,
64,18,7,2014,Mcomeau,,,,,37,NG,1,11,f,22,,,,,,,,,,,,,,
65,18,7,2014,Mcomeau,,,,,37,NG,1,11,f,80,,,,,,,,,,,,,,
66,18,7,2014,Mcomeau,,,,,37,NG,1,11,f,28,,,,,,,,,,,,,,
67,18,7,2014,Mcomeau,,,,,37,NG,1,11,f,75,,,,,,,,,,,,,,
68,18,7,2014,Mcomeau,,,,,37,NG,1,11,m,27,,,,,,,,,,,,,,
69,18,7,2014,Mcomeau,,,,,37,NG,1,11,f,69,,,,,,,,,,,,,,
70,18,7,2014,Mcomeau,,,,,37,NG,1,11,f,34,,,,,,,,,,,,,,
71,18,7,2014,Mcomeau,,,,,37,NG,1,11,m,25,,,,,,,,,,,,,,
72,18,7,2014,Mcomeau,,,,,37,NG,1,11,i,18,,,,,,,,,,,,,,
73,18,7,2014,Mcomeau,,,,,37,NG,1,11,i,13,,,,,,,,,,,,,,
74,18,7,2014,Mcomeau,,,,,37,NG,1,11,f,25,,,,,,,,,,,,,,
75,18,7,2014,Mcomeau,,,,,37,NG,1,11,m,27,,,,,,,,,,,,,,
76,18,7,2014,Mcomeau,,,,,37,NG,1,11,m,65,,,,,,,,,,,,,,
77,18,7,2014,Mcomeau,,,,,37,NG,1,11,i,13,,,,,,,,,,,,,,
78,18,7,2014,Mcomeau,,,,,37,NG,1,11,m,23,,,,,,,,,,,,,,
79,18,7,2014,Mcomeau,,,,,37,NG,1,11,i,18,,,,,,,,,,,,,,
80,18,7,2014,Mcomeau,,,,,37,NG,1,11,f,21,,,,,,,,,,,,,,
81,18,7,2014,Mcomeau,,,,,37,NG,1,11,i,9,,,,,,,,,,,,,,
82,18,7,2014,Mcomeau,,,,,37,NG,1,11,i,10,,,,,,,,,,,,,,
83,18,7,2014,Mcomeau,,,,,37,NG,1,11,i,9,,,,,,,,,,,,,,
84,18,7,2014,Mcomeau,,,,,37,NG,1,11,m,27,,,,,,,,,,,,,,
85,18,7,2014,Mcomeau,,,,,37,NG,1,11,i,11,,,,,,,,,,,,,,
86,18,7,2014,Mcomeau,,,,,37,NG,1,11,i,9,,,,,,,,,,,,,,
87,18,7,2014,Mcomeau,,,,,37,NG,1,11,i,10,,,,,,,,,,,,,,
88,18,7,2014,Bcomeau,,,,,37,NG,1,1,f,79,,,,,,,,,,,,,,
89,18,7,2014,Bcomeau,,,,,37,NG,1,1,m,57,,,,,,,,,,,,,,
90,18,7,2014,Bcomeau,,,,,37,NG,1,1,f,59,,,,,,,,,,,,,,
91,18,7,2014,Bcomeau,,,,,37,NG,1,10,f,70,,,,,,,,,,,,,,
92,18,7,2014,Bcomeau,,,,,37,NG,1,10,f,34,,,,,,,,,,,,,,
93,18,7,2014,Bcomeau,,,,,37,NG,1,10,m,28,,,,,,,,,,,,,,
94,18,7,2014,Bcomeau,,,,,37,NG,1,11,f,40,,,,,,,,,,,,,,
95,18,7,2014,Bcomeau,,,,,37,NG,1,11,i,15,,,,,,,,,,,,,,
96,18,7,2014,Bcomeau,,,,,37,NG,1,11,i,23,,,,,,,,,,,,,,
97,18,7,2014,Bcomeau,,,,,37,NG,1,11,i,17,,,,,,,,,,,,,,
98,18,7,2014,Bcomeau,,,,,37,NG,1,11,m,26,,,,,,,,,,,,,,
99,18,7,2014,Bcomeau,,,,,37,NG,1,11,i,18,,,,,,,,,,,,,,
100,18,7,2014,Bcomeau,,,,,37,NG,1,11,i,8,,,,,,,,,,,,,,
101,18,7,2014,Bcomeau,,,,,37,NG,1,11,i,18,,,,,,,,,,,,,,
102,18,7,2014,Bcomeau,,,,,37,NG,1,11,f,49,,,,,,,,,,,,,,
