REG,Marker ,Jour,Mois,Année,Plongeur,Depth_(ft),Site,Transect,section,sexe,LC_(mm),Sa,Va,Du,Al,Gr,Ca,C,MartinMallet,UPM
PV,1,21,7,2016,Rdoucette,28,PV,C3,2,i,16,,,,,,,,0,0
PV,2,21,7,2016,Rdoucette,28,PV,C3,2,m,20,,,,,,,,0,0
PV,3,21,7,2016,Rdoucette,28,PV,C3,2,f,55,,,,,,,,0,0
PV,4,21,7,2016,Rdoucette,28,PV,C3,2,f,40,,,,,,,,0,0
PV,5,21,7,2016,Rdoucette,28,PV,C3,2,f,43,,,,,,,,0,0
PV,6,21,7,2016,Rdoucette,28,PV,C3,2,f,35,,,,,,,,0,0
PV,7,21,7,2016,Rdoucette,28,PV,C3,2,m,26,,,,,,,,0,0
PV,8,21,7,2016,Rdoucette,28,PV,C3,2,m,26,,,,,,,,0,0
PV,9,21,7,2016,Rdoucette,28,PV,C3,2,i,13,,,,,,,,0,0
PV,10,21,7,2016,Rdoucette,28,PV,C3,3,m,29,,,,,,,,0,0
PV,11,21,7,2016,Rdoucette,28,PV,C3,3,i,11,,,,,,,,0,0
PV,12,21,7,2016,Rdoucette,28,PV,C3,3,i,15,,,,,,,,0,0
PV,13,21,7,2016,Rdoucette,28,PV,C3,3,i,12,,,,,,,,0,0
PV,14,21,7,2016,Rdoucette,28,PV,C3,3,f,23,,,,,,,,0,0
PV,15,21,7,2016,Rdoucette,28,PV,C3,3,f,37,,,,,,,,0,0
PV,16,21,7,2016,Rdoucette,28,PV,C3,3,i,15,,,,,,,,0,0
PV,17,21,7,2016,Rdoucette,28,PV,C3,3,f,28,,,,,,,,0,0
PV,18,21,7,2016,Rdoucette,28,PV,C3,3,f,25,,,,,,,,0,0
PV,19,21,7,2016,Rdoucette,28,PV,C3,3,i,18,,,,,,,,0,0
PV,20,21,7,2016,Rdoucette,28,PV,C3,3,f,28,,,,,,,,0,0
PV,21,21,7,2016,Rdoucette,28,PV,C3,3,f,27,,,,,,,,0,0
PV,22,21,7,2016,Rdoucette,28,PV,C3,3,m,19,,,,,,,,0,0
PV,23,21,7,2016,Rdoucette,28,PV,C3,3,i,18,,,,,,,,0,0
PV,24,21,7,2016,Rdoucette,28,PV,C3,3,f,28,,,,,,,,0,0
PV,25,21,7,2016,Rdoucette,28,PV,C3,3,f,50,,,,,,,,0,0
PV,26,21,7,2016,Rdoucette,28,PV,C3,3,i,15,,,,,,,,0,0
PV,27,21,7,2016,Rdoucette,28,PV,C3,3,i,17,,,,,,,,0,0
PV,28,21,7,2016,Rdoucette,28,PV,C3,3,i,10,,,,,,,,0,0
