Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond
1,21,6,2010,Bcomeau,,,,,17,CG,1,1,m,50,,,,,,,,,,,
2,21,6,2010,Bcomeau,,,,,17,CG,1,2,m,50,,,,,,,,,,,
3,21,6,2010,Bcomeau,,,,,17,CG,1,2,m,51,,,,,,,,,,,
4,21,6,2010,Bcomeau,,,,,17,CG,1,3,f,65,,,,,,,,,,,
5,21,6,2010,Bcomeau,,,,,17,CG,1,3,m,47,,,,,,,,,,,
6,21,6,2010,Bcomeau,,,,,17,CG,1,4,m,42,,,,,,,,,,,
7,21,6,2010,Bcomeau,,,,,17,CG,1,5,f,44,,,,,,,,,,,
8,21,6,2010,Bcomeau,,,,,17,CG,1,6,f,65,,,,,,,,,,,
9,21,6,2010,Bcomeau,,,,,17,CG,1,7,m,76,,,,,,,,,,,
10,21,6,2010,Bcomeau,,,,,17,CG,1,8,f,66,,,,,,,,,,,
11,21,6,2010,Bcomeau,,,,,17,CG,1,8,m,41,,,,,,,,,,,
12,21,6,2010,Bcomeau,,,,,17,CG,1,8,m,37,,,,,,,,,,,
13,21,6,2010,Bcomeau,,,,,17,CG,1,9,,,,,,,,,,,,,
14,21,6,2010,Bcomeau,,,,,17,CG,1,10,i,18,,,,,,,,,,,
15,21,6,2010,Bcomeau,,,,,17,CG,1,10,m,41,,,,,,,,,,,
16,21,6,2010,Bcomeau,,,,,17,CG,1,11,,,,,,,,,,,,,
17,21,6,2010,Bcomeau,,,,,17,CG,1,12,m,54,,,,,,,,,,,
18,21,6,2010,Bcomeau,,,,,17,CG,1,13,f,69,,,,,,,,,,,
19,21,6,2010,Bcomeau,,,,,17,CG,1,14,m,60,,,,,,,,,,,
20,21,6,2010,Bcomeau,,,,,17,CG,1,15,,,,,,,,,,,,,
21,21,6,2010,Bcomeau,,,,,17,CG,1,16,m,38,,,,,,,,,,,
22,21,6,2010,Bcomeau,,,,,17,CG,1,16,m,55,,,,,,,,,,,
23,21,6,2010,Bcomeau,,,,,17,CG,1,16,f,59,,,,,,,,,,,
24,21,6,2010,Bcomeau,,,,,17,CG,1,17,,,,,,,,,,,,,
25,21,6,2010,Bcomeau,,,,,17,CG,1,18,f,51,,,,,,,,,,,
26,21,6,2010,Bcomeau,,,,,17,CG,1,18,f,67,,,,,,,,,,,
27,21,6,2010,Bcomeau,,,,,17,CG,1,19,m,38,,,,,,,,,,,
28,21,6,2010,Bcomeau,,,,,17,CG,1,20,f,43,,,,,,,,,,,
29,21,6,2010,Bcomeau,,,,,17,CG,1,20,m,38,,,,,,,,,,,
30,21,6,2010,Mcomeau,,,,,17,CG,1,1,,,,,,,,,,,,,
31,21,6,2010,Mcomeau,,,,,17,CG,1,2,m,53,,,,,,,,,,,
32,21,6,2010,Mcomeau,,,,,17,CG,1,3,,,,,,,,,,,,,
33,21,6,2010,Mcomeau,,,,,17,CG,1,4,f,60,,,,,,,,,,,
34,21,6,2010,Mcomeau,,,,,17,CG,1,5,,,,,,,,,,,,,
35,21,6,2010,Mcomeau,,,,,17,CG,1,6,m,61,,,,,,,,,,,
36,21,6,2010,Mcomeau,,,,,17,CG,1,6,m,46,,,,,,,,,,,
37,21,6,2010,Mcomeau,,,,,17,CG,1,7,m,47,,,,,,,,,,,
38,21,6,2010,Mcomeau,,,,,17,CG,1,8,,,,,,,,,,,,,
39,21,6,2010,Mcomeau,,,,,17,CG,1,9,f,46,,,,,,,,,,,
40,21,6,2010,Mcomeau,,,,,17,CG,1,10,f,48,,,,,,,,,,,
41,21,6,2010,Mcomeau,,,,,17,CG,1,10,f,74,,,,,,,,,,,
42,21,6,2010,Mcomeau,,,,,17,CG,1,11,m,50,,,,,,,,,,,
43,21,6,2010,Mcomeau,,,,,17,CG,1,12,,,,,,,,,,,,,
44,21,6,2010,Mcomeau,,,,,17,CG,1,13,m,51,,,,,,,,,,,
45,21,6,2010,Mcomeau,,,,,17,CG,1,13,f,46,,,,,,,,,,,
46,21,6,2010,Mcomeau,,,,,17,CG,1,14,,,,,,,,,,,,,
47,21,6,2010,Mcomeau,,,,,17,CG,1,15,f,67,,,,,,,,,,,
48,21,6,2010,Mcomeau,,,,,17,CG,1,15,m,32,,,,,,,,,,,
49,21,6,2010,Mcomeau,,,,,17,CG,1,16,f,56,,,,,,,,,,,
