REG,Marker ,Jour,Mois,Année,Plongeur,Depth_(ft),Site,Transect,section,sexe,LC_(mm),Sa,Va,Du,Al,Gr,Ca,C,MartinMallet,UPM
CG,1,22,6,2016,Mcomeau,18,CG,1,1,i,14,0,0,0,1,1,1,1,0,0
CG,2,22,6,2016,Mcomeau,18,CG,1,1,m,29,,,,,,,,0,0
CG,3,22,6,2016,Mcomeau,18,CG,1,1,f,25,,,,,,,,0,0
CG,4,22,6,2016,Mcomeau,18,CG,1,1,f,22,,,,,,,,0,0
CG,5,22,6,2016,Mcomeau,18,CG,1,1,f,33,,,,,,,,0,0
CG,6,22,6,2016,Mcomeau,18,CG,1,1,m,21,,,,,,,,0,0
CG,7,22,6,2016,Mcomeau,18,CG,1,1,f,49,,,,,,,,0,0
CG,8,22,6,2016,Mcomeau,18,CG,1,1,f,22,,,,,,,,0,0
CG,9,22,6,2016,Mcomeau,18,CG,1,1,f,32,,,,,,,,0,0
CG,10,22,6,2016,Mcomeau,18,CG,1,1,f,37,,,,,,,,0,0
CG,11,22,6,2016,Mcomeau,18,CG,1,1,f,27,,,,,,,,0,0
CG,12,22,6,2016,Mcomeau,18,CG,1,1,m,26,,,,,,,,0,0
CG,13,22,6,2016,Mcomeau,18,CG,1,1,m,29,,,,,,,,0,0
CG,14,22,6,2016,Mcomeau,18,CG,1,1,f,27,,,,,,,,0,0
CG,15,22,6,2016,Mcomeau,18,CG,1,1,f,30,,,,,,,,0,0
CG,16,22,6,2016,Mcomeau,18,CG,1,1,m,50,,,,,,,,0,0
CG,17,22,6,2016,Mcomeau,18,CG,1,1,m,33,,,,,,,,0,0
CG,18,22,6,2016,Mcomeau,18,CG,1,1,f,27,,,,,,,,0,0
CG,19,22,6,2016,Mcomeau,18,CG,1,1,f,49,,,,,,,,0,0
CG,20,22,6,2016,Mcomeau,18,CG,1,1,m,35,,,,,,,,0,0
CG,21,22,6,2016,Mcomeau,18,CG,1,1,i,16,,,,,,,,0,0
CG,22,22,6,2016,Mcomeau,18,CG,1,2,i,20,,,,,,,,0,0
CG,23,22,6,2016,Mcomeau,18,CG,1,2,i,22,,,,,,,,0,0
CG,24,22,6,2016,Mcomeau,18,CG,1,2,f,38,,,,,,,,0,0
CG,25,22,6,2016,Mcomeau,18,CG,1,2,m,26,,,,,,,,0,0
CG,26,22,6,2016,Mcomeau,18,CG,1,2,f,30,,,,,,,,0,0
CG,27,22,6,2016,Mcomeau,18,CG,1,2,f,22,,,,,,,,0,0
CG,28,22,6,2016,Mcomeau,18,CG,1,2,m,31,,,,,,,,0,0
CG,29,22,6,2016,Mcomeau,18,CG,1,2,f,48,,,,,,,,0,0
CG,30,22,6,2016,Mcomeau,18,CG,1,2,f,46,,,,,,,,0,0
CG,31,22,6,2016,Mcomeau,18,CG,1,2,m,23,,,,,,,,0,0
CG,32,22,6,2016,Mcomeau,18,CG,1,2,m,28,,,,,,,,0,0
CG,33,22,6,2016,Mcomeau,18,CG,1,2,f,48,,,,,,,,0,0
CG,34,22,6,2016,Mcomeau,18,CG,1,2,f,30,,,,,,,,0,0
CG,35,22,6,2016,Mcomeau,18,CG,1,2,f,27,,,,,,,,0,0
CG,36,22,6,2016,Mcomeau,18,CG,1,2,f,22,,,,,,,,0,0
CG,37,22,6,2016,Mcomeau,18,CG,1,2,f,30,,,,,,,,0,0
CG,38,22,6,2016,Mcomeau,18,CG,1,2,f,44,,,,,,,,0,0
CG,39,22,6,2016,Mcomeau,18,CG,1,2,m,32,,,,,,,,0,0
CG,40,22,6,2016,Mcomeau,18,CG,1,2,f,27,,,,,,,,0,0
CG,41,22,6,2016,Mcomeau,18,CG,1,2,f,29,,,,,,,,0,0
CG,42,22,6,2016,Mcomeau,18,CG,1,2,m,28,,,,,,,,0,0
CG,43,22,6,2016,Mcomeau,18,CG,1,2,m,24,,,,,,,,0,0
CG,44,22,6,2016,Mcomeau,18,CG,1,2,i,18,,,,,,,,0,0
CG,45,22,6,2016,Mcomeau,18,CG,1,3,f,52,,,,,,,,0,0
CG,46,22,6,2016,Mcomeau,18,CG,1,3,f,69,,,,,,,,0,0
CG,47,22,6,2016,Mcomeau,18,CG,1,3,m,24,,,,,,,,0,0
CG,48,22,6,2016,Mcomeau,18,CG,1,3,f,39,,,,,,,,0,0
CG,49,22,6,2016,Mcomeau,18,CG,1,3,m,51,,,,,,,,0,0
CG,50,22,6,2016,Mcomeau,18,CG,1,3,m,29,,,,,,,,0,0
CG,51,22,6,2016,Mcomeau,18,CG,1,3,i,15,,,,,,,,0,0
