Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,
68,18,6,2014,Bcomeau,,,,,23,SH,2,13,m,20,,,,,,,,,,,,,
69,18,6,2014,Bcomeau,,,,,23,SH,2,13,f,47,,,,,,,,,,,,,
70,18,6,2014,Bcomeau,,,,,23,SH,2,19,f,62,,,,,,,,,,,,,
71,18,6,2014,Bcomeau,,,,,23,SH,2,19,f,68,,,,,,,,,,,,,
72,18,6,2014,Bcomeau,,,,,23,SH,2,20,,,,,,,,,,,,,,,
73,18,6,2014,Dgiard,,,,,26,SH,3,1,m,76,,,,,,,,,,,,,
74,18,6,2014,Dgiard,,,,,26,SH,3,5,m,68,,,,,,,,,,,,,
75,18,6,2014,Dgiard,,,,,26,SH,3,5,m,42,,,,,,,,,,,,,
76,18,6,2014,Dgiard,,,,,26,SH,3,5,i,25,,,,,,,,,,,,,
77,18,6,2014,Dgiard,,,,,26,SH,3,5,f,76,,,,,,,,,,,,,
78,18,6,2014,Dgiard,,,,,26,SH,3,5,m,20,,,,,,,,,,,,,
79,18,6,2014,Dgiard,,,,,26,SH,3,5,f,45,,,,,,,,,,,,,
80,18,6,2014,Dgiard,,,,,26,SH,3,5,m,14,,,,,,,,,,,,,
81,18,6,2014,Dgiard,,,,,26,SH,3,6,m,55,,,,,,,,,,,,,
82,18,6,2014,Dgiard,,,,,26,SH,3,6,f,41,,,,,,,,,,,,,
83,18,6,2014,Dgiard,,,,,26,SH,3,6,m,112,,,,,,,,,,,,,
84,18,6,2014,Dgiard,,,,,26,SH,3,6,m,18,,,,,,,,,,,,,
85,18,6,2014,Dgiard,,,,,26,SH,3,7,m,61,,,,,,,,,,,,,
86,18,6,2014,Dgiard,,,,,26,SH,3,8,f,66,,,,,,,,,,,,,
87,18,6,2014,Dgiard,,,,,26,SH,3,8,f,68,,,,,,,,,,,,,
88,18,6,2014,Dgiard,,,,,26,SH,3,9,m,53,,,,,,,,,,,,,
89,18,6,2014,Dgiard,,,,,26,SH,3,10,f,76,,,,,,,,,,,,,
90,18,6,2014,Dgiard,,,,,26,SH,3,11,,,,,,,,,,,,,,,
91,18,6,2014,Dgiard,,,,,26,SH,3,12,f,60,,,,,,,,,,,,,
92,18,6,2014,Dgiard,,,,,26,SH,3,12,m,19,,,,,,,,,,,,,
93,18,6,2014,Dgiard,,,,,26,SH,3,13,f,38,,,,,,,,,,,,,
94,18,6,2014,Dgiard,,,,,26,SH,3,14,f,26,,,,,,,,,,,,,
95,18,6,2014,Dgiard,,,,,26,SH,3,15,m,34,,,,,,,,,,,,,
96,18,6,2014,Dgiard,,,,,26,SH,3,15,f,47,,,,,,,,,,,,,
97,18,6,2014,Dgiard,,,,,26,SH,3,16,m,43,,,,,,,,,,,,,
