Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond
1,24,6,2008,Mcomeau,,,,,18,CG,1,1,F,40,,0,0,0,1,1,1,1,,,
2,24,6,2008,Mcomeau,,,,,18,CG,1,1,m,43,,0,0,0,1,1,1,1,,,
3,24,6,2008,Mcomeau,,,,,18,CG,1,1,m,25,,0,0,0,1,1,1,1,,,
4,24,6,2008,Mcomeau,,,,,18,CG,1,2,F,67,,0,0,0,1,1,1,1,,,
5,24,6,2008,Mcomeau,,,,,18,CG,1,3,f,56,,0,0,0,1,1,1,1,,,
6,24,6,2008,Mcomeau,,,,,18,CG,1,3,f,56,,0,0,0,1,1,1,1,,,
7,24,6,2008,Mcomeau,,,,,18,CG,1,4,f,52,,0,0,0,1,1,1,1,,,
8,24,6,2008,Mcomeau,,,,,18,CG,1,5,f,40,,0,0,0,1,1,1,1,,,
9,24,6,2008,Mcomeau,,,,,18,CG,1,6,f,50,,0,0,0,1,1,1,1,,,
10,24,6,2008,Mcomeau,,,,,18,CG,1,6,f,32,,0,0,0,1,1,1,1,,,
11,24,6,2008,Mcomeau,,,,,18,CG,1,6,m,40,,0,0,0,1,1,1,1,,,
12,24,6,2008,Mcomeau,,,,,18,CG,1,6,m,48,,0,0,0,1,1,1,1,,,
13,24,6,2008,Mcomeau,,,,,18,CG,1,7,,,,0,0,0,1,1,1,1,,,
14,24,6,2008,Mcomeau,,,,,18,CG,1,8,i,17,,0,0,0,1,1,1,1,,,
15,24,6,2008,Mcomeau,,,,,18,CG,1,8,m,45,,0,0,0,1,1,1,1,,,
16,24,6,2008,Mcomeau,,,,,18,CG,1,8,f,53,,0,0,0,1,1,1,1,,,
17,24,6,2008,Mcomeau,,,,,18,CG,1,9,f,30,,0,0,0,1,1,1,1,,,
18,24,6,2008,Mcomeau,,,,,18,CG,1,9,f,50,,0,0,0,1,1,1,1,,,
19,24,6,2008,Mcomeau,,,,,18,CG,1,10,f,58,,0,0,0,1,1,1,1,,,
20,24,6,2008,Mcomeau,,,,,18,CG,1,10,f,59,,0,0,0,1,1,1,1,,,
21,24,6,2008,Mcomeau,,,,,18,CG,1,10,m,54,,0,0,0,1,1,1,1,,,
22,24,6,2008,Mcomeau,,,,,18,CG,1,11,f,53,,0,0,0,1,1,1,1,,,
23,24,6,2008,Mcomeau,,,,,18,CG,1,12,,,,0,0,0,1,1,1,0,,,
24,24,6,2008,Mcomeau,,,,,18,CG,1,13,,,,0,0,0,1,1,1,0,,,
25,24,6,2008,Mcomeau,,,,,18,CG,1,14,f,62,,0,0,0,1,1,1,1,,,
26,24,6,2008,Mcomeau,,,,,18,CG,1,15,f,52,,0,0,0,1,1,1,1,,,
27,24,6,2008,Mcomeau,,,,,18,CG,1,15,f,55,,0,0,0,1,1,1,1,,,
28,24,6,2008,Mcomeau,,,,,18,CG,1,16,m,30,,0,0,0,1,1,1,1,,,
29,24,6,2008,Mcomeau,,,,,18,CG,1,16,f,70,,0,0,0,1,1,1,1,,,
30,24,6,2008,Mcomeau,,,,,18,CG,1,16,m,37,,0,0,0,1,1,1,1,,,
31,24,6,2008,Mcomeau,,,,,18,CG,1,17,f,41,,0,0,0,1,1,1,1,,,
32,24,6,2008,Mcomeau,,,,,18,CG,1,17,m,54,,0,0,0,1,1,1,1,,,
33,24,6,2008,Mcomeau,,,,,18,CG,1,18,f,27,,0,0,0,1,1,1,1,,,
34,24,6,2008,Mcomeau,,,,,18,CG,1,18,f,75,,0,0,0,1,1,1,1,,,
35,24,6,2008,Mcomeau,,,,,18,CG,1,18,m,37,,0,0,0,1,1,1,1,,,
36,24,6,2008,Mcomeau,,,,,18,CG,1,19,f,24,,0,0,0,1,1,1,1,,,
37,24,6,2008,Mcomeau,,,,,18,CG,1,19,f,40,,0,0,0,1,1,1,1,,,
38,24,6,2008,Mcomeau,,,,,18,CG,1,20,f,35,,0,0,0,1,1,1,1,,,
39,24,6,2008,Mcomeau,,,,,18,CG,1,20,m,44,,0,0,0,1,1,1,1,,,
40,24,6,2008,Bcomeau,,,,,18,CG,1,1,m,55,,0,0,0,1,1,1,1,,,
41,24,6,2008,Bcomeau,,,,,18,CG,1,1,m,36,,0,0,0,1,1,1,1,,,
42,24,6,2008,Bcomeau,,,,,18,CG,1,2,f,46,,0,0,0,1,1,1,1,,,
43,24,6,2008,Bcomeau,,,,,18,CG,1,2,f,50,,0,0,0,1,1,1,1,,,
44,24,6,2008,Bcomeau,,,,,18,CG,1,3,f,72,,0,0,0,1,1,1,1,,,
45,24,6,2008,Bcomeau,,,,,18,CG,1,4,,,,0,0,0,1,1,1,0,,,
46,24,6,2008,Bcomeau,,,,,18,CG,1,5,,,,0,0,0,1,1,1,0,,,
47,24,6,2008,Bcomeau,,,,,18,CG,1,6,,,,0,0,0,1,1,1,1,,,
48,24,6,2008,Bcomeau,,,,,18,CG,1,7,m,28,,0,0,0,1,1,1,1,,,
49,24,6,2008,Bcomeau,,,,,18,CG,1,7,f,53,,0,0,0,1,1,1,1,,,
50,24,6,2008,Bcomeau,,,,,18,CG,1,8,,,,0,0,0,1,1,1,1,,,
51,24,6,2008,Bcomeau,,,,,18,CG,1,9,f,34,,0,0,0,1,1,1,1,,,
52,24,6,2008,Bcomeau,,,,,18,CG,1,9,m,50,,0,0,0,1,1,1,1,,,
53,24,6,2008,Bcomeau,,,,,18,CG,1,9,m,59,,0,0,0,1,1,1,1,,,
54,24,6,2008,Bcomeau,,,,,18,CG,1,10,m,22,,0,0,0,1,1,1,1,,,
55,24,6,2008,Bcomeau,,,,,18,CG,1,10,f,42,,0,0,0,1,1,1,1,,,
56,24,6,2008,Bcomeau,,,,,18,CG,1,10,i,12,,0,0,0,1,1,1,1,,,
57,24,6,2008,Bcomeau,,,,,18,CG,1,10,f,125,,0,0,0,1,1,1,1,,,
58,24,6,2008,Bcomeau,,,,,18,CG,1,11,f,58,,0,0,0,1,1,1,1,,,
59,24,6,2008,Bcomeau,,,,,18,CG,1,11,m,65,,0,0,0,1,1,1,1,,,
60,24,6,2008,Bcomeau,,,,,18,CG,1,11,m,71,,0,0,0,1,1,1,1,,,
61,24,6,2008,Bcomeau,,,,,18,CG,1,12,f,73,,0,0,0,1,1,1,1,,,
62,24,6,2008,Bcomeau,,,,,18,CG,1,13,f,55,,0,0,0,1,1,1,1,,,
63,24,6,2008,Bcomeau,,,,,18,CG,1,13,f,75,,0,0,0,1,1,1,1,,,
64,24,6,2008,Bcomeau,,,,,18,CG,1,13,f,50,,0,0,0,1,1,1,1,,,
65,24,6,2008,Bcomeau,,,,,18,CG,1,14,i,12,,0,0,0,1,1,1,1,,,
66,24,6,2008,Bcomeau,,,,,18,CG,1,14,m,35,,0,0,0,1,1,1,1,,,
67,24,6,2008,Bcomeau,,,,,18,CG,1,14,m,42,,0,0,0,1,1,1,1,,,
68,24,6,2008,Bcomeau,,,,,18,CG,1,14,f,38,,0,0,0,1,1,1,1,,,
69,24,6,2008,Bcomeau,,,,,18,CG,1,15,m,32,,0,0,0,1,1,1,1,,,
70,24,6,2008,Bcomeau,,,,,18,CG,1,15,m,35,,0,0,0,1,1,1,1,,,
71,24,6,2008,Bcomeau,,,,,18,CG,1,16,,,,0,0,0,1,1,1,1,,,
72,24,6,2008,Bcomeau,,,,,18,CG,1,17,f,55,,0,0,0,1,1,1,1,,,
73,24,6,2008,Bcomeau,,,,,18,CG,1,17,f,68,,0,0,0,1,1,1,1,,,
74,24,6,2008,Bcomeau,,,,,18,CG,1,18,m,35,,0,0,0,1,1,1,1,,,
75,24,6,2008,Bcomeau,,,,,18,CG,1,18,m,38,,0,0,0,1,1,1,1,,,
76,24,6,2008,Bcomeau,,,,,18,CG,1,18,f,54,,0,0,0,1,1,1,1,,,
77,24,6,2008,Bcomeau,,,,,18,CG,1,19,f,52,,0,0,0,1,1,1,1,,,
78,24,6,2008,Bcomeau,,,,,18,CG,1,19,f,36,,0,0,0,1,1,1,1,,,
79,24,6,2008,Bcomeau,,,,,18,CG,1,20,m,65,,0,0,0,1,1,1,0,,,
80,24,6,2008,Gpaulin,,,,,19,CG,2,1,m,40,,1,0,0,1,0,1,1,,,
81,24,6,2008,Gpaulin,,,,,19,CG,2,2,m,32,,1,0,0,1,0,1,1,,,
82,24,6,2008,Gpaulin,,,,,19,CG,2,3,f,97,,1,0,0,1,0,0,1,,,
83,24,6,2008,Gpaulin,,,,,19,CG,2,3,f,52,,1,0,0,1,0,0,1,,,
84,24,6,2008,Gpaulin,,,,,19,CG,2,4,m,55,,1,0,0,1,0,1,1,,,
85,24,6,2008,Gpaulin,,,,,19,CG,2,5,f,37,,1,0,0,1,0,1,0,,,
