Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond
1,24,6,2009,Mcomeau,,,,,,SH,1,2,m,95,,,,,,,,,,23LS,
2,24,6,2009,Mcomeau,,,,,,SH,1,3,,,,,,,,,,,,,
3,24,6,2009,Mcomeau,,,,,,SH,1,4,m,55,,,,,,,,,,,
4,24,6,2009,Mcomeau,,,,,,SH,1,6,m,65,,,,,,,,,,,
5,24,6,2009,Mcomeau,,,,,,SH,1,6,i,120,1,,,,,,,,,,
6,24,6,2009,Mcomeau,,,,,,SH,1,8,m,55,,,,,,,,,,,
7,24,6,2009,Mcomeau,,,,,,SH,1,10,,,,,,,,,,,,,
8,24,6,2009,Mcomeau,,,,,,SH,1,11,f,25,,,,,,,,,,,
9,24,6,2009,Mcomeau,,,,,,SH,1,13,m,23,,,,,,,,,,,
10,24,6,2009,Mcomeau,,,,,,SH,1,13,m,42,,,,,,,,,,,
11,24,6,2009,Mcomeau,,,,,,SH,1,14,f,45,,,,,,,,,,,
12,24,6,2009,Mcomeau,,,,,,SH,1,14,f,65,,,,,,,,,,,
13,24,6,2009,Mcomeau,,,,,,SH,1,15,m,52,,,,,,,,,,,
14,24,6,2009,Mcomeau,,,,,,SH,1,15,f,83,,,,,,,,,,,
15,24,6,2009,Mcomeau,,,,,,SH,1,16,f,46,,,,,,,,,,,
16,24,6,2009,Mcomeau,,,,,,SH,1,18,f,34,,,,,,,,,,,
17,24,6,2009,Mcomeau,,,,,,SH,1,18,f,67,,,,,,,,,,,
18,24,6,2009,Mcomeau,,,,,,SH,1,18,m,70,,,,,,,,,,,
19,24,6,2009,Mcomeau,,,,,,SH,1,19,m,57,,,,,,,,,,,
20,24,6,2009,Bcomeau,,,,,,SH,1,1,f,36,,,,,,,,,,4LS,
21,24,6,2009,Bcomeau,,,,,,SH,1,2,f,43,,,,,,,,,,,
22,24,6,2009,Bcomeau,,,,,,SH,1,8,,,,,,,,,,,,,
