Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond
1,23,6,2015,Mcomeau,,,,,26,SH,1,1,i,12,,,,,,,,,,,
2,23,6,2015,Mcomeau,,,,,26,SH,1,1,i,12,,,,,,,,,,,
3,23,6,2015,Mcomeau,,,,,26,SH,1,1,m,29,,,,,,,,,,,
4,23,6,2015,Mcomeau,,,,,26,SH,1,2,f,32,,,,,,,,,,,
5,23,6,2015,Mcomeau,,,,,26,SH,1,2,f,36,,,,,,,,,,,
6,23,6,2015,Mcomeau,,,,,26,SH,1,2,i,18,,,,,,,,,,,
7,23,6,2015,Mcomeau,,,,,26,SH,1,2,i,19,,,,,,,,,,,
8,23,6,2015,Mcomeau,,,,,26,SH,1,2,f,39,,,,,,,,,,,
9,23,6,2015,Mcomeau,,,,,26,SH,1,2,i,19,,,,,,,,,,,
10,23,6,2015,Mcomeau,,,,,26,SH,1,2,i,12,,,,,,,,,,,
11,23,6,2015,Mcomeau,,,,,26,SH,1,2,f,69,,,,,,,,,,,
12,23,6,2015,Mcomeau,,,,,26,SH,1,3,i,10,,,,,,,,,,,
13,23,6,2015,Mcomeau,,,,,26,SH,1,4,m,42,,,,,,,,,,,
14,23,6,2015,Mcomeau,,,,,26,SH,1,4,i,13,,,,,,,,,,,
15,23,6,2015,Mcomeau,,,,,26,SH,1,5,f,63,,,,,,,,,,,
16,23,6,2015,Mcomeau,,,,,26,SH,1,5,f,37,,,,,,,,,,,
17,23,6,2015,Mcomeau,,,,,26,SH,1,5,i,13,,,,,,,,,,,
18,23,6,2015,Mcomeau,,,,,26,SH,1,5,i,12,,,,,,,,,,,
19,23,6,2015,Mcomeau,,,,,26,SH,1,5,f,74,,,,,,,,,,,
20,23,6,2015,Mcomeau,,,,,26,SH,1,6,i,18,,,,,,,,,,,
21,23,6,2015,Mcomeau,,,,,26,SH,1,6,i,19,,,,,,,,,,,
22,23,6,2015,Mcomeau,,,,,26,SH,1,6,m,88,,,,,,,,,,,
23,23,6,2015,Mcomeau,,,,,26,SH,1,7,f,38,,,,,,,,,,,
24,23,6,2015,Mcomeau,,,,,26,SH,1,7,f,75,,,,,,,,,,,
25,23,6,2015,Mcomeau,,,,,26,SH,1,7,m,29,,,,,,,,,,,
26,23,6,2015,Mcomeau,,,,,26,SH,1,7,m,39,,,,,,,,,,,
27,23,6,2015,Mcomeau,,,,,26,SH,1,7,i,17,,,,,,,,,,,
28,23,6,2015,Mcomeau,,,,,26,SH,1,8,m,37,,,,,,,,,,,
29,23,6,2015,Mcomeau,,,,,26,SH,1,8,f,24,,,,,,,,,,,
30,23,6,2015,Mcomeau,,,,,26,SH,1,8,f,32,,,,,,,,,,,
31,23,6,2015,Mcomeau,,,,,26,SH,1,8,i,12,,,,,,,,,,,
32,23,6,2015,Mcomeau,,,,,26,SH,1,8,m,65,,,,,,,,,,,
33,23,6,2015,Mcomeau,,,,,26,SH,1,8,f,37,,,,,,,,,,,
34,23,6,2015,Mcomeau,,,,,26,SH,1,9,f,57,,,,,,,,,,,
35,23,6,2015,Mcomeau,,,,,26,SH,1,9,m,33,,,,,,,,,,,
36,23,6,2015,Mcomeau,,,,,26,SH,1,9,f,28,,,,,,,,,,,
37,23,6,2015,Mcomeau,,,,,26,SH,1,20,f,29,,,,,,,,,,,
38,23,6,2015,Mcomeau,,,,,26,SH,1,20,i,12,,,,,,,,,,,
39,23,6,2015,Mcomeau,,,,,26,SH,1,20,f,29,,,,,,,,,,,
40,23,6,2015,Mcomeau,,,,,26,SH,1,20,f,25,,,,,,,,,,,
41,23,6,2015,Mcomeau,,,,,26,SH,1,20,f,40,,,,,,,,,,,
42,23,6,2015,Mcomeau,,,,,26,SH,1,20,f,57,,,,,,,,,,,
43,23,6,2015,Mcomeau,,,,,26,SH,1,20,i,14,,,,,,,,,,,
44,23,6,2015,Mcomeau,,,,,26,SH,1,20,i,14,,,,,,,,,,,
45,23,6,2015,Bcomeau,,,,,26,SH,1,1,i,13,,,,,,,,,,,
46,23,6,2015,Bcomeau,,,,,26,SH,1,2,,,,,,,,,,,,,
47,23,6,2015,Bcomeau,,,,,26,SH,1,3,i,12,,,,,,,,,,,
48,23,6,2015,Bcomeau,,,,,26,SH,1,3,m,40,,,,,,,,,,,
49,23,6,2015,Bcomeau,,,,,26,SH,1,3,m,56,,,,,,,,,,,
50,23,6,2015,Bcomeau,,,,,26,SH,1,3,f,28,,,,,,,,,,,
51,23,6,2015,Bcomeau,,,,,26,SH,1,3,f,36,,,,,,,,,,,
52,23,6,2015,Bcomeau,,,,,26,SH,1,4,i,70,,,,,,,,,,,
53,23,6,2015,Bcomeau,,,,,26,SH,1,4,i,70,,,,,,,,,,,
54,23,6,2015,Bcomeau,,,,,26,SH,1,4,f,33,,,,,,,,,,,
55,23,6,2015,Bcomeau,,,,,26,SH,1,4,i,35,,,,,,,,,,,
56,23,6,2015,Bcomeau,,,,,26,SH,1,5,m,40,,,,,,,,,,,
57,23,6,2015,Bcomeau,,,,,26,SH,1,5,i,18,,,,,,,,,,,
58,23,6,2015,Bcomeau,,,,,26,SH,1,5,i,14,,,,,,,,,,,
59,23,6,2015,Bcomeau,,,,,26,SH,1,5,i,21,,,,,,,,,,,
60,23,6,2015,Bcomeau,,,,,26,SH,1,7,m,84,,,,,,,,,,,
61,23,6,2015,Bcomeau,,,,,26,SH,1,7,i,60,,,,,,,,,,,
62,23,6,2015,Bcomeau,,,,,26,SH,1,8,f,28,,,,,,,,,,,
63,23,6,2015,Bcomeau,,,,,26,SH,1,8,m,54,,,,,,,,,,,
64,23,6,2015,Bcomeau,,,,,26,SH,1,8,f,61,,,,,,,,,,,
65,23,6,2015,Bcomeau,,,,,26,SH,1,8,m,45,,,,,,,,,,,
66,23,6,2015,Bcomeau,,,,,26,SH,1,9,m,69,,,,,,,,,,,
67,23,6,2015,Bcomeau,,,,,26,SH,1,10,f,28,,,,,,,,,,,
68,23,6,2015,Bcomeau,,,,,26,SH,1,10,m,26,,,,,,,,,,,
69,23,6,2015,Bcomeau,,,,,26,SH,1,10,m,38,,,,,,,,,,,
70,23,6,2015,Bcomeau,,,,,26,SH,1,11,m,27,,,,,,,,,,,
71,23,6,2015,Bcomeau,,,,,26,SH,1,11,f,36,,,,,,,,,,,
72,23,6,2015,Bcomeau,,,,,26,SH,1,11,m,24,,,,,,,,,,,
73,23,6,2015,Bcomeau,,,,,26,SH,1,12,m,32,,,,,,,,,,,
74,23,6,2015,Bcomeau,,,,,26,SH,1,13,f,68,,,,,,,,,,,
75,23,6,2015,Bcomeau,,,,,26,SH,1,14,f,138,,,,,,,,,,,
76,23,6,2015,Bcomeau,,,,,26,SH,1,14,f,89,,,,,,,,,,,
77,23,6,2015,Bcomeau,,,,,26,SH,1,14,m,68,,,,,,,,,,,
78,23,6,2015,Bcomeau,,,,,26,SH,1,14,m,33,,,,,,,,,,,
79,23,6,2015,Bcomeau,,,,,26,SH,1,15,m,47,,,,,,,,,,,
80,23,6,2015,Bcomeau,,,,,26,SH,1,20,m,26,,,,,,,,,,,
81,23,6,2015,Bcomeau,,,,,26,SH,1,20,m,29,,,,,,,,,,,
82,23,6,2015,Bcomeau,,,,,26,SH,1,20,i,19,,,,,,,,,,,
83,23,6,2015,Bcomeau,,,,,26,SH,1,20,m,35,,,,,,,,,,,
84,23,6,2015,Bcomeau,,,,,26,SH,1,20,i,40,,,,,,,,,,,
85,23,6,2015,Rdoucette,,,,,22,SH,2,2,f,36,,,,,,,,,,,
86,23,6,2015,Rdoucette,,,,,22,SH,2,2,i,90,,,,,,,,,,,
87,23,6,2015,Rdoucette,,,,,22,SH,2,3,f,74,,,,,,,,,,,
88,23,6,2015,Rdoucette,,,,,22,SH,2,3,f,25,,,,,,,,,,,
89,23,6,2015,Rdoucette,,,,,22,SH,2,3,m,22,,,,,,,,,,,
90,23,6,2015,Rdoucette,,,,,22,SH,2,3,i,11,,,,,,,,,,,
91,23,6,2015,Rdoucette,,,,,22,SH,2,3,i,12,,,,,,,,,,,
92,23,6,2015,Rdoucette,,,,,22,SH,2,3,m,30,,,,,,,,,,,
93,23,6,2015,Rdoucette,,,,,22,SH,2,4,i,14,,,,,,,,,,,
94,23,6,2015,Rdoucette,,,,,22,SH,2,4,i,13,,,,,,,,,,,
95,23,6,2015,Rdoucette,,,,,22,SH,2,4,m,20,,,,,,,,,,,
96,23,6,2015,Rdoucette,,,,,22,SH,2,4,i,12,,,,,,,,,,,
97,23,6,2015,Rdoucette,,,,,22,SH,2,4,f,32,,,,,,,,,,,
98,23,6,2015,Rdoucette,,,,,22,SH,2,6,m,35,,,,,,,,,,,
99,23,6,2015,Rdoucette,,,,,22,SH,2,6,i,17,,,,,,,,,,,
100,23,6,2015,Rdoucette,,,,,22,SH,2,6,m,29,,,,,,,,,,,
101,23,6,2015,Rdoucette,,,,,22,SH,2,6,i,12,,,,,,,,,,,
102,23,6,2015,Rdoucette,,,,,22,SH,2,6,i,11,,,,,,,,,,,
103,23,6,2015,Rdoucette,,,,,22,SH,2,10,m,35,,,,,,,,,,,
104,23,6,2015,Rdoucette,,,,,22,SH,2,13,m,34,,,,,,,,,,,
105,23,6,2015,Rdoucette,,,,,22,SH,2,13,f,67,,,,,,,,,,,
106,23,6,2015,Rdoucette,,,,,22,SH,2,15,i,12,,,,,,,,,,,
107,23,6,2015,Rdoucette,,,,,22,SH,2,15,f,27,,,,,,,,,,,
108,23,6,2015,Rdoucette,,,,,22,SH,2,16,m,72,,,,,,,,,,,
109,23,6,2015,Rdoucette,,,,,22,SH,2,16,i,15,,,,,,,,,,,
110,23,6,2015,Rdoucette,,,,,22,SH,2,16,f,29,,,,,,,,,,,
111,23,6,2015,Rdoucette,,,,,22,SH,2,17,i,12,,,,,,,,,,,
112,23,6,2015,Rdoucette,,,,,22,SH,2,17,i,15,,,,,,,,,,,
113,23,6,2015,Rdoucette,,,,,22,SH,2,17,i,20,,,,,,,,,,,
114,23,6,2015,Rdoucette,,,,,22,SH,2,18,i,13,,,,,,,,,,,
115,23,6,2015,Rdoucette,,,,,22,SH,2,18,f,37,,,,,,,,,,,
116,23,6,2015,Rdoucette,,,,,22,SH,2,18,i,12,,,,,,,,,,,
117,23,6,2015,Rdoucette,,,,,22,SH,2,18,m,56,,,,,,,,,,,
118,23,6,2015,Rdoucette,,,,,22,SH,2,19,m,22,,,,,,,,,,,
119,23,6,2015,Rdoucette,,,,,22,SH,2,19,m,25,,,,,,,,,,,
120,23,6,2015,Rdoucette,,,,,22,SH,2,19,i,12,,,,,,,,,,,
121,23,6,2015,Rdoucette,,,,,22,SH,2,19,i,12,,,,,,,,,,,
122,23,6,2015,Rdoucette,,,,,22,SH,2,19,m,54,,,,,,,,,,,
123,23,6,2015,Rdoucette,,,,,22,SH,2,20,m,23,,,,,,,,,,,
124,23,6,2015,Mcomeau,,,,,22,SH,2,3,f,27,,,,,,,,,,,
125,23,6,2015,Mcomeau,,,,,22,SH,2,3,m,21,,,,,,,,,,,
126,23,6,2015,Mcomeau,,,,,22,SH,2,3,m,23,,,,,,,,,,,
127,23,6,2015,Mcomeau,,,,,22,SH,2,4,f,24,,,,,,,,,,,
128,23,6,2015,Mcomeau,,,,,22,SH,2,4,f,26,,,,,,,,,,,
129,23,6,2015,Mcomeau,,,,,22,SH,2,4,i,14,,,,,,,,,,,
130,23,6,2015,Mcomeau,,,,,22,SH,2,4,m,65,,,,,,,,,,,
131,23,6,2015,Mcomeau,,,,,22,SH,2,5,i,11,,,,,,,,,,,
132,23,6,2015,Mcomeau,,,,,22,SH,2,5,m,32,,,,,,,,,,,
133,23,6,2015,Mcomeau,,,,,22,SH,2,6,f,26,,,,,,,,,,,
134,23,6,2015,Mcomeau,,,,,22,SH,2,6,m,23,,,,,,,,,,,
135,23,6,2015,Mcomeau,,,,,22,SH,2,7,i,11,,,,,,,,,,,
136,23,6,2015,Mcomeau,,,,,22,SH,2,8,m,28,,,,,,,,,,,
137,23,6,2015,Mcomeau,,,,,22,SH,2,8,f,24,,,,,,,,,,,
138,23,6,2015,Mcomeau,,,,,22,SH,2,8,f,21,,,,,,,,,,,
139,23,6,2015,Mcomeau,,,,,22,SH,2,8,f,28,,,,,,,,,,,
140,23,6,2015,Mcomeau,,,,,22,SH,2,8,m,42,,,,,,,,,,,
141,23,6,2015,Mcomeau,,,,,22,SH,2,8,i,14,,,,,,,,,,,
142,23,6,2015,Mcomeau,,,,,22,SH,2,9,f,54,,,,,,,,,,,
143,23,6,2015,Mcomeau,,,,,22,SH,2,9,i,17,,,,,,,,,,,
144,23,6,2015,Mcomeau,,,,,22,SH,2,9,i,11,,,,,,,,,,,
145,23,6,2015,Mcomeau,,,,,22,SH,2,14,i,11,,,,,,,,,,,
146,23,6,2015,Mcomeau,,,,,22,SH,2,14,i,12,,,,,,,,,,,
147,23,6,2015,Mcomeau,,,,,22,SH,2,14,m,67,,,,,,,,,,,
148,23,6,2015,Mcomeau,,,,,22,SH,2,15,f,31,,,,,,,,,,,
149,23,6,2015,Mcomeau,,,,,22,SH,2,15,i,14,,,,,,,,,,,
150,23,6,2015,Mcomeau,,,,,22,SH,2,15,i,11,,,,,,,,,,,
151,23,6,2015,Mcomeau,,,,,22,SH,2,15,i,12,,,,,,,,,,,
152,23,6,2015,Mcomeau,,,,,22,SH,2,15,i,14,,,,,,,,,,,
153,23,6,2015,Mcomeau,,,,,22,SH,2,15,m,34,,,,,,,,,,,
154,23,6,2015,Mcomeau,,,,,22,SH,2,16,m,31,,,,,,,,,,,
155,23,6,2015,Mcomeau,,,,,22,SH,2,16,i,14,,,,,,,,,,,
