Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,,,,,,,,,,,
56,24,6,2005,Gpaulin,4615.827,6427.875,4615.827,6427.948,23,SH,2,3,,,,0,1,1,1,1,1,Simple,,,,,,,,,,,,,,
57,24,6,2005,Gpaulin,4615.827,6427.875,4615.827,6427.948,23,SH,2,6,m,70,,0,0,1,1,0,0,Simple,,,,,,,,,,,,,,
58,24,6,2005,Gpaulin,4615.827,6427.875,4615.827,6427.948,23,SH,2,7,,,,0,0,1,1,0,1,Simple,,,,,,,,,,,,,,
59,24,6,2005,Gpaulin,4615.827,6427.875,4615.827,6427.948,23,SH,2,8,m,72,,0,0,1,1,0,1,Simple,,,,,,,,,,,,,,
60,24,6,2005,Gpaulin,4615.827,6427.875,4615.827,6427.948,23,SH,2,9,m,75,,0,0,1,1,1,1,Simple,LS,,,,,,,,,,,,,
61,24,6,2005,Gpaulin,4615.827,6427.875,4615.827,6427.948,23,SH,2,10,,,,0,0,1,1,1,1,Simple,LS,,,,,,,,,,,,,
62,24,6,2005,Gpaulin,4615.827,6427.875,4615.827,6427.948,23,SH,2,11,,,,0,0,1,1,1,1,Simple,LS,,,,,,,,,,,,,
63,24,6,2005,Gpaulin,4615.827,6427.875,4615.827,6427.948,23,SH,2,12,,,,0,0,1,1,1,1,Simple,LS,,,,,,,,,,,,,
64,24,6,2005,Gpaulin,4615.827,6427.875,4615.827,6427.948,23,SH,2,13,,,,0,0,1,1,1,1,Simple,LS,,,,,,,,,,,,,
65,24,6,2005,Gpaulin,4615.827,6427.875,4615.827,6427.948,23,SH,2,14,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
66,24,6,2005,Gpaulin,4615.827,6427.875,4615.827,6427.948,23,SH,2,15,,,,0,0,1,1,0,1,Simple,,,,,,,,,,,,,,
67,24,6,2005,Gpaulin,4615.827,6427.875,4615.827,6427.948,23,SH,2,16,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
68,24,6,2005,Gpaulin,4615.827,6427.875,4615.827,6427.948,23,SH,2,17,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
69,24,6,2005,Gpaulin,4615.827,6427.875,4615.827,6427.948,23,SH,2,18,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
70,24,6,2005,Gpaulin,4615.827,6427.875,4615.827,6427.948,23,SH,2,19,,,,0,0,1,1,1,1,Simple,LS,,,,,,,,,,,,,
71,24,6,2005,Gpaulin,4615.827,6427.875,4615.827,6427.948,23,SH,2,20,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
72,24,6,2005,Rvienneau,4615.78,6427.781,4615.745,6427.865,29,SH,3,1,i,90,Mar,0,0,1,1,0,0,Simple,,,,,,,,,,,,,,
73,24,6,2005,Rvienneau,4615.78,6427.781,4615.745,6427.865,27,SH,3,6,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
74,24,6,2005,Rvienneau,4615.78,6427.781,4615.745,6427.865,27,SH,3,7,m,61,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
75,24,6,2005,Rvienneau,4615.78,6427.781,4615.745,6427.865,27,SH,3,8,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
76,24,6,2005,Rvienneau,4615.78,6427.781,4615.745,6427.865,27,SH,3,9,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
77,24,6,2005,Rvienneau,4615.78,6427.781,4615.745,6427.865,27,SH,3,10,f,90,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
78,24,6,2005,Rvienneau,4615.78,6427.781,4615.745,6427.865,27,SH,3,11,b,82,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
79,24,6,2005,Gpaulin,4615.78,6427.781,4615.745,6427.865,29,SH,3,1,,,,1,0,1,1,1,1,Simple,,,,,,,,,,,,,,
80,24,6,2005,Gpaulin,4615.78,6427.781,4615.745,6427.865,29,SH,3,2,,,,1,0,1,1,1,1,Simple,LS,,,,,,,,,,,,,
81,24,6,2005,Gpaulin,4615.78,6427.781,4615.745,6427.865,29,SH,3,3,,,,1,0,0,1,0,1,Simple,LS,,,,,,,,,,,,,
82,24,6,2005,Gpaulin,4615.78,6427.781,4615.745,6427.865,29,SH,3,4,i,95,Mar,1,0,0,1,0,1,Simple,,,,,,,,,,,,,,
83,24,6,2005,Gpaulin,4615.78,6427.781,4615.745,6427.865,29,SH,3,5,,,,1,0,0,1,0,1,Simple,,,,,,,,,,,,,,
84,24,6,2005,Gpaulin,4615.78,6427.781,4615.745,6427.865,29,SH,3,6,,,,1,0,0,1,0,1,Simple,,,,,,,,,,,,,,
85,24,6,2005,Gpaulin,4615.78,6427.781,4615.745,6427.865,28,SH,3,10,,,,1,0,0,1,0,1,Simple,LS,,,,,,,,,,,,,
86,24,6,2005,Gpaulin,4615.78,6427.781,4615.745,6427.865,28,SH,3,11,,,,1,0,0,1,1,1,Simple,,,,,,,,,,,,,,
87,24,6,2005,Gpaulin,4615.78,6427.781,4615.745,6427.865,28,SH,3,12,,,,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
88,24,6,2005,Gpaulin,4615.78,6427.781,4615.745,6427.865,27,SH,3,13,i,99,Mar,0,0,0,1,1,1,Simple,LS,,,,,,,,,,,,,
89,24,6,2005,Gpaulin,4615.78,6427.781,4615.745,6427.865,27,SH,3,14,,,,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
90,24,6,2005,Gpaulin,4615.78,6427.781,4615.745,6427.865,27,SH,3,15,,,,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
91,24,6,2005,Gpaulin,4615.78,6427.781,4615.745,6427.865,27,SH,3,16,,,,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
92,24,6,2005,Gpaulin,4615.78,6427.781,4615.745,6427.865,27,SH,3,17,i,72,Can,0,0,0,1,1,1,Simple,LS,,,,,,,,,,,,,
93,24,6,2005,Gpaulin,4615.78,6427.781,4615.745,6427.865,27,SH,3,18,,,,0,0,0,1,1,1,Simple,2LS,,,,,,,,,,,,,
94,24,6,2005,Gpaulin,4615.78,6427.781,4615.745,6427.865,27,SH,3,19,i,71,Can,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
95,24,6,2005,Gpaulin,4615.78,6427.781,4615.745,6427.865,27,SH,3,20,,,,0,0,0,1,1,1,Simple,LS,,,,,,,,,,,,,
96,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,28,RO,1,1,,,,1,1,0,0,1,1,Simple,,,,,,,,,,,,,,
97,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,28,RO,1,2,,,,1,1,0,0,1,1,Simple,,,,,,,,,,,,,,
98,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,28,RO,1,3,,,,1,1,0,0,1,1,Simple,,,,,,,,,,,,,,
99,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,28,RO,1,4,,,,1,1,0,0,1,1,Simple,,,,,,,,,,,,,,
100,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,28,RO,1,5,,,,1,1,0,0,1,0,Simple,,,,,,,,,,,,,,
101,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,28,RO,1,6,,,,1,1,0,0,1,1,Simple,,,,,,,,,,,,,,
102,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,28,RO,1,7,,,,1,1,0,1,1,1,Simple,LS,,,,,,,,,,,,,
103,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,27,RO,1,8,,,,1,1,0,1,1,1,Simple,,,,,,,,,,,,,,
104,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,27,RO,1,9,,,,0,0,1,1,0,0,Simple,,,,,,,,,,,,,,
105,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,27,RO,1,10,,,,1,0,1,1,0,0,Simple,,,,,,,,,,,,,,
106,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,27,RO,1,11,,,,1,1,0,1,1,1,Simple,,,,,,,,,,,,,,
107,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,27,RO,1,12,,,,1,1,0,0,1,0,Simple,,,,,,,,,,,,,,
108,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,27,RO,1,13,,,,1,0,0,0,1,0,Simple,,,,,,,,,,,,,,
109,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,27,RO,1,14,,,,1,0,0,0,1,0,Simple,,,,,,,,,,,,,,
110,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,27,RO,1,15,,,,1,0,0,0,1,1,Simple,,,,,,,,,,,,,,
111,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,27,RO,1,16,,,,1,0,0,0,1,1,Simple,LS,,,,,,,,,,,,,
112,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,27,RO,1,17,,,,1,0,0,1,1,1,Simple,,,,,,,,,,,,,,
113,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,26,RO,1,18,,,,1,0,0,1,1,1,Simple,,,,,,,,,,,,,,
114,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,26,RO,1,19,,,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
115,27,6,2005,Mcomeau,4615.668,6425.322,4615.661,6425.394,26,RO,1,20,,,,1,0,0,0,1,1,Simple,LS,,,,,,,,,,,,,
116,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,26,RO,1,1,,,,1,1,1,0,0,0,Simple,,,,,,,,,,,,,,
117,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,26,RO,1,2,,,,1,1,1,0,0,0,Simple,,,,,,,,,,,,,,
118,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,26,RO,1,3,,,,1,0,0,0,0,0,Simple,,,,,,,,,,,,,,
119,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,26,RO,1,4,,,,1,0,0,0,1,0,Simple,,,,,,,,,,,,,,
120,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,26,RO,1,5,,,,1,0,0,1,1,0,Simple,,,,,,,,,,,,,,
121,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,26,RO,1,6,,,,1,0,1,0,0,0,Simple,,,,,,,,,,,,,,
122,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,26,RO,1,7,,,,1,0,1,0,0,0,Simple,,,,,,,,,,,,,,
123,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,26,RO,1,8,,,,1,0,1,0,0,0,Simple,,,,,,,,,,,,,,
124,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,26,RO,1,9,,,,1,0,0,1,0,0,Simple,,,,,,,,,,,,,,
125,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,26,RO,1,10,,,,1,0,0,1,1,0,Simple,,,,,,,,,,,,,,
126,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,26,RO,1,11,,,,1,0,1,1,0,0,Simple,,,,,,,,,,,,,,
127,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,26,RO,1,12,,,,1,0,1,1,0,0,Simple,,,,,,,,,,,,,,
128,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,25,RO,1,13,,,,1,0,1,1,0,0,Simple,,,,,,,,,,,,,,
129,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,25,RO,1,14,,,,1,0,1,1,0,0,Simple,,,,,,,,,,,,,,
130,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,25,RO,1,15,,,,1,0,1,1,0,0,Simple,,,,,,,,,,,,,,
131,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,24,RO,1,16,,,,0,0,0,1,1,0,Simple,,,,,,,,,,,,,,
132,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,24,RO,1,17,,,,0,0,0,1,1,0,Simple,,,,,,,,,,,,,,
133,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,23,RO,1,18,,,,0,0,0,1,1,0,Simple,,,,,,,,,,,,,,
134,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,23,RO,1,19,,,,0,0,0,1,1,0,Simple,,,,,,,,,,,,,,
135,27,6,2005,Rvienneau,4615.668,6425.322,4615.661,6425.394,23,RO,1,20,,,,0,0,0,1,1,0,Simple,,,,,,,,,,,,,,
136,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,28,RO,2,1,,,,1,0,0,0,1,1,Simple,,,,,,,,,,,,,,
137,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,27,RO,2,2,,,,1,0,0,0,1,1,Simple,,,,,,,,,,,,,,
138,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,27,RO,2,3,,,,1,0,0,0,1,1,Simple,LS,,,,,,,,,,,,,
139,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,27,RO,2,4,,,,1,0,0,0,1,1,Simple,,,,,,,,,,,,,,
140,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,27,RO,2,5,,,,1,0,0,0,1,0,Simple,,,,,,,,,,,,,,
141,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,27,RO,2,6,,,,1,0,0,1,1,1,Simple,,,,,,,,,,,,,,
142,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,27,RO,2,7,,,,1,0,0,1,1,1,Simple,,,,,,,,,,,,,,
143,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,27,RO,2,8,,,,1,0,0,1,1,1,Simple,,,,,,,,,,,,,,
144,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,27,RO,2,9,,,,1,0,1,0,0,0,Simple,,,,,,,,,,,,,,
145,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,27,RO,2,10,,,,1,0,1,1,1,0,Simple,,,,,,,,,,,,,,
146,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,27,RO,2,11,,,,1,0,0,1,1,1,Simple,,,,,,,,,,,,,,
147,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,27,RO,2,12,,,,1,0,0,1,1,0,Simple,,,,,,,,,,,,,,
148,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,27,RO,2,13,,,,1,0,0,0,0,0,Simple,,,,,,,,,,,,,,
149,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,27,RO,2,14,,,,1,0,0,0,1,0,Simple,,,,,,,,,,,,,,
150,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,27,RO,2,15,,,,1,0,0,0,1,1,Simple,,,,,,,,,,,,,,
151,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,27,RO,2,16,,,,1,0,0,0,1,1,Simple,,,,,,,,,,,,,,
152,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,27,RO,2,17,,,,1,0,0,0,1,1,Simple,LS,,,,,,,,,,,,,
153,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,26,RO,2,18,,,,1,0,0,1,1,1,Simple,LS,,,,,,,,,,,,,
154,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,26,RO,2,19,f,61,,1,0,0,0,1,1,Simple,,,,,,,,,,,,,,
155,27,6,2005,Mcomeau,4615.609,6425.288,4615.599,6425.355,26,RO,2,20,,,,1,0,0,0,1,1,Simple,,,,,,,,,,,,,,
156,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,29,RO,2,1,,,,1,0,0,0,1,0,Simple,,,,,,,,,,,,,,
157,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,28,RO,2,2,,,,1,0,0,1,1,0,Simple,,,,,,,,,,,,,,
158,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,3,,,,1,0,0,1,1,0,Simple,,,,,,,,,,,,,,
159,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,4,,,,1,0,0,1,1,0,Simple,,,,,,,,,,,,,,
160,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,5,,,,1,0,0,1,1,0,Simple,,,,,,,,,,,,,,
161,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,6,,,,1,0,0,0,1,0,Simple,,,,,,,,,,,,,,
162,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,7,,,,1,0,0,0,1,0,Simple,,,,,,,,,,,,,,
163,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,8,,,,1,0,0,1,1,0,Simple,,,,,,,,,,,,,,
164,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,9,,,,1,0,0,1,1,0,Simple,,,,,,,,,,,,,,
165,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,10,,,,1,0,0,1,1,0,Simple,,,,,,,,,,,,,,
166,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,11,,,,1,0,0,1,1,0,Simple,,,,,,,,,,,,,,
167,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,12,,,,1,0,0,1,1,0,Simple,,,,,,,,,,,,,,
168,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,13,,,,1,0,0,1,1,0,Simple,,,,,,,,,,,,,,
169,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,14,,,,1,0,0,1,0,0,Simple,,,,,,,,,,,,,,
170,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,15,,,,1,0,0,1,0,0,Simple,,,,,,,,,,,,,,
171,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,16,,,,1,0,0,1,1,0,Simple,,,,,,,,,,,,,,
