Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond
1,17,6,2013,Mcomeau,,,,,,SH,1,1,,,,,,,,,,,,,
2,17,6,2013,Mcomeau,,,,,,SH,1,2,m,75,,,,,,,,,,,
3,17,6,2013,Mcomeau,,,,,,SH,1,2,m,54,,,,,,,,,,,
4,17,6,2013,Mcomeau,,,,,,SH,1,3,,,,,,,,,,,,,
5,17,6,2013,Mcomeau,,,,,,SH,1,6,,,,,,,,,,,,,
6,17,6,2013,Mcomeau,,,,,,SH,1,7,,,,,,,,,,,,,
7,17,6,2013,Mcomeau,,,,,,SH,1,8,m,55,,,,,,,,,,,
8,17,6,2013,Mcomeau,,,,,,SH,1,9,f,35,,,,,,,,,,,
9,17,6,2013,Mcomeau,,,,,,SH,1,10,f,61,,,,,,,,,,,
10,17,6,2013,Mcomeau,,,,,,SH,1,13,f,33,,,,,,,,,,,
11,17,6,2013,Mcomeau,,,,,,SH,1,16,f,52,,,,,,,,,,,
12,17,6,2013,Mcomeau,,,,,,SH,1,17,,,,,,,,,,,,,
13,17,6,2013,Mcomeau,,,,,,SH,1,18,f,55,,,,,,,,,,,
14,17,6,2013,Bcomeau,,,,,,SH,1,4,m,69,,,,,,,,,,,
15,17,6,2013,Bcomeau,,,,,,SH,1,4,m,61,,,,,,,,,,,
16,17,6,2013,Bcomeau,,,,,,SH,1,5,f,48,,,,,,,,,,,
17,17,6,2013,Bcomeau,,,,,,SH,1,6,f,29,,,,,,,,,,,
18,17,6,2013,Bcomeau,,,,,,SH,1,6,m,69,,,,,,,,,,,
19,17,6,2013,Bcomeau,,,,,,SH,1,9,,,,,,,,,,,,,
20,17,6,2013,Bcomeau,,,,,,SH,1,11,m,75,,,,,,,,,,,
21,17,6,2013,Bcomeau,,,,,,SH,1,13,,,,,,,,,,,,,
22,17,6,2013,Bcomeau,,,,,,SH,1,17,m,69,,,,,,,,,,,
23,17,6,2013,Gpaulin,,,,,,SH,2,1,m,79,,,,,,,,,,,
24,17,6,2013,Gpaulin,,,,,,SH,2,2,f,64,,,,,,,,,,,
25,17,6,2013,Gpaulin,,,,,,SH,2,3,f,44,,,,,,,,,,,
26,17,6,2013,Gpaulin,,,,,,SH,2,6,m,33,,,,,,,,,,,
27,17,6,2013,Gpaulin,,,,,,SH,2,8,m,70,,,,,,,,,,,
