Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,,,,,,,,
170,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,19,m,30,,0,0,0,0,0,1,1,Simple,,,,,,,,,,,
171,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,19,m,70,,0,0,0,0,0,1,1,Simple,,,,,,,,,,,
172,21,6,2006,Rvienneau,4615.609,6425.288,4615.599,6425.355,25,RO,2,20,,,,0,0,1,0,0,1,1,Simple,,,,,,,,,,,
173,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,1,m,65,,0,0,0,1,1,0,1,Simple,,,,,,,,,,,
174,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,3,,,,0,0,0,1,1,0,1,Simple,,,,,,,,,,,
175,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,4,,,,0,0,0,1,1,1,1,Simple,,,,,,,,,,,
176,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,5,f,86,,0,0,0,1,1,1,1,Simple,,,,,,,,,,,
177,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,6,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
178,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,7,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
179,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,8,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
180,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,9,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
181,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,10,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
182,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,11,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
183,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,12,m,75,,0,0,0,1,0,1,1,Simple,2LS,,,,,,,,,,
184,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,13,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
185,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,14,f,82,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
186,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,15,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
187,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,16,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
188,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,17,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
189,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,18,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
190,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,19,f,78,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
191,21,6,2006,Mcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,20,f,59,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
192,21,6,2006,Bcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,3,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
193,21,6,2006,Bcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,4,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
194,21,6,2006,Bcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,5,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
195,21,6,2006,Bcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,6,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
196,21,6,2006,Bcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,7,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
197,21,6,2006,Bcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,8,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
198,21,6,2006,Bcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,9,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
199,21,6,2006,Bcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,10,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
200,21,6,2006,Bcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,11,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
201,21,6,2006,Bcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,12,,,,0,0,0,1,0,1,1,Simple,LS,,,,,,,,,,
202,21,6,2006,Bcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,13,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
203,21,6,2006,Bcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,14,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
204,21,6,2006,Bcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,15,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
205,21,6,2006,Bcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,18,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
206,21,6,2006,Bcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,19,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
207,21,6,2006,Bcomeau,4615.545,6425.3,4615.544,6425.381,23,RO,3,20,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
208,21,6,2006,Mcomeau,4615.9072,6425.5954,4615.9072,6425.512,33,RO,9,10,,,,0,1,0,0,0,0,1,Simple,,,,,,,,,,,
209,21,6,2006,Mcomeau,4615.9072,6425.5954,4615.9072,6425.512,33,RO,9,11,m,92,,0,1,0,0,0,0,1,Simple,,,,,,,,,,,
210,21,6,2006,Mcomeau,4615.9072,6425.5954,4615.9072,6425.512,33,RO,9,12,f,64,,0,1,0,0,0,0,1,Simple,LS,,,,,,,,,,
211,21,6,2006,Mcomeau,4615.9072,6425.5954,4615.9072,6425.512,33,RO,9,12,m,15,,0,1,0,0,0,0,1,Simple,,,,,,,,,,,
212,21,6,2006,Mcomeau,4615.9072,6425.5954,4615.9072,6425.512,33,RO,9,12,m,13,,0,1,0,0,0,0,1,Simple,,,,,,,,,,,
213,21,6,2006,Mcomeau,4615.9072,6425.5954,4615.9072,6425.512,33,RO,9,13,m,33,,0,1,0,0,0,0,1,Simple,,,,,,,,,,,
214,21,6,2006,Bcomeau,4615.9072,6425.5954,4615.9072,6425.512,33,RO,9,1,m,76,,0,1,0,0,0,0,1,Simple,,,,,,,,,,,
215,21,6,2006,Bcomeau,4615.9072,6425.5954,4615.9072,6425.512,33,RO,9,3,f,54,,0,1,0,0,0,1,1,Simple,,,,,,,,,,,
216,21,6,2006,Bcomeau,4615.9072,6425.5954,4615.9072,6425.512,33,RO,9,7,,,,0,1,0,0,0,0,1,Simple,,,,,,,,,,,
217,21,6,2006,Bcomeau,4615.9072,6425.5954,4615.9072,6425.512,33,RO,9,8,,,,0,1,0,0,0,0,1,Simple,,,,,,,,,,,
218,21,6,2006,Bcomeau,4615.9072,6425.5954,4615.9072,6425.512,33,RO,9,10,f,26,,0,1,0,0,0,1,1,Simple,,,,,,,,,,,
219,21,6,2006,Bcomeau,4615.9072,6425.5954,4615.9072,6425.512,33,RO,9,11,,,,0,1,0,0,0,1,1,Simple,,,,,,,,,,,
220,21,6,2006,Bcomeau,4615.9072,6425.5954,4615.9072,6425.512,33,RO,9,12,,,,0,1,0,0,0,1,0,Simple,,,,,,,,,,,
221,21,6,2006,Bcomeau,4615.9072,6425.5954,4615.9072,6425.512,33,RO,9,13,m,38,,0,1,0,0,0,0,1,Simple,,,,,,,,,,,
222,21,6,2006,Bcomeau,4615.9072,6425.5954,4615.9072,6425.512,33,RO,9,14,,,,0,1,0,0,0,1,0,Simple,,,,,,,,,,,
223,21,6,2006,Bcomeau,4615.9072,6425.5954,4615.9072,6425.512,33,RO,9,15,,,,0,1,0,0,0,0,1,Simple,,,,,,,,,,,
224,21,6,2006,Rvienneau,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,1,,,,0,0,1,0,0,1,0,Simple,,,,,,,,,,,
225,21,6,2006,Rvienneau,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,2,m,89,,0,0,1,0,0,1,0,Simple,,,,,,,,,,,
226,21,6,2006,Rvienneau,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,2,m,36,,0,0,1,0,0,1,0,Simple,,,,,,,,,,,
227,21,6,2006,Rvienneau,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,2,m,30,,0,0,1,0,0,1,0,Simple,,,,,,,,,,,
228,21,6,2006,Rvienneau,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,8,i,85,Market,0,1,0,0,0,0,1,Simple,,,,,,,,,,,
229,21,6,2006,Rvienneau,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,9,,,,0,1,0,0,0,0,0,Simple,,,,,,,,,,,
230,21,6,2006,Rvienneau,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,12,i,90,Market,0,1,0,0,0,0,1,Simple,,,,,,,,,,,
231,21,6,2006,Rvienneau,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,13,,,,0,1,0,0,0,0,1,Simple,,,,,,,,,,,
232,21,6,2006,Rvienneau,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,16,,,,0,0,1,0,0,1,0,Simple,,,,,,,,,,,
233,21,6,2006,Rvienneau,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,17,m,44,,0,0,1,0,0,0,1,Simple,,,,,,,,,,,
234,21,6,2006,Rvienneau,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,17,i,95,Market,0,0,0,0,0,0,1,Simple,,,,,,,,,,,
235,21,6,2006,Gpaulin,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,1,,,,0,0,1,0,0,1,0,Simple,,,,,,,,,,,
236,21,6,2006,Gpaulin,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,2,,,,1,0,1,0,0,1,0,Simple,,,,,,,,,,,
237,21,6,2006,Gpaulin,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,3,f,53,,1,0,1,0,0,1,1,Simple,,,,,,,,,,,
238,21,6,2006,Gpaulin,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,4,,,,1,0,1,0,0,1,0,Simple,,,,,,,,,,,
239,21,6,2006,Gpaulin,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,7,,,,1,0,1,0,0,0,1,Simple,,,,,,,,,,,
240,21,6,2006,Gpaulin,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,9,b,81,,1,0,0,0,0,0,1,Simple,,,,,,,,,,,
241,21,6,2006,Gpaulin,4615.8268,6425.545,4615.8268,6425.455,31,RO,11,11,,,,1,0,1,0,0,1,0,Simple,,,,,,,,,,,
242,22,6,2006,Mcomeau,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,1,m,125,,1,1,1,1,0,0,0,Simple,,,,,,,,,,,
243,22,6,2006,Mcomeau,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,5,m,52,,0,0,1,1,0,0,0,Simple,,,,,,,,,,,
244,22,6,2006,Mcomeau,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,6,f,35,,0,0,1,1,0,0,0,Simple,,,,,,,,,,,
245,22,6,2006,Mcomeau,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,14,,,,1,1,1,1,0,1,1,Simple,,,,,,,,,,,
246,22,6,2006,Mcomeau,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,15,,,,1,0,1,1,0,0,1,Simple,,,,,,,,,,,
247,22,6,2006,Mcomeau,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,17,m,86,,1,1,1,1,0,1,1,Simple,,,,,,,,,,,
248,22,6,2006,Mcomeau,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,18,m,54,,1,1,1,1,0,1,1,Simple,,,,,,,,,,,
249,22,6,2006,Mcomeau,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,18,f,39,,1,1,1,1,0,1,1,Simple,,,,,,,,,,,
250,22,6,2006,Mcomeau,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,19,,,,1,1,1,1,0,1,1,Simple,,,,,,,,,,,
251,22,6,2006,Mcomeau,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,20,m,36,,1,1,1,1,0,1,1,Simple,LS,,,,,,,,,,
252,22,6,2006,Mcomeau,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,20,m,39,,1,1,1,1,0,1,1,Simple,LS,,,,,,,,,,
253,22,6,2006,Gpaulin,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,8,f,78,,1,0,0,1,0,1,1,Simple,,,,,,,,,,,
254,22,6,2006,Gpaulin,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,14,f,52,,1,0,0,0,0,1,1,Simple,,,,,,,,,,,
255,22,6,2006,Gpaulin,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,15,,,,1,0,0,0,0,1,1,Simple,,,,,,,,,,,
256,22,6,2006,Gpaulin,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,16,,,,1,0,0,0,0,1,0,Simple,,,,,,,,,,,
257,22,6,2006,Gpaulin,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,17,,,,1,0,0,0,0,1,1,Simple,,,,,,,,,,,
258,22,6,2006,Gpaulin,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,18,,,,1,0,0,0,0,1,1,Simple,,,,,,,,,,,
259,22,6,2006,Gpaulin,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,19,m,30,,1,0,0,0,0,1,0,Simple,,,,,,,,,,,
260,22,6,2006,Gpaulin,4615.7356,6425.7316,4615.7356,6425.6482,27,RO,15,20,,,,1,0,0,0,0,1,1,Simple,LS,,,,,,,,,,
261,23,6,2006,Bcomeau,4615.7398,6425.9206,4615.7398,6425.8348,28,RO,16,1,m,34,,0,0,1,1,0,0,1,Simple,,,,,,,,,,,
262,23,6,2006,Bcomeau,4615.7398,6425.9206,4615.7398,6425.8348,28,RO,16,2,,,,0,0,0,1,0,1,1,Simple,,,,,,,,,,,
263,23,6,2006,Bcomeau,4615.7398,6425.9206,4615.7398,6425.8348,28,RO,16,6,,,,0,0,1,1,0,1,1,Simple,,,,,,,,,,,
264,23,6,2006,Bcomeau,4615.7398,6425.9206,4615.7398,6425.8348,28,RO,16,8,,,,1,0,1,0,0,1,1,Simple,,,,,,,,,,,
265,23,6,2006,Bcomeau,4615.7398,6425.9206,4615.7398,6425.8348,28,RO,16,9,,,,1,1,0,0,0,1,0,Simple,,,,,,,,,,,
266,23,6,2006,Bcomeau,4615.7398,6425.9206,4615.7398,6425.8348,28,RO,16,16,,,,0,0,1,1,0,0,1,Simple,,,,,,,,,,,
267,23,6,2006,Mcomeau,4615.7398,6425.9206,4615.7398,6425.8348,28,RO,16,1,,,,1,1,1,1,0,1,1,Simple,LS,,,,,,,,,,
268,23,6,2006,Mcomeau,4615.7398,6425.9206,4615.7398,6425.8348,28,RO,16,2,,,,1,1,1,1,0,1,1,Simple,,,,,,,,,,,
269,23,6,2006,Mcomeau,4615.7398,6425.9206,4615.7398,6425.8348,28,RO,16,3,,,,1,1,1,0,0,1,0,Simple,,,,,,,,,,,
270,23,6,2006,Mcomeau,4615.7398,6425.9206,4615.7398,6425.8348,28,RO,16,4,m,121,,0,0,1,1,1,0,1,Simple,,,,,,,,,,,
271,23,6,2006,Mcomeau,4615.7398,6425.9206,4615.7398,6425.8348,28,RO,16,5,m,45,,1,1,1,1,0,1,1,Simple,,,,,,,,,,,
272,23,6,2006,Mcomeau,4615.7398,6425.9206,4615.7398,6425.8348,28,RO,16,6,,,,0,0,1,1,0,0,1,Simple,,,,,,,,,,,
273,23,6,2006,Mcomeau,4615.7398,6425.9206,4615.7398,6425.8348,28,RO,16,7,,,,0,0,1,1,1,0,1,Simple,,,,,,,,,,,
274,23,6,2006,Mcomeau,4615.7398,6425.9206,4615.7398,6425.8348,28,RO,16,15,m,39,,1,1,1,1,0,0,1,Simple,,,,,,,,,,,
275,23,6,2006,Mcomeau,4615.7398,6425.9206,4615.7398,6425.8348,28,RO,16,16,,,,1,1,1,1,0,0,1,Simple,,,,,,,,,,,
276,23,6,2006,Mcomeau,4615.7398,6425.9206,4615.7398,6425.8348,28,RO,16,17,,,,0,0,1,1,0,0,0,Simple,5LS,,,,,,,,,,
277,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,1,b2,98,,1,0,1,0,0,1,1,Simple,LS,,,,,,,,,,
278,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,2,,,,1,0,1,0,0,1,0,Simple,,,,,,,,,,,
279,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,3,,,,1,0,1,0,0,1,0,Simple,,,,,,,,,,,
280,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,4,,,,1,0,1,0,0,1,0,Simple,,,,,,,,,,,
281,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,5,,,,1,0,1,0,0,1,0,Simple,EXUVIA LS,,,,,,,,,,
282,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,7,,,,1,0,1,0,0,1,1,Simple,,,,,,,,,,,
283,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,8,,,,0,0,0,0,0,1,0,Simple,,,,,,,,,,,
284,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,9,,,,1,0,1,0,0,1,1,Simple,,,,,,,,,,,
285,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,11,b3,85,,1,0,1,0,1,1,1,Simple,,,,,,,,,,,
286,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,12,,,,1,0,1,0,1,0,1,Simple,,,,,,,,,,,
287,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,13,,,,1,0,1,0,1,1,1,Simple,,,,,,,,,,,
288,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,14,f,73,,1,0,1,0,1,1,1,Simple,,,,,,,,,,,
289,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,15,m,110,,0,0,0,0,0,0,1,Simple,,,,,,,,,,,
290,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,16,,,,1,0,1,0,0,1,1,Simple,,,,,,,,,,,
291,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,17,f,73,,1,0,1,0,0,1,1,Simple,LS,,,,,,,,,,
292,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,18,,,,1,0,1,0,0,1,1,Simple,,,,,,,,,,,
293,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,19,b3,110,,1,0,1,0,0,0,1,Simple,,,,,,,,,,,
294,23,6,2006,Gpaulin,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,20,f,80,,1,0,1,0,0,1,1,Simple,,,,,,,,,,,
295,23,6,2006,Rvienneau,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,1,,,,0,0,1,0,0,1,0,Simple,,,,,,,,,,,
296,23,6,2006,Rvienneau,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,5,f,77,,0,0,0,0,0,1,1,Simple,,,,,,,,,,,
297,23,6,2006,Rvienneau,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,6,,,,0,0,0,0,0,1,0,Simple,,,,,,,,,,,
298,23,6,2006,Rvienneau,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,7,m,61,,0,0,0,0,0,1,0,Simple,,,,,,,,,,,
299,23,6,2006,Rvienneau,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,8,m,35,,0,0,0,0,0,1,0,Simple,,,,,,,,,,,
300,23,6,2006,Rvienneau,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,9,,,,0,0,0,0,0,1,0,Simple,,,,,,,,,,,
301,23,6,2006,Rvienneau,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,10,,,,0,0,0,0,0,1,0,Simple,,,,,,,,,,,
302,23,6,2006,Rvienneau,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,18,m,69,,0,0,0,0,0,1,1,Simple,,,,,,,,,,,
303,23,6,2006,Rvienneau,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,19,,,,0,0,0,0,0,1,0,Simple,,,,,,,,,,,
304,23,6,2006,Rvienneau,4615.6492,6425.9272,4615.6492,6425.8414,30,RO,18,20,,,,0,0,0,0,0,1,0,Simple,,,,,,,,,,,
305,22,6,2006,Bcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,1,,,,0,0,0,1,1,1,1,Simple,,,,,,,,,,,
306,22,6,2006,Bcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,2,,,,0,0,0,1,1,1,1,Simple,,,,,,,,,,,
307,22,6,2006,Bcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,3,,,,1,0,0,1,1,1,1,Simple,,,,,,,,,,,
308,22,6,2006,Bcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,4,,,,1,0,0,1,0,1,0,Simple,EX39,,,,,,,,,,
309,22,6,2006,Bcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,5,,,,1,0,0,1,0,1,0,Simple,,,,,,,,,,,
310,22,6,2006,Bcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,6,m,33,,1,0,0,1,0,1,1,Simple,,,,,,,,,,,
311,22,6,2006,Bcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,6,m,40,,1,0,0,1,0,1,1,Simple,,,,,,,,,,,
312,22,6,2006,Bcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,7,,,,1,0,0,1,0,0,1,Simple,,,,,,,,,,,
313,22,6,2006,Bcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,8,,,,1,0,0,1,1,0,1,Simple,,,,,,,,,,,
314,22,6,2006,Bcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,11,,,,1,0,0,1,1,1,1,Simple,EX50,,,,,,,,,,
315,22,6,2006,Bcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,14,,,,1,0,0,0,0,1,0,Simple,,,,,,,,,,,
316,22,6,2006,Bcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,15,f,78,,1,0,0,0,0,1,1,Simple,,,,,,,,,,,
317,22,6,2006,Bcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,16,,,,1,0,0,0,0,1,1,Simple,,,,,,,,,,,
318,22,6,2006,Bcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,17,,,,1,0,0,0,0,1,1,Simple,2LS,,,,,,,,,,
319,22,6,2006,Bcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,18,m,29,,1,0,0,1,1,0,1,Simple,,,,,,,,,,,
320,22,6,2006,Bcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,19,f,66,,0,0,0,1,1,0,1,Simple,LS,,,,,,,,,,
321,22,6,2006,Bcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,20,m,46,,1,0,0,0,1,1,1,Simple,LS,,,,,,,,,,
322,22,6,2006,Mcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,1,m,31,,1,1,0,1,0,1,1,Simple,,,,,,,,,,,
323,22,6,2006,Mcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,2,,,,0,0,1,1,0,1,1,Simple,,,,,,,,,,,
324,22,6,2006,Mcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,3,,,,1,1,1,1,0,1,1,Simple,,,,,,,,,,,
325,22,6,2006,Mcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,4,,,,1,1,1,1,0,1,1,Simple,,,,,,,,,,,
326,22,6,2006,Mcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,5,f,79,,1,1,1,1,0,1,1,Simple,,,,,,,,,,,
327,22,6,2006,Mcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,5,m,85,,1,1,1,1,0,1,1,Simple,,,,,,,,,,,
328,22,6,2006,Mcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,5,m,110,,1,1,1,1,0,1,1,Simple,,,,,,,,,,,
329,22,6,2006,Mcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,6,f,78,,1,1,1,1,0,1,1,Simple,,,,,,,,,,,
330,22,6,2006,Mcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,12,m,130,,1,1,1,1,0,1,1,Simple,,,,,,,,,,,
331,22,6,2006,Mcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,16,,,,1,1,1,1,0,0,1,Simple,,,,,,,,,,,
332,22,6,2006,Mcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,17,f,81,,1,1,1,1,0,1,1,Simple,LS,,,,,,,,,,
333,22,6,2006,Mcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,18,,,,1,1,1,1,0,0,1,Simple,,,,,,,,,,,
334,22,6,2006,Mcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,19,,,,1,1,1,1,0,1,1,Simple,5LS,,,,,,,,,,
335,22,6,2006,Mcomeau,4615.6354,6425.7316,4615.6354,6425.644,24,RO,19,20,,,,1,1,1,1,0,1,1,Simple,3LS,,,,,,,,,,
336,23,6,2006,Bcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,1,,,,1,0,0,0,1,1,1,Simple,,,,,,,,,,,
337,23,6,2006,Bcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,2,,,,1,0,0,0,0,1,0,Simple,,,,,,,,,,,
338,23,6,2006,Bcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,3,m,17,,1,0,0,1,1,1,1,Simple,LS,,,,,,,,,,
339,23,6,2006,Bcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,4,,,,0,0,0,1,1,1,1,Simple,,,,,,,,,,,
340,23,6,2006,Bcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,5,,,,0,0,0,0,1,1,1,Simple,,,,,,,,,,,
341,23,6,2006,Bcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,9,,,,0,0,0,0,0,1,1,Simple,LS,,,,,,,,,,
