Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,SEX,SIZE,Escape,Sa,Va,Du,Al,Co,Gr,Ca,type,commentaire,fond
410,23,8,2010,Bcomeau,,,,,34,FH,R5-T4,11,,,,,,,,,,,,,
411,23,8,2010,Bcomeau,,,,,34,FH,R5-T4,12,,,,,,,,,,,,,
412,23,8,2010,Bcomeau,,,,,34,FH,R5-T4,13,f,55,,,,,,,,,,,
413,23,8,2010,Bcomeau,,,,,34,FH,R5-T4,14,m,43,,,,,,,,,,,
414,23,8,2010,Bcomeau,,,,,34,FH,R5-T4,15,f,40,,,,,,,,,,,
415,23,8,2010,Bcomeau,,,,,34,FH,R5-T4,16,,,,,,,,,,,,,
416,23,8,2010,Bcomeau,,,,,34,FH,R5-T4,17,,,,,,,,,,,,,
417,23,8,2010,Bcomeau,,,,,34,FH,R5-T4,18,,,,,,,,,,,,,
418,23,8,2010,Bcomeau,,,,,34,FH,R5-T4,19,,,,,,,,,,,,,
419,23,8,2010,Bcomeau,,,,,34,FH,R5-T4,20,,,,,,,,,,,,,
420,23,8,2010,Gpaulin,,,,,34,FH,R5-T4,1,,,,,,,,,,,,,
421,23,8,2010,Gpaulin,,,,,34,FH,R5-T4,2,,,,,,,,,,,,,
422,23,8,2010,Gpaulin,,,,,34,FH,R5-T4,4,,,,,,,,,,,,,
423,23,8,2010,Gpaulin,,,,,34,FH,R5-T4,6,,,,,,,,,,,,,
424,23,8,2010,Gpaulin,,,,,34,FH,R5-T4,7,m,70,,,,,,,,,,,
425,23,8,2010,Gpaulin,,,,,34,FH,R5-T4,9,,,,,,,,,,,,,
426,23,8,2010,Gpaulin,,,,,34,FH,R5-T4,10,,,,,,,,,,,,,
427,23,8,2010,Gpaulin,,,,,34,FH,R5-T4,11,,,,,,,,,,,,,
428,23,8,2010,Gpaulin,,,,,34,FH,R5-T4,12,,,,,,,,,,,,,
429,23,8,2010,Gpaulin,,,,,34,FH,R5-T4,13,,,,,,,,,,,,,
430,23,8,2010,Gpaulin,,,,,34,FH,R5-T4,14,,,,,,,,,,,,,
431,23,8,2010,Gpaulin,,,,,34,FH,R5-T4,15,,,,,,,,,,,,,
432,23,8,2010,Gpaulin,,,,,34,FH,R5-T4,17,,,,,,,,,,,,,
433,23,8,2010,Gpaulin,,,,,34,FH,R5-T4,18,,,,,,,,,,,,,
434,23,8,2010,Gpaulin,,,,,34,FH,R5-T4,19,,,,,,,,,,,,,
435,23,8,2010,Gpaulin,,,,,34,FH,R5-T4,20,,,,,,,,,,,,,
