Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,SEX,SIZE,Escape,Sa,Va,Du,Al,Co,Gr,Ca,type,commentaire,fond,
291,25,6,2013,Dgiard,,,,,,FH,L1-T2,4,,,,,,,,,,,,,,
292,25,6,2013,Dgiard,,,,,,FH,L1-T2,5,,,,,,,,,,,,,,
293,25,6,2013,Dgiard,,,,,,FH,L1-T2,6,,,,,,,,,,,,,,
294,25,6,2013,Dgiard,,,,,,FH,L1-T2,7,,,,,,,,,,,,,,
295,25,6,2013,Dgiard,,,,,,FH,L1-T2,8,,,,,,,,,,,,,,
296,25,6,2013,Dgiard,,,,,,FH,L1-T2,9,,,,,,,,,,,,,,
297,25,6,2013,Dgiard,,,,,,FH,L1-T2,10,,,,,,,,,,,,,,
298,25,6,2013,Dgiard,,,,,,FH,L1-T2,11,,,,,,,,,,,,,,
299,25,6,2013,Dgiard,,,,,,FH,L1-T2,12,,,,,,,,,,,,,,
300,25,6,2013,Dgiard,,,,,,FH,L1-T2,13,,,,,,,,,,,,,,
301,25,6,2013,Dgiard,,,,,,FH,L1-T2,14,,,,,,,,,,,,,,
302,25,6,2013,Dgiard,,,,,,FH,L1-T2,15,,,,,,,,,,,,,,
303,25,6,2013,Dgiard,,,,,,FH,L1-T2,16,,,,,,,,,,,,,,
304,25,6,2013,Dgiard,,,,,,FH,L1-T2,17,m,111,,,,,,,,,,,,
305,25,6,2013,Dgiard,,,,,,FH,L1-T2,18,,,,,,,,,,,,,,
306,25,6,2013,Dgiard,,,,,,FH,L1-T2,19,,,,,,,,,,,,,,
307,25,6,2013,Dgiard,,,,,,FH,L1-T2,20,,,,,,,,,,,,,,
308,25,6,2013,Dgiard,,,,,,FH,L3-T5,1,,,,,,,,,,,,,,
309,25,6,2013,Dgiard,,,,,,FH,L3-T5,2,,,,,,,,,,,,,,
310,25,6,2013,Dgiard,,,,,,FH,L3-T5,3,,,,,,,,,,,,,,
311,25,6,2013,Dgiard,,,,,,FH,L3-T5,4,,,,,,,,,,,,,,
312,25,6,2013,Dgiard,,,,,,FH,L3-T5,5,,,,,,,,,,,,,,
313,25,6,2013,Dgiard,,,,,,FH,L3-T5,6,,,,,,,,,,,,,,
314,25,6,2013,Dgiard,,,,,,FH,L3-T5,7,,,,,,,,,,,,,,
315,25,6,2013,Dgiard,,,,,,FH,L3-T5,8,,,,,,,,,,,,,,
316,25,6,2013,Dgiard,,,,,,FH,L3-T5,9,,,,,,,,,,,,,,
317,25,6,2013,Dgiard,,,,,,FH,L3-T5,10,,,,,,,,,,,,,,
318,25,6,2013,Dgiard,,,,,,FH,L3-T5,11,,,,,,,,,,,,,,
319,25,6,2013,Dgiard,,,,,,FH,L3-T5,12,,,,,,,,,,,,,,
320,25,6,2013,Dgiard,,,,,,FH,L3-T5,13,,,,,,,,,,,,,,
321,25,6,2013,Dgiard,,,,,,FH,L3-T5,14,f,80,,,,,,,,,,,,
322,25,6,2013,Dgiard,,,,,,FH,L3-T5,15,,,,,,,,,,,,,,
323,25,6,2013,Dgiard,,,,,,FH,L3-T5,16,,,,,,,,,,,,,,
324,25,6,2013,Dgiard,,,,,,FH,L3-T5,17,i,130,,,,,,,,,,,,
325,25,6,2013,Dgiard,,,,,,FH,L3-T5,18,,,,,,,,,,,,,,
326,25,6,2013,Dgiard,,,,,,FH,L3-T5,19,m,120,,,,,,,,,,,,
327,25,6,2013,Dgiard,,,,,,FH,L3-T5,20,,,,,,,,,,,,,,
328,25,6,2013,Rdoucette,,,,,,FH,L3-T5,1,,,,,,,,,,,,,,
329,25,6,2013,Rdoucette,,,,,,FH,L3-T5,2,,,,,,,,,,,,,,
330,25,6,2013,Rdoucette,,,,,,FH,L3-T5,3,,,,,,,,,,,,,,
331,25,6,2013,Rdoucette,,,,,,FH,L3-T5,4,,,,,,,,,,,,,,
332,25,6,2013,Rdoucette,,,,,,FH,L3-T5,5,,,,,,,,,,,,,,
333,25,6,2013,Rdoucette,,,,,,FH,L3-T5,6,,,,,,,,,,,,,,
334,25,6,2013,Rdoucette,,,,,,FH,L3-T5,7,m,130,,,,,,,,,,,,
335,25,6,2013,Rdoucette,,,,,,FH,L3-T5,8,,,,,,,,,,,,,,
336,25,6,2013,Rdoucette,,,,,,FH,L3-T5,9,,,,,,,,,,,,,,
337,25,6,2013,Rdoucette,,,,,,FH,L3-T5,10,,,,,,,,,,,,,,
338,25,6,2013,Rdoucette,,,,,,FH,L3-T5,11,,,,,,,,,,,,,,
339,25,6,2013,Rdoucette,,,,,,FH,L3-T5,12,,,,,,,,,,,,,,
340,25,6,2013,Rdoucette,,,,,,FH,L3-T5,13,,,,,,,,,,,,,,
341,25,6,2013,Rdoucette,,,,,,FH,L3-T5,14,,,,,,,,,,,,,,
342,25,6,2013,Rdoucette,,,,,,FH,L3-T5,15,,,,,,,,,,,,,,
343,25,6,2013,Rdoucette,,,,,,FH,L3-T5,16,,,,,,,,,,,,,,
344,25,6,2013,Rdoucette,,,,,,FH,L3-T5,17,,,,,,,,,,,,,,
345,25,6,2013,Rdoucette,,,,,,FH,L3-T5,18,,,,,,,,,,,,,,
346,25,6,2013,Rdoucette,,,,,,FH,L3-T5,19,,,,,,,,,,,,,,
347,25,6,2013,Rdoucette,,,,,,FH,L3-T5,20,,,,,,,,,,,,,,
348,25,6,2013,Bcomeau,,,,,,FH,L4-T2,1,,,,,,,,,,,,,,
349,25,6,2013,Bcomeau,,,,,,FH,L4-T2,2,,,,,,,,,,,,,,
350,25,6,2013,Bcomeau,,,,,,FH,L4-T2,3,,,,,,,,,,,,,,
351,25,6,2013,Bcomeau,,,,,,FH,L4-T2,4,,,,,,,,,,,,,,
352,25,6,2013,Bcomeau,,,,,,FH,L4-T2,5,,,,,,,,,,,,,,
353,25,6,2013,Bcomeau,,,,,,FH,L4-T2,6,,,,,,,,,,,,,,
354,25,6,2013,Bcomeau,,,,,,FH,L4-T2,7,,,,,,,,,,,,,,
355,25,6,2013,Bcomeau,,,,,,FH,L4-T2,8,,,,,,,,,,,,,,
356,25,6,2013,Bcomeau,,,,,,FH,L4-T2,9,,,,,,,,,,,,,,
357,25,6,2013,Bcomeau,,,,,,FH,L4-T2,10,,,,,,,,,,,,,,
358,25,6,2013,Bcomeau,,,,,,FH,L4-T2,11,,,,,,,,,,,,,,
359,25,6,2013,Bcomeau,,,,,,FH,L4-T2,12,,,,,,,,,,,,,,
360,25,6,2013,Bcomeau,,,,,,FH,L4-T2,13,,,,,,,,,,,,,,
361,25,6,2013,Bcomeau,,,,,,FH,L4-T2,14,,,,,,,,,,,,,,
362,25,6,2013,Bcomeau,,,,,,FH,L4-T2,15,,,,,,,,,,,,,,
363,25,6,2013,Bcomeau,,,,,,FH,L4-T2,16,,,,,,,,,,,,,,
364,25,6,2013,Bcomeau,,,,,,FH,L4-T2,17,,,,,,,,,,,,,,
365,25,6,2013,Bcomeau,,,,,,FH,L4-T2,18,,,,,,,,,,,,,,
366,25,6,2013,Bcomeau,,,,,,FH,L4-T2,19,,,,,,,,,,,,,,
367,25,6,2013,Bcomeau,,,,,,FH,L4-T2,20,,,,,,,,,,,,,,
368,25,6,2013,Mcomeau,,,,,,FH,L4-T2,1,,,,,,,,,,,,,,
369,25,6,2013,Mcomeau,,,,,,FH,L4-T2,2,,,,,,,,,,,,,,
370,25,6,2013,Mcomeau,,,,,,FH,L4-T2,3,,,,,,,,,,,,,,
371,25,6,2013,Mcomeau,,,,,,FH,L4-T2,4,b3,80,,,,,,,,,,,,
372,25,6,2013,Mcomeau,,,,,,FH,L4-T2,5,,,,,,,,,,,,,,
373,25,6,2013,Mcomeau,,,,,,FH,L4-T2,6,,,,,,,,,,,,,,
374,25,6,2013,Mcomeau,,,,,,FH,L4-T2,7,,,,,,,,,,,,,,
375,25,6,2013,Mcomeau,,,,,,FH,L4-T2,8,,,,,,,,,,,,,,
376,25,6,2013,Mcomeau,,,,,,FH,L4-T2,9,,,,,,,,,,,,,,
377,25,6,2013,Mcomeau,,,,,,FH,L4-T2,10,,,,,,,,,,,,,,
378,25,6,2013,Mcomeau,,,,,,FH,L4-T2,11,,,,,,,,,,,,,,
379,25,6,2013,Mcomeau,,,,,,FH,L4-T2,12,,,,,,,,,,,,,,
380,25,6,2013,Mcomeau,,,,,,FH,L4-T2,13,,,,,,,,,,,,,,
381,25,6,2013,Mcomeau,,,,,,FH,L4-T2,14,,,,,,,,,,,,,,
382,25,6,2013,Mcomeau,,,,,,FH,L4-T2,15,,,,,,,,,,,,,,
383,25,6,2013,Mcomeau,,,,,,FH,L4-T2,16,f,67,,,,,,,,,,,,
384,25,6,2013,Mcomeau,,,,,,FH,L4-T2,16,m,146,,,,,,,,,,,,
385,25,6,2013,Mcomeau,,,,,,FH,L4-T2,17,,,,,,,,,,,,,,
386,25,6,2013,Mcomeau,,,,,,FH,L4-T2,18,,,,,,,,,,,,,,
387,25,6,2013,Mcomeau,,,,,,FH,L4-T2,19,,,,,,,,,,,,,,
388,25,6,2013,Mcomeau,,,,,,FH,L4-T2,20,,,,,,,,,,,,,,
389,25,6,2013,Rdoucette,,,,,,FH,L4-T4,1,,,,,,,,,,,,,,
390,25,6,2013,Rdoucette,,,,,,FH,L4-T4,2,,,,,,,,,,,,,,
391,25,6,2013,Rdoucette,,,,,,FH,L4-T4,3,,,,,,,,,,,,,,
392,25,6,2013,Rdoucette,,,,,,FH,L4-T4,4,,,,,,,,,,,,,,
393,25,6,2013,Rdoucette,,,,,,FH,L4-T4,5,,,,,,,,,,,,,,
394,25,6,2013,Rdoucette,,,,,,FH,L4-T4,6,,,,,,,,,,,,,,
395,25,6,2013,Rdoucette,,,,,,FH,L4-T4,7,m,48,,,,,,,,,,,,
396,25,6,2013,Rdoucette,,,,,,FH,L4-T4,8,,,,,,,,,,,,,,
397,25,6,2013,Rdoucette,,,,,,FH,L4-T4,9,,,,,,,,,,,,,,
398,25,6,2013,Rdoucette,,,,,,FH,L4-T4,10,,,,,,,,,,,,,,
399,25,6,2013,Rdoucette,,,,,,FH,L4-T4,11,,,,,,,,,,,,,,
400,25,6,2013,Rdoucette,,,,,,FH,L4-T4,12,,,,,,,,,,,,,,
401,25,6,2013,Rdoucette,,,,,,FH,L4-T4,13,,,,,,,,,,,,,,
402,25,6,2013,Rdoucette,,,,,,FH,L4-T4,14,,,,,,,,,,,,,,
403,25,6,2013,Rdoucette,,,,,,FH,L4-T4,15,,,,,,,,,,,,,,
404,25,6,2013,Rdoucette,,,,,,FH,L4-T4,16,,,,,,,,,,,,,,
405,25,6,2013,Rdoucette,,,,,,FH,L4-T4,17,,,,,,,,,,,,,,
406,25,6,2013,Rdoucette,,,,,,FH,L4-T4,18,,,,,,,,,,,,,,
407,25,6,2013,Rdoucette,,,,,,FH,L4-T4,19,,,,,,,,,,,,,,
408,25,6,2013,Rdoucette,,,,,,FH,L4-T4,20,,,,,,,,,,,,,,
409,25,6,2013,Dgiard,,,,,,FH,L4-T4,1,,,,,,,,,,,,,,
410,25,6,2013,Dgiard,,,,,,FH,L4-T4,2,,,,,,,,,,,,,,
411,25,6,2013,Dgiard,,,,,,FH,L4-T4,3,m,76,,,,,,,,,,,,
412,25,6,2013,Dgiard,,,,,,FH,L4-T4,3,b,82,,,,,,,,,,,,
413,25,6,2013,Dgiard,,,,,,FH,L4-T4,4,,,,,,,,,,,,,,
414,25,6,2013,Dgiard,,,,,,FH,L4-T4,5,,,,,,,,,,,,,,
415,25,6,2013,Dgiard,,,,,,FH,L4-T4,6,,,,,,,,,,,,,,
416,25,6,2013,Dgiard,,,,,,FH,L4-T4,7,,,,,,,,,,,,,,
417,25,6,2013,Dgiard,,,,,,FH,L4-T4,8,,,,,,,,,,,,,,
418,25,6,2013,Dgiard,,,,,,FH,L4-T4,9,,,,,,,,,,,,,,
419,25,6,2013,Dgiard,,,,,,FH,L4-T4,10,,,,,,,,,,,,,,
420,25,6,2013,Dgiard,,,,,,FH,L4-T4,11,,,,,,,,,,,,,,
421,25,6,2013,Dgiard,,,,,,FH,L4-T4,12,m,74,,,,,,,,,,,,
422,25,6,2013,Dgiard,,,,,,FH,L4-T4,13,,,,,,,,,,,,,,
423,25,6,2013,Dgiard,,,,,,FH,L4-T4,14,,,,,,,,,,,,,,
424,25,6,2013,Dgiard,,,,,,FH,L4-T4,15,,,,,,,,,,,,,,
425,25,6,2013,Dgiard,,,,,,FH,L4-T4,16,,,,,,,,,,,,,,
426,25,6,2013,Dgiard,,,,,,FH,L4-T4,17,,,,,,,,,,,,,,
427,25,6,2013,Dgiard,,,,,,FH,L4-T4,18,,,,,,,,,,,,,,
428,25,6,2013,Dgiard,,,,,,FH,L4-T4,19,,,,,,,,,,,,,,
429,25,6,2013,Dgiard,,,,,,FH,L4-T4,20,,,,,,,,,,,,,,
Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,SEX,SIZE,Escape,Sa,Va,Du,Al,Co,Gr,Ca,type,commentaire,fond,
430,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,1,,,,,,,,,,,,,,
431,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,2,,,,,,,,,,,,,,
432,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,3,,,,,,,,,,,,,,
433,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,4,,,,,,,,,,,,,,
434,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,5,,,,,,,,,,,,,,
435,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,6,,,,,,,,,,,,,,
436,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,7,,,,,,,,,,,,,,
437,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,8,,,,,,,,,,,,,,
438,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,9,,,,,,,,,,,,,,
439,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,10,m,85,,,,,,,,,,,,
440,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,11,,,,,,,,,,,,,,
441,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,12,,,,,,,,,,,,,,
442,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,13,,,,,,,,,,,,,,
443,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,14,,,,,,,,,,,,,,
444,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,15,,,,,,,,,,,,,,
445,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,16,,,,,,,,,,,,,,
446,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,17,f,77,,,,,,,,,,,,
447,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,18,,,,,,,,,,,,,,
448,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,19,,,,,,,,,,,,,,
449,18,8,2014,Mcomeau,,,,,31,FH,L4-T2,20,,,,,,,,,,,,,,
450,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,1,,,,,,,,,,,,,,
451,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,2,,,,,,,,,,,,,,
452,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,3,,,,,,,,,,,,,,
453,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,4,,,,,,,,,,,,,,
454,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,5,,,,,,,,,,,,,,
455,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,6,,,,,,,,,,,,,,
456,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,7,,,,,,,,,,,,,,
457,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,8,,,,,,,,,,,,,,
458,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,9,,,,,,,,,,,,,,
459,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,10,m,49,,,,,,,,,,,,
460,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,11,,,,,,,,,,,,,,
461,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,12,,,,,,,,,,,,,,
462,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,13,,,,,,,,,,,,,,
463,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,14,,,,,,,,,,,,,,
464,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,15,,,,,,,,,,,,,,
465,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,16,,,,,,,,,,,,,,
466,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,17,,,,,,,,,,,,,,
467,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,18,,,,,,,,,,,,,,
468,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,19,m,75,,,,,,,,,,,,
469,18,8,2014,Bcomeau,,,,,31,FH,L4-T2,20,i,18,,,,,,,,,,,,
470,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,1,,,,,,,,,,,,,,
471,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,2,,,,,,,,,,,,,,
472,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,3,,,,,,,,,,,,,,
473,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,4,,,,,,,,,,,,,,
474,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,5,f,23,,,,,,,,,,,,
475,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,6,,,,,,,,,,,,,,
476,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,7,,,,,,,,,,,,,,
477,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,8,m,22,,,,,,,,,,,,
478,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,9,,,,,,,,,,,,,,
479,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,10,,,,,,,,,,,,,,
480,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,11,,,,,,,,,,,,,,
481,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,12,,,,,,,,,,,,,,
482,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,13,,,,,,,,,,,,,,
483,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,14,,,,,,,,,,,,,,
484,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,15,,,,,,,,,,,,,,
485,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,16,,,,,,,,,,,,,,
486,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,17,,,,,,,,,,,,,,
487,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,18,,,,,,,,,,,,,,
488,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,19,f,85,,,,,,,,,,,,
489,18,8,2014,Mcomeau,,,,,29,FH,L4-T4,20,,,,,,,,,,,,,,
490,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,1,,,,,,,,,,,,,,
491,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,2,f,40,,,,,,,,,,,,
492,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,3,,,,,,,,,,,,,,
493,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,4,,,,,,,,,,,,,,
494,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,5,,,,,,,,,,,,,,
495,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,6,,,,,,,,,,,,,,
496,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,7,,,,,,,,,,,,,,
497,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,8,f,80,,,,,,,,,,,,
498,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,9,,,,,,,,,,,,,,
499,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,10,,,,,,,,,,,,,,
500,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,11,,,,,,,,,,,,,,
501,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,12,,,,,,,,,,,,,,
502,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,13,m,108,,,,,,,,,,,,
503,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,14,,,,,,,,,,,,,,
504,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,15,,,,,,,,,,,,,,
505,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,16,,,,,,,,,,,,,,
506,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,17,,,,,,,,,,,,,,
507,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,18,,,,,,,,,,,,,,
508,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,19,,,,,,,,,,,,,,
509,18,8,2014,Gpaulin,,,,,29,FH,L4-T4,20,,,,,,,,,,,,,,
510,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,1,,,,,,,,,,,,,,
511,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,2,,,,,,,,,,,,,,
512,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,3,,,,,,,,,,,,,,
513,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,4,,,,,,,,,,,,,,
514,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,5,,,,,,,,,,,,,,
515,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,6,,,,,,,,,,,,,,
516,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,7,,,,,,,,,,,,,,
517,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,8,,,,,,,,,,,,,,
518,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,9,,,,,,,,,,,,,,
519,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,10,,,,,,,,,,,,,,
520,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,11,,,,,,,,,,,,,,
521,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,12,,,,,,,,,,,,,,
522,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,13,,,,,,,,,,,,,,
523,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,14,,,,,,,,,,,,,,
524,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,15,,,,,,,,,,,,,,
525,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,16,,,,,,,,,,,,,,
526,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,17,,,,,,,,,,,,,,
527,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,18,,,,,,,,,,,,,,
528,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,19,,,,,,,,,,,,,,
529,18,8,2014,Mcomeau,,,,,27,FH,L3-T3,20,,,,,,,,,,,,,,
530,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,1,,,,,,,,,,,,,,
531,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,2,,,,,,,,,,,,,,
532,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,3,m,52,,,,,,,,,,,,
533,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,4,b1,87,,,,,,,,,,,,
534,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,5,,,,,,,,,,,,,,
535,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,6,,,,,,,,,,,,,,
536,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,7,,,,,,,,,,,,,,
537,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,8,,,,,,,,,,,,,,
538,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,9,,,,,,,,,,,,,,
539,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,10,,,,,,,,,,,,,,
540,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,11,,,,,,,,,,,,,,
541,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,12,m,71,,,,,,,,,,,,
542,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,13,,,,,,,,,,,,,,
543,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,14,,,,,,,,,,,,,,
544,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,15,,,,,,,,,,,,,,
545,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,16,,,,,,,,,,,,,,
546,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,17,,,,,,,,,,,,,,
547,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,18,,,,,,,,,,,,,,
548,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,19,,,,,,,,,,,,,,
549,18,8,2014,Bcomeau,,,,,27,FH,L3-T3,20,,,,,,,,,,,,,,
550,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,1,,,,,,,,,,,,,,
551,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,2,,,,,,,,,,,,,,
552,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,3,,,,,,,,,,,,,,
553,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,4,,,,,,,,,,,,,,
554,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,5,,,,,,,,,,,,,,
555,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,6,,,,,,,,,,,,,,
556,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,7,,,,,,,,,,,,,,
557,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,8,,,,,,,,,,,,,,
558,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,9,,,,,,,,,,,,,,
559,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,10,,,,,,,,,,,,,,
560,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,11,,,,,,,,,,,,,,
561,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,12,f,87,,,,,,,,,,,,
562,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,13,,,,,,,,,,,,,,
563,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,14,,,,,,,,,,,,,,
564,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,15,,,,,,,,,,,,,,
565,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,16,,,,,,,,,,,,,,
566,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,17,,,,,,,,,,,,,,
567,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,18,,,,,,,,,,,,,,
568,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,19,,,,,,,,,,,,,,
569,18,8,2014,Mcomeau,,,,,25,FH,L3-T5,20,,,,,,,,,,,,,,
570,18,8,2014,Bcomeau,,,,,25,FH,L3-T5,1,,,,,,,,,,,,,,
571,18,8,2014,Bcomeau,,,,,25,FH,L3-T5,2,,,,,,,,,,,,,,
572,18,8,2014,Bcomeau,,,,,25,FH,L3-T5,3,,,,,,,,,,,,,,
573,18,8,2014,Bcomeau,,,,,25,FH,L3-T5,4,,,,,,,,,,,,,,
574,18,8,2014,Bcomeau,,,,,25,FH,L3-T5,5,,,,,,,,,,,,,,
575,18,8,2014,Bcomeau,,,,,25,FH,L3-T5,6,,,,,,,,,,,,,,
576,18,8,2014,Bcomeau,,,,,25,FH,L3-T5,7,m,40,,,,,,,,,,,,
577,18,8,2014,Bcomeau,,,,,25,FH,L3-T5,8,,,,,,,,,,,,,,
578,18,8,2014,Bcomeau,,,,,25,FH,L3-T5,9,,,,,,,,,,,,,,
579,18,8,2014,Bcomeau,,,,,25,FH,L3-T5,10,,,,,,,,,,,,,,
580,18,8,2014,Bcomeau,,,,,25,FH,L3-T5,11,,,,,,,,,,,,,,
581,18,8,2014,Bcomeau,,,,,25,FH,L3-T5,12,,,,,,,,,,,,,,
582,18,8,2014,Bcomeau,,,,,25,FH,L3-T5,13,,,,,,,,,,,,,,
583,18,8,2014,Bcomeau,,,,,25,FH,L3-T5,14,,,,,,,,,,,,,,
584,18,8,2014,Bcomeau,,,,,25,FH,L3-T5,15,,,,,,,,,,,,,,
585,18,8,2014,Bcomeau,,,,,25,FH,L3-T5,16,,,,,,,,,,,,,,
586,18,8,2014,Bcomeau,,,,,25,FH,L3-T5,17,m,121,,,,,,,,,,,,
