Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,SEX,SIZE,Escape,Sa,Va,Du,Al,Co,Gr,Ca,type,commentaire,fond,
67,9,8,2012,Rdoucette,,,,,,FH,L3-T3,14,,,,,,,,,,,,,,
68,9,8,2012,Rdoucette,,,,,,FH,L3-T3,15,m,67,,,,,,,,,,,,
69,9,8,2012,Rdoucette,,,,,,FH,L3-T3,16,,,,,,,,,,,,,,
70,9,8,2012,Rdoucette,,,,,,FH,L3-T3,17,,,,,,,,,,,,,,
71,9,8,2012,Rdoucette,,,,,,FH,L3-T3,18,,,,,,,,,,,,,,
72,9,8,2012,Rdoucette,,,,,,FH,L3-T3,19,,,,,,,,,,,,,,
73,9,8,2012,Rdoucette,,,,,,FH,L3-T3,20,,,,,,,,,,,,,,
74,9,8,2012,Mcomeau,,,,,,FH,L4-T2,1,m,39,,,,,,,,,,,,
75,9,8,2012,Mcomeau,,,,,,FH,L4-T2,2,,,,,,,,,,,,,,
76,9,8,2012,Mcomeau,,,,,,FH,L4-T2,3,,,,,,,,,,,,,,
77,9,8,2012,Mcomeau,,,,,,FH,L4-T2,4,,,,,,,,,,,,,,
78,9,8,2012,Mcomeau,,,,,,FH,L4-T2,5,,,,,,,,,,,,,,
79,9,8,2012,Mcomeau,,,,,,FH,L4-T2,6,,,,,,,,,,,,,,
80,9,8,2012,Mcomeau,,,,,,FH,L4-T2,7,,,,,,,,,,,,,,
81,9,8,2012,Mcomeau,,,,,,FH,L4-T2,8,,,,,,,,,,,,,,
82,9,8,2012,Mcomeau,,,,,,FH,L4-T2,9,,,,,,,,,,,,,,
83,9,8,2012,Mcomeau,,,,,,FH,L4-T2,10,,,,,,,,,,,,,,
84,9,8,2012,Mcomeau,,,,,,FH,L4-T2,11,,,,,,,,,,,,,,
85,9,8,2012,Mcomeau,,,,,,FH,L4-T2,12,,,,,,,,,,,,,,
